site_no,site_name,record_years,drainage_area_sqmi,historical_max_screening_return_period_years,historical_max_peak_cfs,historical_max_cfs_per_sqmi,historical_max_flood_class,frequency_method,stationarity_warning,distinct_matched_rainfall_flood_event_count,max_matched_event_return_period_years,max_matched_peak_cfs,max_matched_peak_cfs_per_sqmi,median_rainfall_to_flood_lag_hours,distinct_major_rainfall_flood_event_count
03574500,,90,320.0,864.1065798507375,74200.0,231.875,>500-year,station-skew LP3 screening,True,14,169.33368902590257,58000.0,181.25,14.0,3
03574700,,19,2.18,37.06696887544975,1470.0,674.3119266055045,25–50-year,station-skew LP3 screening,False,0,,,,,0
03574768,,6,,7.0,19700.0,,5–10-year,empirical only,True,2,7.0,19700.0,,-13.625,0
03574796,,74,0.44,59.38944751392197,276.0,627.2727272727273,50–100-year,station-skew LP3 screening,False,0,,,,,0
0357479650,,24,33.0,1000000.0,8630.0,261.5151515151515,>500-year,station-skew LP3 screening,False,6,1000000.0,5780.0,175.15151515151516,-34.0,2
03574840,,5,1.43,6.0,840.0,587.4125874125874,5–10-year,empirical only,False,0,,,,,0
03574872,,5,0.17,6.0,144.0,847.0588235294117,5–10-year,empirical only,False,0,,,,,0
03575000,,63,342.0,153.9439405949455,120000.0,350.87719298245617,100–200-year,station-skew LP3 screening,True,4,153.9439405949455,120000.0,350.87719298245617,-17.0,1
03575100,,27,375.0,66.0500566233484,56000.0,149.33333333333334,50–100-year,station-skew LP3 screening,True,8,9.536572020452445,37900.0,101.06666666666666,-8.5,0
0357526200,,28,4.89,80.8716845660424,4250.0,869.1206543967281,50–100-year,station-skew LP3 screening,False,7,80.8716845660424,4250.0,869.1206543967281,-11.0,1
03575272,,17,2.73,18.0,1870.0,684.981684981685,10–25-year,empirical only,False,8,18.0,1870.0,684.981684981685,-9.333333333333334,1
03575340,,73,3.52,51.83846411180582,767.0,217.89772727272728,50–100-year,station-skew LP3 screening,False,0,,,,,0
03575500,,81,25610.0,115.79812594140634,323000.0,12.612260835611089,100–200-year,station-skew LP3 screening,False,7,30.545790178710345,304000.0,11.870363139398671,18.0,2
03575686,,5,1.15,6.0,805.0,700.0,5–10-year,empirical only,False,0,,,,,0
0357568650,,29,1.41,54.09455762676181,2320.0,1645.390070921986,50–100-year,station-skew LP3 screening,False,8,49.46283694386487,2260.0,1602.8368794326243,-10.583333333333332,1
0357568820,,9,1.14,10.0,2050.0,1798.2456140350878,10–25-year,empirical only,True,2,5.0,700.0,614.0350877192983,-48.5,0
0357568980,,30,6.97,110.86867952163828,6210.0,890.961262553802,100–200-year,station-skew LP3 screening,False,8,24.226240340835304,3860.0,553.8020086083214,-7.625,1
03575696,,4,13.9,5.0,5240.0,376.978417266187,5–10-year,empirical only,False,0,,,,,0
03575700,,40,14.1,58.60353145189112,7890.0,559.5744680851064,50–100-year,station-skew LP3 screening,False,8,54.12898461488923,7730.0,548.2269503546099,-19.791666666666668,2
03575830,,66,49.0,85.33863212013186,16500.0,336.734693877551,50–100-year,station-skew LP3 screening,True,12,26.78730049194781,12000.0,244.89795918367344,-22.5,3
0357586650,,28,3.44,70.99273488477282,6810.0,1979.6511627906975,50–100-year,station-skew LP3 screening,False,9,70.99273488477282,6810.0,1979.6511627906975,-27.0,1
0357587090,,29,2.28,19.83960557264909,2160.0,947.3684210526316,10–25-year,station-skew LP3 screening,False,9,15.306685982630691,2050.0,899.1228070175439,-19.0,1
0357587140,,27,2.52,56.35124972463446,1620.0,642.8571428571429,50–100-year,station-skew LP3 screening,True,11,11.003578496768892,1030.0,408.73015873015873,-11.0,2
0357587400,,30,8.5,358.00223439265034,6930.0,815.2941176470588,200–500-year,station-skew LP3 screening,False,11,9.152417762788469,3430.0,403.52941176470586,-11.0,0
0357587728,,39,2.99,227.961490443382,6200.0,2073.5785953177256,200–500-year,station-skew LP3 screening,True,10,227.961490443382,6200.0,2073.5785953177256,-22.0,3
03575890,,42,22.6,198.8217738181121,10700.0,473.4513274336283,100–200-year,station-skew LP3 screening,False,14,198.8217738181121,10700.0,473.4513274336283,-22.0,2
03575910,,5,0.16,6.0,228.0,1425.0,5–10-year,empirical only,True,0,,,,,0
