huc12,duration_hours,is_monotonic,minimum_mm,maximum_mm,threshold_count
031300020601,1,True,35.14999192277079,124.11971814238572,10
031300020601,3,True,48.96285947945113,180.22343021167927,10
031300020601,6,True,60.25526477493083,214.4891217839218,10
031300020601,24,True,88.78973560979595,270.1541471496921,10
031300020601,72,True,113.18937734439251,335.2273032408335,10
031300020602,1,True,35.295967342641916,122.95216480663849,10
031300020602,3,True,49.1733684847636,177.75018452776771,10
031300020602,6,True,60.497135793263595,211.78601621532,10
031300020602,24,True,89.16302634779314,269.5622406828649,10
031300020602,72,True,113.71526850767495,335.1989689500875,10
031300020603,1,True,35.33250829897146,121.98074956656778,10
031300020603,3,True,49.21983474796899,175.79032894920792,10
031300020603,6,True,60.50410708858138,209.7227523038565,10
031300020603,24,True,89.15027122940324,269.2753873502707,10
031300020603,72,True,113.76921706385484,335.04752551455385,10
031300020802,1,True,35.639765999234555,120.30626222343368,10
031300020802,3,True,49.736283825558715,172.55405769059647,10
031300020802,6,True,61.120648571066,206.36166877951666,10
031300020802,24,True,89.96953486725825,269.0602394001697,10
031300020802,72,True,114.82050344479231,336.4883545685972,10
031300020803,1,True,35.55971063200225,119.72148096293247,10
031300020803,3,True,49.55010658528603,171.34688138992115,10
031300020803,6,True,60.81981608389176,205.08517738318176,10
031300020803,24,True,89.61240028860328,268.7221631996889,10
031300020803,72,True,114.46489714747946,335.62414351338833,10
031300020804,1,True,36.01402736167812,117.28809804381213,10
031300020804,3,True,50.364129511446244,166.94004242065174,10
031300020804,6,True,61.73240801369846,200.7670376990529,10
031300020804,24,True,90.44883262835441,269.1963026732704,10
031300020804,72,True,115.53916986332653,338.59533217170906,10
031300020805,1,True,36.303113213203346,114.45758348904288,10
031300020805,3,True,50.77604290581572,162.16208049683775,10
031300020805,6,True,62.049553489574556,196.3893655364209,10
031300020805,24,True,90.49521624360376,270.0190706598585,10
031300020805,72,True,115.68646472887032,341.0201758229623,10
031300020806,1,True,35.863310920447724,116.31096167036816,10
031300020806,3,True,49.964936146330174,165.45065773622497,10
031300020806,6,True,61.1590700575849,199.51992131101304,10
031300020806,24,True,89.888546484319,269.2241319128822,10
031300020806,72,True,114.92583550729995,337.9248634158005,10
