nhdplus_comid,site_no
18205068,02465205
18205074,02465205
18205086,02465200
18205086,02465205
18205104,02465205
18205112,02465200
18205112,02465205
18205124,02465200
18205124,02465205
18205140,02465205
18205142,02465205
18205150,02465292
18205162,02465292
18205166,02465292
18205292,02465292
18205308,02465292
18206382,02465200
18206384,02465205
18206386,02465292
18206398,02465292
18206412,02465292
18206520,02465200
18206542,02465292
18206544,02465292
18206546,02465205
18206548,02465000
18206552,02465000
18206558,02465000
18206570,02465000
18206570,02465205
18206576,02465000
18206872,02465292
18206880,02465292
18208308,02465493
18208312,02465493
18208320,02465493
18208338,02465493
18208342,02465493
18208346,02465493
18208372,02465493
18208724,02465500
18208738,02465500
18208772,02465500
18208788,02465500
18208794,02465500
18208800,02465500
18208822,02465500
18208838,02465500
18208840,02465500
18208854,02465500
18208856,02465500
18208858,02465500
18208890,02465500
18208892,02465500
18208904,02465500
18208906,02465500
18208924,02465500
18208926,02465500
18208928,02465500
18208930,02465500
18208932,02465500
18210186,02466500
18210206,02466500
18210214,02466500
18210246,02466500
18210258,02466500
18210320,02466500
18210330,02466500
18210332,02466500
18210334,02466500
18210336,02466500
18210342,02466500
18210344,02466500
18210566,02465493
18210660,02465500
18210672,02465500
18210792,02465493
18210798,02465493
18210900,02466000
18210902,02466000
18210926,02466000
18210926,02466030
18210942,02466000
18210942,02466030
18210954,02466000
18210954,02466030
18210958,02466000
18210958,02466030
18210972,02466030
18211192,02466500
18211360,02466000
18211360,02466030
18215736,02466000
18215736,02466030
18215742,02466030
18223461,02461130
18224323,02464000
18224329,02462600
18225315,02461130
18225327,02461130
18225339,02461130
18225345,02461130
18225353,02461130
18225367,02461130
18225367,02461500
18225373,02461130
18225373,02461500
18225377,02461500
18225381,02461500
18225383,02461500
18225385,02461500
18225387,02461500
18225399,02461500
18225405,02461500
18225409,02461500
18225411,02461500
18225417,02461500
18225421,02461500
18225427,02461500
18225431,02461500
18226819,02462600
18226921,02464000
18226931,02464000
18226939,02462000
18226941,02464360
18226967,02462600
18227019,02462000
18227029,02462600
18227059,02464360
18227083,02464360
18227107,02462000
18227153,02464000
18227169,02462000
18227203,02462000
18227249,02464360
18227257,02464360
18227295,02462000
18227297,02462000
18227299,02464000
18227347,02464360
18227381,02464360
18227383,02464000
18227425,02464360
