Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 9 Version 2
Data type: Precipitation depth
Time series type: Partial duration
Project area: Southeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 31.140800 Degree
Longitude: -87.048300 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 14,16,20,22,26,29,31,34,37,39
10-min:, 21,24,29,33,38,42,46,49,54,57
15-min:, 26,29,35,40,46,51,56,60,66,70
30-min:, 38,43,52,59,69,76,84,92,103,111
60-min:, 51,58,70,80,94,105,116,128,144,156
2-hr:, 63,72,87,100,119,133,148,164,185,201
3-hr:, 70,81,99,115,137,155,174,193,220,241
6-hr:, 85,98,121,142,174,201,229,260,303,338
12-hr:, 101,116,145,173,218,257,300,348,418,476
24-hr:, 119,137,173,209,268,322,382,449,549,632
2-day:, 138,159,203,247,320,385,459,542,665,767
3-day:, 150,172,217,263,340,409,486,574,704,813
4-day:, 160,181,227,273,350,420,500,590,723,835
7-day:, 186,207,250,296,372,443,523,615,751,866
10-day:, 210,230,273,317,393,462,542,632,767,880
20-day:, 280,303,348,393,466,532,605,687,808,909
30-day:, 339,368,421,469,543,606,674,748,853,939
45-day:, 414,455,522,578,656,717,778,841,926,990
60-day:, 478,531,614,678,762,823,880,933,999,1044

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 18,21,25,29,34,38,43,48,55,59
10-min:, 27,30,37,42,50,56,63,70,80,87
15-min:, 32,37,45,51,61,69,77,86,97,106
30-min:, 49,55,66,75,91,103,117,132,152,168
60-min:, 64,73,88,102,124,142,162,184,214,236
2-hr:, 79,91,110,128,157,179,205,234,273,303
3-hr:, 88,102,125,146,181,208,240,276,324,361
6-hr:, 105,122,151,179,230,269,316,370,446,503
12-hr:, 125,144,180,216,290,345,415,497,615,704
24-hr:, 147,168,213,259,358,433,527,639,804,929
2-day:, 168,194,248,304,424,515,630,766,967,1119
3-day:, 182,209,265,323,449,544,665,809,1021,1182
4-day:, 193,220,276,334,462,559,682,829,1046,1210
7-day:, 224,249,302,360,488,585,710,859,1080,1248
10-day:, 253,277,329,385,512,608,732,880,1099,1265
20-day:, 334,362,417,473,595,688,805,944,1145,1297
30-day:, 403,438,502,563,683,774,886,1016,1198,1335
45-day:, 490,538,620,690,811,903,1010,1128,1284,1401
60-day:, 564,627,727,808,932,1026,1130,1239,1372,1473

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,15,17,19,21,22,23,24,25
10-min:, 16,19,22,25,28,31,32,34,36,37
15-min:, 20,23,27,31,35,37,40,41,44,45
30-min:, 30,34,40,45,51,56,60,63,68,72
60-min:, 40,45,54,61,70,77,83,88,95,101
2-hr:, 50,57,68,78,90,99,107,114,124,131
3-hr:, 56,64,78,90,105,116,126,135,148,158
6-hr:, 67,78,96,112,134,151,167,183,206,224
12-hr:, 81,93,116,137,171,196,222,248,288,318
24-hr:, 96,111,139,167,214,249,286,324,382,426
2-day:, 112,129,164,199,257,300,347,394,466,521
3-day:, 122,140,177,213,274,320,369,420,497,555
4-day:, 131,149,185,222,284,331,381,433,512,571
7-day:, 154,171,206,242,304,351,402,455,535,597
10-day:, 175,191,225,261,322,368,418,469,549,610
20-day:, 234,253,290,326,382,425,469,513,583,635
30-day:, 285,309,352,391,444,484,522,559,616,660
45-day:, 350,384,439,484,534,572,603,629,669,699
60-day:, 405,450,518,570,619,656,681,697,721,739

Date/time (GMT):  Thu Jul 16 15:41:00 2026
pyRunTime:  0.030362367630004883
