Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 9 Version 2
Data type: Precipitation depth
Time series type: Partial duration
Project area: Southeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 33.375300 Degree
Longitude: -88.020000 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,15,18,21,23,26,28,31,34
10-min:, 16,18,22,26,30,34,37,41,46,50
15-min:, 20,22,27,31,37,41,46,50,56,61
30-min:, 29,33,40,46,54,61,67,74,82,89
60-min:, 38,44,53,61,72,80,89,97,109,118
2-hr:, 48,54,66,75,89,99,110,121,136,147
3-hr:, 54,61,74,85,100,112,125,138,155,169
6-hr:, 65,74,90,104,123,140,157,175,199,219
12-hr:, 77,89,108,126,153,174,198,223,258,286
24-hr:, 91,105,129,151,185,213,243,275,321,358
2-day:, 105,122,151,177,215,248,282,319,372,414
3-day:, 116,133,162,189,229,262,298,336,389,432
4-day:, 125,142,171,198,237,270,306,344,398,441
7-day:, 151,166,193,219,256,288,323,360,414,457
10-day:, 173,188,215,240,278,310,344,381,433,476
20-day:, 229,251,286,317,360,395,430,467,518,557
30-day:, 279,307,352,388,438,476,514,551,600,637
45-day:, 346,382,439,484,542,585,625,664,711,745
60-day:, 407,450,516,567,633,679,722,762,809,840

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 13,15,19,22,27,30,35,39,45,50
10-min:, 20,23,28,32,39,44,51,57,67,73
15-min:, 24,28,34,39,47,54,62,70,81,90
30-min:, 35,41,49,57,70,79,90,103,119,131
60-min:, 47,54,65,75,92,105,120,136,157,174
2-hr:, 58,66,81,93,114,129,148,168,195,215
3-hr:, 65,74,90,104,128,146,167,191,223,247
6-hr:, 78,89,108,126,157,181,209,241,284,317
12-hr:, 92,106,130,152,194,225,263,306,367,412
24-hr:, 108,124,154,181,233,273,321,376,453,511
2-day:, 124,143,178,210,270,315,370,433,521,588
3-day:, 135,155,191,223,285,332,388,453,543,612
4-day:, 146,165,200,233,294,341,397,462,553,622
7-day:, 175,193,225,256,316,361,417,482,572,641
10-day:, 199,217,249,280,340,386,442,507,597,665
20-day:, 262,287,329,366,433,484,545,613,704,773
30-day:, 317,349,402,447,522,579,645,718,810,880
45-day:, 392,433,499,554,639,705,778,857,953,1025
60-day:, 459,508,585,647,742,814,894,978,1078,1153

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,18,19,21,22
10-min:, 13,15,18,20,23,25,27,28,30,32
15-min:, 16,18,22,25,28,31,33,34,37,39
30-min:, 23,26,32,36,41,45,48,50,54,56
60-min:, 30,35,42,48,54,59,63,66,71,75
2-hr:, 38,44,53,60,68,74,79,83,90,94
3-hr:, 43,50,60,68,78,85,91,96,103,109
6-hr:, 53,60,73,84,97,107,115,123,134,143
12-hr:, 64,73,89,103,121,135,147,158,176,189
24-hr:, 76,87,108,125,149,166,182,197,221,238
2-day:, 89,103,127,148,175,196,214,232,258,278
3-day:, 98,113,137,159,187,208,227,245,272,293
4-day:, 107,121,145,167,195,216,235,252,279,300
7-day:, 130,143,166,186,213,232,250,267,293,313
10-day:, 150,163,186,206,232,251,268,284,309,328
20-day:, 201,219,250,275,302,322,338,350,372,388
30-day:, 246,270,309,339,368,390,405,415,433,447
45-day:, 307,339,388,425,457,481,495,502,515,526
60-day:, 363,401,458,501,535,561,574,578,588,596

Date/time (GMT):  Thu Jul 16 15:43:45 2026
pyRunTime:  0.03439521789550781
