Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 9 Version 2
Data type: Precipitation depth
Time series type: Partial duration
Project area: Southeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 34.978600 Degree
Longitude: -85.800800 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,14,16,19,22,25,27,31,34
10-min:, 14,16,20,23,28,32,36,40,46,50
15-min:, 17,20,24,28,34,39,44,49,56,62
30-min:, 24,28,35,41,50,57,64,71,81,89
60-min:, 32,37,46,54,65,73,83,92,105,116
2-hr:, 39,46,56,66,79,90,101,113,129,142
3-hr:, 44,51,63,73,88,100,113,126,144,159
6-hr:, 55,62,75,87,105,119,135,151,174,193
12-hr:, 68,76,92,105,126,144,163,184,214,238
24-hr:, 81,94,115,134,161,184,207,231,264,291
2-day:, 94,114,145,171,205,232,258,284,318,343
3-day:, 106,125,156,182,217,244,271,299,335,362
4-day:, 117,135,164,189,224,251,279,307,344,373
7-day:, 142,160,190,215,249,277,304,332,370,399
10-day:, 164,183,213,239,274,301,329,357,394,422
20-day:, 226,247,281,308,345,373,400,426,461,486
30-day:, 279,303,341,371,410,439,467,493,526,549
45-day:, 345,375,421,457,502,534,563,589,620,640
60-day:, 403,439,494,536,587,622,653,680,709,726

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 12,14,17,20,25,29,34,38,45,50
10-min:, 17,20,25,30,37,43,49,56,66,73
15-min:, 21,25,31,36,45,52,60,69,81,90
30-min:, 31,36,45,52,65,75,87,100,117,130
60-min:, 40,47,58,68,85,98,113,129,152,169
2-hr:, 49,57,70,82,103,118,136,156,183,204
3-hr:, 54,63,78,91,113,130,150,172,203,226
6-hr:, 66,76,92,107,133,154,177,204,242,270
12-hr:, 81,91,110,127,159,184,213,246,292,328
24-hr:, 96,111,137,159,199,229,264,302,355,395
2-day:, 110,132,169,199,247,282,321,363,418,459
3-day:, 122,144,181,211,259,295,336,379,436,480
4-day:, 133,154,189,218,266,302,343,387,446,491
7-day:, 160,181,215,244,292,328,369,414,474,519
10-day:, 184,205,240,270,318,354,396,440,499,544
20-day:, 249,273,311,342,392,430,472,516,573,616
30-day:, 304,331,373,408,461,500,544,590,646,689
45-day:, 373,406,457,498,556,601,648,696,753,795
60-day:, 433,472,532,579,644,694,745,796,853,896

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,13,15,16,18,19,21,22
10-min:, 11,13,16,18,21,24,26,28,30,32
15-min:, 13,16,19,22,26,29,31,34,37,39
30-min:, 19,23,28,33,38,42,46,49,54,57
60-min:, 25,30,36,42,49,55,59,63,69,74
2-hr:, 32,37,46,53,62,68,74,79,87,92
3-hr:, 36,42,51,59,69,76,83,88,97,104
6-hr:, 45,51,62,71,83,92,101,108,120,128
12-hr:, 57,64,76,87,102,114,124,134,149,161
24-hr:, 69,80,98,113,132,146,159,170,187,200
2-day:, 81,98,124,145,168,186,200,211,227,240
3-day:, 92,109,135,156,180,198,213,225,242,255
4-day:, 102,117,143,164,187,205,220,232,251,265
7-day:, 125,141,167,187,211,229,243,255,274,288
10-day:, 146,162,189,210,234,251,265,276,294,307
20-day:, 204,222,252,275,298,315,327,335,349,360
30-day:, 253,275,308,334,357,374,385,391,402,411
45-day:, 316,343,384,415,439,458,468,471,479,484
60-day:, 371,404,453,489,516,537,546,547,551,553

Date/time (GMT):  Thu Jul 16 15:41:02 2026
pyRunTime:  0.024926185607910156
