Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 9 Version 2
Data type: Precipitation depth
Time series type: Partial duration
Project area: Southeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 34.777200 Degree
Longitude: -86.951100 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,15,17,21,24,27,31,35,39
10-min:, 15,17,22,26,31,35,40,45,51,57
15-min:, 18,21,26,31,38,43,49,54,63,69
30-min:, 26,31,38,45,55,62,70,79,91,100
60-min:, 35,41,51,59,71,81,91,102,116,127
2-hr:, 45,52,63,74,88,100,112,124,141,155
3-hr:, 51,59,72,83,98,111,124,138,156,171
6-hr:, 63,72,87,101,119,135,150,166,189,206
12-hr:, 75,86,105,122,145,164,183,204,231,253
24-hr:, 88,102,125,144,172,195,218,242,275,300
2-day:, 104,120,145,167,198,222,247,273,308,336
3-day:, 115,131,157,180,212,237,263,290,326,354
4-day:, 124,140,168,191,223,249,275,302,338,366
7-day:, 147,164,194,218,252,278,304,331,367,394
10-day:, 167,186,216,242,276,303,329,356,391,418
20-day:, 227,249,283,311,348,376,403,430,464,489
30-day:, 280,305,344,375,415,445,473,500,532,556
45-day:, 350,380,427,463,508,540,569,596,626,646
60-day:, 412,447,502,543,593,627,657,683,711,727

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 13,15,19,22,29,33,39,45,54,61
10-min:, 19,22,28,33,42,49,57,66,79,89
15-min:, 23,27,34,40,51,59,69,81,97,109
30-min:, 33,39,49,58,74,86,101,117,140,157
60-min:, 45,52,65,76,96,112,130,151,179,201
2-hr:, 56,65,80,93,117,135,157,182,215,241
3-hr:, 64,73,89,104,130,150,173,200,236,263
6-hr:, 77,88,108,125,156,179,207,238,281,313
12-hr:, 91,105,128,149,187,215,249,288,340,380
24-hr:, 106,122,150,175,219,252,292,337,398,444
2-day:, 123,141,172,199,247,283,326,375,440,489
3-day:, 134,153,185,213,263,300,344,394,460,511
4-day:, 144,163,196,225,275,313,358,408,475,525
7-day:, 169,190,224,254,306,344,390,441,508,558
10-day:, 192,213,249,280,332,372,418,470,536,587
20-day:, 257,281,322,355,412,455,504,558,626,677
30-day:, 313,342,387,425,486,532,584,641,710,762
45-day:, 389,423,477,520,587,638,695,755,825,877
60-day:, 455,495,557,606,680,735,796,859,929,981

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,12,14,16,18,19,21,23,24
10-min:, 12,14,17,20,23,26,28,30,33,36
15-min:, 14,17,21,24,29,32,35,37,41,44
30-min:, 21,24,30,35,41,46,50,54,59,63
60-min:, 28,33,40,46,54,60,65,69,76,80
2-hr:, 36,41,51,58,67,74,80,85,93,99
3-hr:, 41,47,58,66,76,83,90,95,104,110
6-hr:, 51,59,71,81,93,102,110,116,126,134
12-hr:, 62,71,87,99,115,126,136,144,157,166
24-hr:, 74,85,104,119,138,151,163,173,188,199
2-day:, 88,101,122,139,159,175,187,197,213,226
3-day:, 98,111,134,152,172,188,200,211,227,239
4-day:, 106,120,143,162,182,198,211,221,237,249
7-day:, 127,142,167,186,207,223,235,244,259,270
10-day:, 146,162,187,208,229,244,256,264,277,288
20-day:, 200,219,248,271,292,307,317,322,333,341
30-day:, 248,270,304,329,350,366,374,376,384,389
45-day:, 313,340,380,409,431,447,452,455,457,459
60-day:, 370,402,449,483,504,521,525,527,530,533

Date/time (GMT):  Thu Jul 16 15:40:34 2026
pyRunTime:  0.02456378936767578
