Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 9 Version 2
Data type: Precipitation depth
Time series type: Partial duration
Project area: Southeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 32.183300 Degree
Longitude: -86.583300 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 12,13,16,18,21,23,25,27,30,32
10-min:, 17,19,23,26,31,34,37,40,44,47
15-min:, 21,24,28,32,37,41,45,49,54,58
30-min:, 30,34,41,47,55,60,66,72,79,85
60-min:, 39,45,54,61,72,80,88,97,108,117
2-hr:, 49,55,66,76,89,100,111,122,138,150
3-hr:, 55,62,74,85,101,114,127,142,162,178
6-hr:, 66,75,91,105,127,145,164,185,215,239
12-hr:, 78,90,111,131,161,185,212,241,283,316
24-hr:, 92,107,134,158,196,228,263,301,355,399
2-day:, 108,124,154,183,227,266,308,354,421,476
3-day:, 119,135,166,196,244,286,332,383,458,520
4-day:, 127,144,176,208,258,302,351,406,486,552
7-day:, 148,168,204,240,295,344,397,456,543,614
10-day:, 167,188,228,265,324,374,428,489,575,647
20-day:, 221,246,291,331,391,441,494,550,631,695
30-day:, 268,297,346,389,450,499,550,604,678,736
45-day:, 329,364,421,468,533,584,634,686,754,806
60-day:, 383,423,489,542,612,665,717,768,833,881

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 15,17,20,23,28,31,35,39,44,48
10-min:, 21,25,30,34,40,45,51,57,65,71
15-min:, 26,30,36,41,49,55,62,69,79,86
30-min:, 38,43,52,60,72,81,91,102,116,126
60-min:, 50,57,68,78,95,107,122,138,159,175
2-hr:, 61,69,84,96,117,133,152,173,201,222
3-hr:, 69,78,93,108,133,152,175,201,236,263
6-hr:, 82,93,113,132,167,193,225,261,312,350
12-hr:, 97,112,139,164,211,246,289,339,408,461
24-hr:, 113,132,165,196,256,302,356,420,509,577
2-day:, 132,152,189,225,296,350,415,492,601,684
3-day:, 144,164,203,241,318,376,448,531,653,744
4-day:, 154,175,215,254,335,396,473,561,690,788
7-day:, 179,202,247,292,380,447,530,627,766,871
10-day:, 201,226,275,322,414,483,568,667,808,915
20-day:, 264,294,349,399,491,562,646,742,876,977
30-day:, 319,353,413,466,560,631,714,808,934,1030
45-day:, 390,431,500,559,657,731,816,910,1031,1123
60-day:, 452,500,579,645,749,828,917,1013,1133,1225

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,13,14,16,17,18,19,20,21
10-min:, 13,15,18,21,23,25,27,28,30,31
15-min:, 16,19,22,25,28,31,33,34,36,38
30-min:, 24,27,33,37,42,45,48,50,53,55
60-min:, 31,35,43,48,55,60,64,67,72,76
2-hr:, 39,44,53,60,69,75,81,85,93,98
3-hr:, 44,50,59,68,78,86,93,100,110,117
6-hr:, 53,60,73,84,99,111,121,132,147,159
12-hr:, 64,73,90,105,127,143,158,173,195,212
24-hr:, 75,87,109,128,156,177,197,217,247,269
2-day:, 89,102,126,149,182,207,233,258,295,324
3-day:, 98,111,137,161,197,225,253,281,323,355
4-day:, 105,119,145,170,209,238,268,298,344,378
7-day:, 123,139,169,197,240,272,305,337,386,424
10-day:, 139,157,189,219,263,296,329,362,411,448
20-day:, 185,206,243,275,318,350,381,409,453,486
30-day:, 226,250,290,324,366,398,425,450,488,517
45-day:, 278,307,354,392,434,466,491,512,544,569
60-day:, 324,358,412,455,498,531,556,575,603,624

Date/time (GMT):  Thu Jul 16 15:42:25 2026
pyRunTime:  0.019583702087402344
