Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 9 Version 2
Data type: Precipitation depth
Time series type: Partial duration
Project area: Southeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 31.444900 Degree
Longitude: -86.953200 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 13,15,18,21,24,27,29,31,35,37
10-min:, 19,22,27,30,35,39,43,46,51,54
15-min:, 24,27,33,37,43,47,52,56,62,66
30-min:, 35,39,47,53,62,70,77,85,95,103
60-min:, 46,52,62,70,83,94,106,119,137,151
2-hr:, 58,64,76,87,104,119,135,153,179,199
3-hr:, 65,72,86,99,120,139,159,182,216,244
6-hr:, 78,87,105,123,153,180,210,245,295,338
12-hr:, 91,103,128,153,195,233,275,323,395,455
24-hr:, 106,122,154,187,241,290,345,408,501,579
2-day:, 124,142,180,218,283,341,407,482,594,687
3-day:, 135,154,193,234,301,363,432,511,629,727
4-day:, 144,164,204,245,314,377,448,528,647,747
7-day:, 167,188,232,275,346,410,481,560,678,776
10-day:, 188,211,256,300,371,434,504,582,696,790
20-day:, 253,277,324,368,436,496,561,632,736,821
30-day:, 307,336,386,432,500,558,619,685,779,855
45-day:, 376,412,473,524,596,653,710,770,850,912
60-day:, 433,479,552,611,688,746,801,855,923,972

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 17,19,23,26,31,35,40,45,51,56
10-min:, 24,28,34,38,46,52,58,66,75,82
15-min:, 30,34,41,47,56,63,71,80,91,100
30-min:, 44,49,59,67,82,93,106,121,141,155
60-min:, 58,65,77,89,111,127,148,171,204,228
2-hr:, 72,80,95,109,138,160,188,220,265,300
3-hr:, 80,89,106,123,159,186,221,262,320,365
6-hr:, 95,106,129,152,203,242,291,350,437,502
12-hr:, 111,126,156,188,258,311,380,461,581,672
24-hr:, 128,147,186,227,318,386,474,578,733,850
2-day:, 148,170,216,264,371,451,555,679,862,1001
3-day:, 161,184,231,281,393,478,587,717,910,1056
4-day:, 171,194,243,294,408,494,605,738,934,1082
7-day:, 196,222,274,328,444,531,643,776,970,1117
10-day:, 220,248,302,356,471,559,669,800,990,1134
20-day:, 294,323,379,433,545,629,735,860,1036,1170
30-day:, 356,389,450,506,616,700,804,923,1089,1214
45-day:, 433,476,548,611,724,809,911,1025,1176,1290
60-day:, 497,551,638,710,827,916,1018,1129,1266,1370

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,21,21,23,23
10-min:, 15,17,21,24,26,29,30,31,33,34
15-min:, 19,21,25,29,32,35,37,38,40,42
30-min:, 27,31,37,42,47,51,55,57,62,65
60-min:, 37,41,48,55,63,70,76,81,89,96
2-hr:, 46,51,60,68,80,89,97,106,118,128
3-hr:, 52,58,68,78,93,104,116,127,144,157
6-hr:, 63,70,84,98,120,137,155,172,199,220
12-hr:, 74,84,104,123,155,179,205,230,269,299
24-hr:, 88,100,126,152,194,226,259,294,346,385
2-day:, 103,118,149,180,230,269,309,351,414,461
3-day:, 113,129,161,193,247,288,330,374,441,492
4-day:, 121,137,170,204,259,300,343,388,456,507
7-day:, 141,159,195,231,286,328,371,414,481,531
10-day:, 160,179,217,253,307,349,390,432,496,544
20-day:, 217,238,277,313,364,402,438,474,530,572
30-day:, 266,290,333,370,417,454,486,516,563,599
45-day:, 327,358,410,451,497,532,559,581,616,643
60-day:, 379,418,481,529,574,609,631,646,670,689

Date/time (GMT):  Thu Jul 16 15:41:51 2026
pyRunTime:  0.018600940704345703
