Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 9 Version 2
Data type: Precipitation depth
Time series type: Partial duration
Project area: Southeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 33.666700 Degree
Longitude: -87.183300 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,15,18,21,23,26,29,33,36
10-min:, 16,18,22,26,30,34,38,42,48,53
15-min:, 20,23,27,31,37,42,47,52,59,64
30-min:, 29,33,40,46,55,62,69,77,87,95
60-min:, 38,44,53,61,72,81,91,101,115,126
2-hr:, 47,54,66,75,90,101,113,126,143,157
3-hr:, 53,61,74,85,101,114,128,142,162,178
6-hr:, 65,73,89,102,122,139,157,176,203,224
12-hr:, 78,88,106,123,149,170,194,220,257,287
24-hr:, 93,105,128,149,181,209,240,273,321,361
2-day:, 107,122,151,178,218,252,289,329,386,433
3-day:, 116,133,162,190,233,269,309,352,414,465
4-day:, 126,141,170,197,240,277,318,363,428,481
7-day:, 154,166,191,216,256,292,333,379,447,503
10-day:, 177,189,213,238,277,313,353,399,465,521
20-day:, 234,254,290,321,366,404,443,485,543,590
30-day:, 284,312,358,396,448,487,527,566,618,657
45-day:, 353,390,447,492,550,592,632,670,716,748
60-day:, 418,459,523,572,634,678,719,756,799,828

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 14,16,19,22,28,32,36,42,49,54
10-min:, 20,23,28,33,40,46,53,61,72,80
15-min:, 25,28,35,40,49,57,65,75,87,97
30-min:, 37,42,51,59,73,83,96,110,130,144
60-min:, 48,55,67,77,96,110,127,146,171,191
2-hr:, 59,68,82,95,118,136,157,180,212,236
3-hr:, 66,75,92,106,132,152,176,202,239,266
6-hr:, 80,90,109,127,160,185,215,249,297,334
12-hr:, 95,107,130,151,193,225,265,310,375,424
24-hr:, 112,126,154,181,234,275,325,383,466,529
2-day:, 127,146,181,214,278,327,387,457,556,631
3-day:, 138,157,193,227,296,348,412,487,594,674
4-day:, 148,167,201,235,305,357,423,501,612,696
7-day:, 180,194,224,254,323,375,441,521,636,723
10-day:, 205,219,249,279,347,398,465,545,659,746
20-day:, 268,292,334,372,446,502,571,650,757,838
30-day:, 323,356,410,457,537,598,670,750,853,930
45-day:, 400,442,509,563,652,719,796,878,978,1054
60-day:, 471,518,593,653,747,819,900,986,1087,1163

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,18,20,21,23
10-min:, 13,14,17,20,23,25,27,29,31,33
15-min:, 15,18,21,24,28,31,33,35,38,41
30-min:, 23,26,31,36,41,45,49,52,57,60
60-min:, 30,34,41,47,54,60,64,69,75,80
2-hr:, 37,43,52,59,68,75,81,86,94,100
3-hr:, 42,48,58,67,77,85,92,98,107,114
6-hr:, 52,59,71,81,95,105,114,123,136,146
12-hr:, 64,72,86,99,117,130,143,155,174,189
24-hr:, 76,86,104,121,144,162,179,195,220,239
2-day:, 89,102,125,146,175,197,218,237,268,291
3-day:, 97,111,135,157,188,212,234,256,289,314
4-day:, 106,119,142,164,196,219,243,265,300,327
7-day:, 130,141,161,181,211,234,257,280,317,344
10-day:, 151,161,181,200,230,252,274,296,332,358
20-day:, 202,219,249,274,304,326,346,362,390,410
30-day:, 246,271,309,340,371,395,412,424,445,460
45-day:, 309,340,389,425,457,482,496,504,517,527
60-day:, 367,403,457,497,530,554,567,571,580,587

Date/time (GMT):  Thu Jul 16 15:42:13 2026
pyRunTime:  0.025699615478515625
