Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 9 Version 2
Data type: Precipitation depth
Time series type: Partial duration
Project area: Southeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 34.783300 Degree
Longitude: -87.666700 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,15,17,21,24,27,30,35,39
10-min:, 15,18,22,25,31,35,39,44,51,56
15-min:, 19,22,27,31,37,43,48,54,62,69
30-min:, 27,31,38,44,54,61,69,78,90,99
60-min:, 35,40,49,57,68,77,87,97,111,122
2-hr:, 44,50,61,70,83,94,105,117,133,145
3-hr:, 50,57,68,78,92,103,115,127,143,156
6-hr:, 62,69,83,94,110,124,137,151,171,186
12-hr:, 75,84,101,115,136,153,170,189,215,235
24-hr:, 88,100,121,139,166,188,210,234,268,295
2-day:, 103,118,143,165,197,223,250,279,318,349
3-day:, 114,130,156,179,213,240,268,298,340,373
4-day:, 124,140,167,190,224,252,280,311,353,386
7-day:, 149,166,194,218,253,280,308,338,378,409
10-day:, 170,188,218,244,279,307,335,364,402,432
20-day:, 229,251,287,316,357,388,418,449,490,520
30-day:, 279,305,347,381,427,461,494,527,569,599
45-day:, 345,378,429,470,522,560,595,629,669,697
60-day:, 403,443,503,550,608,648,684,717,755,778

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 13,15,19,22,28,32,37,43,51,57
10-min:, 19,22,27,32,41,47,55,63,75,84
15-min:, 23,27,33,39,50,57,67,77,91,102
30-min:, 34,39,48,56,71,82,96,111,132,148
60-min:, 44,51,62,72,90,104,120,138,163,182
2-hr:, 55,62,76,87,108,124,143,163,192,213
3-hr:, 62,70,84,97,118,135,154,176,205,227
6-hr:, 75,84,101,115,141,160,182,207,241,267
12-hr:, 89,101,121,139,171,195,223,255,300,333
24-hr:, 104,119,144,166,206,237,273,313,369,411
2-day:, 120,137,168,194,242,277,319,366,431,479
3-day:, 132,150,181,209,258,296,340,389,457,508
4-day:, 142,161,192,220,270,308,353,403,471,523
7-day:, 169,188,221,250,300,338,382,431,497,547
10-day:, 192,212,247,277,328,366,411,460,525,574
20-day:, 254,279,320,354,411,455,504,558,628,681
30-day:, 307,336,384,424,487,535,589,648,721,777
45-day:, 376,413,471,517,588,642,701,764,839,895
60-day:, 438,481,548,601,679,737,799,863,937,993

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,14,16,18,19,21,23,24
10-min:, 12,14,17,20,23,26,28,30,33,36
15-min:, 15,17,21,24,28,32,34,37,41,44
30-min:, 21,24,30,35,41,45,49,53,59,63
60-min:, 28,32,39,45,52,57,62,66,73,77
2-hr:, 35,40,49,56,64,70,76,80,88,93
3-hr:, 41,46,55,62,71,78,83,88,95,101
6-hr:, 50,57,67,76,87,94,101,106,115,121
12-hr:, 62,70,83,94,108,118,127,135,147,156
24-hr:, 74,84,102,116,134,147,159,169,185,197
2-day:, 88,100,122,140,161,177,191,204,223,237
3-day:, 98,111,134,152,175,192,207,220,240,255
4-day:, 107,121,143,163,185,203,217,230,250,265
7-day:, 130,145,169,189,211,228,242,253,271,284
10-day:, 150,166,191,212,234,251,264,274,290,302
20-day:, 204,224,255,279,303,321,334,342,358,369
30-day:, 251,274,311,339,365,385,397,404,418,428
45-day:, 313,343,388,422,450,471,482,486,495,502
60-day:, 368,404,457,496,525,547,556,556,561,564

Date/time (GMT):  Thu Jul 16 15:41:58 2026
pyRunTime:  0.02733325958251953
