site_no,site_name,huc12,drainage_area_sqmi,record_years,first_water_year,last_water_year,missing_water_year_count,qualified_peak_fraction,duplicate_year_fraction,kendall_tau,kendall_p,lag1_autocorrelation,pettitt_change_year,pettitt_p,stationarity_warning,frequency_method,lp3_mean_log10,lp3_std_log10,lp3_station_skew,lp3_q2_cfs,lp3_q5_cfs,lp3_q10_cfs,lp3_q25_cfs,lp3_q50_cfs,lp3_q100_cfs,lp3_q200_cfs,lp3_q500_cfs,historical_max_peak_time,historical_max_water_year,historical_max_peak_cfs,historical_max_cfs_per_sqmi,empirical_return_period_years,lp3_return_period_years,historical_max_screening_return_period_years,historical_max_flood_class
02338523,,031300020601,16.8,19,2002,2025,5,0.21052631578947367,0.0,0.49707602339181284,0.0024331184156508017,-0.07207352751274278,2016.0,0.021119777817256467,True,empirical only,,,,,,,,,,,,2017-04-05 14:16:00+00:00,2017.0,5740.0,341.66666666666663,20.0,,20.0,10–25-year
02339225,,031300020806,60.2,12,1979,1990,0,0.0,0.0,-0.0303030303030303,0.9465592891547753,0.4250085295212257,1987.0,0.792046742404191,True,empirical only,,,,,,,,,,,,1990-03-17 00:00:00+00:00,1990.0,11000.0,182.72425249169433,13.0,,13.0,10–25-year
02339495,,031300020903,86.4,17,2007,2024,1,0.11764705882352941,0.0,0.5873971250985845,0.0010970063513885682,0.5493039063401941,2015.0,0.007023277755913092,True,empirical only,,,,,,,,,,,,2015-12-25 00:00:00+00:00,2016.0,8300.0,96.06481481481481,18.0,,18.0,10–25-year
02339500,,031300020908,3550.0,129,1897,2025,0,0.4806201550387597,0.0,-0.25175861345506734,2.3708746248745504e-05,0.28371662902575373,1975.0,3.434128868920428e-05,True,station-skew LP3 screening,4.54835908394061,0.20834362579814578,0.0996619397098527,35067.02626624382,52798.346590465626,65688.06004844603,83204.9631623903,97117.25085117981,111750.73416314884,127203.36034234194,149024.58900597962,1919-12-10 00:00:00+00:00,1920.0,134000.0,37.74647887323944,131.0,268.0686514658295,268.0686514658295,200–500-year
02339555,,031300020908,3550.0,3,1920,1961,39,1.0,0.0,,,,,,False,empirical only,,,,,,,,,,,,1919-12-10 00:00:00+00:00,1920.0,134000.0,37.74647887323944,4.0,,4.0,2–5-year
02339780,,031300020908,3630.0,10,1920,1991,62,1.0,0.0,-0.16296706901290156,0.523392976636277,0.1762666447641838,1984.0,0.7955902386398751,False,empirical only,,,,,,,,,,,,1919-12-10 00:00:00+00:00,1920.0,135000.0,37.1900826446281,11.0,,11.0,10–25-year
02340750,,031300021105,99.7,22,1953,1974,0,0.0,0.0,-0.060737670013178605,0.6928959834799091,0.07531446842873073,1955.0,0.8443133821557277,False,station-skew LP3 screening,3.601941952630216,0.24131048353674103,0.5969845337985094,3784.975744408134,6236.432838389654,8365.423434922814,11738.91918438858,14822.422827458327,18462.251420434586,22758.353288604456,29640.308364907367,1961-02-25 00:00:00+00:00,1961.0,19500.0,195.58676028084253,23.0,119.51109494408387,119.51109494408387,100–200-year
02341460,,031300030304,4630.0,12,2014,2025,0,1.0,0.0,0.303030303030303,0.19694994338223504,-0.09219007126662677,2018.0,0.6288238548455856,False,empirical only,,,,,,,,,,,,2015-12-25 00:00:00+00:00,2016.0,95200.0,20.56155507559395,13.0,,13.0,10–25-year
02341500,,031300030304,4670.0,78,1841,2001,83,1.0,0.0,-0.15423052154828856,0.04575445552808976,0.30798078968033477,1949.0,0.15609764906403245,True,station-skew LP3 screening,4.760982151092362,0.22825623769562486,-0.17850325268846615,58582.74035000382,90115.33301461168,111891.22584247634,140030.9510088244,161300.89763530754,182751.94503610503,204480.9393178287,233731.2774573474,1929-03-15 00:00:00+00:00,1929.0,198000.0,42.398286937901496,80.0,162.8179859916873,162.8179859916873,100–200-year
02341505,,031300030304,4670.0,13,2002,2014,0,1.0,0.0,-0.025641025641025637,0.9523619079608663,-0.2856490238307318,2002.0,1.0,False,empirical only,,,,,,,,,,,,2003-05-09 06:00:00+00:00,2003.0,150000.0,32.11991434689507,14.0,,14.0,10–25-year
02341566,,031300030306,4750.0,10,1982,1991,0,1.0,0.0,-0.1111111111111111,0.7274895282186948,0.059342917904531646,1983.0,0.9118248435222587,False,empirical only,,,,,,,,,,,,1990-03-17 00:00:00+00:00,1990.0,98800.0,20.8,11.0,,11.0,10–25-year
02342150,,031300030504,134.0,20,1951,1970,0,0.0,0.0,0.06349295223253276,0.6967274236606605,-0.28773044499672884,1956.0,0.9187787262316415,False,station-skew LP3 screening,3.626059945869593,0.36137989995016095,-0.41127912630429353,4474.7445087169,8612.742450563932,11759.114207608001,16024.836497387207,19337.400224064946,22718.38510767895,26160.101620837002,30788.644727173392,1964-04-09 00:00:00+00:00,1964.0,19500.0,145.52238805970148,21.0,51.71099828856723,51.71099828856723,50–100-year
02342200,,031300030401,6.67,16,1959,1974,0,0.0,0.0,0.07531446678801507,0.6850262730697994,-0.4304101016686033,1963.0,1.0,True,empirical only,,,,,,,,,,,,1964-04-08 00:00:00+00:00,1964.0,3030.0,454.2728635682159,17.0,,17.0,10–25-year
02342500,,031300030505,322.0,79,1947,2025,0,0.02531645569620253,0.0,0.032813530855428756,0.6689505169684633,-0.1157143501073249,2015.0,0.7028169676563599,False,station-skew LP3 screening,3.9556189030052176,0.31187416061091167,0.16200498975315733,8855.260128829654,16418.88138801474,22925.565152511528,33006.74306565533,41965.22436022603,52247.69256093405,64020.47517769096,82175.18669698888,2024-02-13 02:30:00+00:00,2024.0,62100.0,192.85714285714286,80.0,179.7166313847539,179.7166313847539,100–200-year
