Station ID,State,Station name,Latitude,Longitude,Post-merge station ID,Co-located station ID,Base duration,Source of data,Period of record,Elevation (ft)
01-1819,AL,COLBERT STEAM PLT,34.75,-87.85,,,1-day; 1-hour,NCDC,1/1949-12/1980; 11/1951-12/1980,469
01-1849,AL,COLLINSVILLE,34.25,-85.8833,,,1-day,NCDC,3/1938-10/1977,751
01-1940,AL,CORDOVA 2 ENE,33.75,-87.15,,,1-day,NCDC,2/1901-7/1991,320
01-2079,AL,CUBA,32.4333,-88.3833,,,1-day,NCDC,2/1940-2/1983,220
01-2119,AL,DADEVILLE,32.8167,-85.75,,,1-day,NCDC,7/1904-4/2010,650
01-2124,AL,DADEVILLE 2,32.8622,-85.7358,,01-2119,1-hour; 15-min,NCDC,6/1948-12/2010; 5/1971-12/2010,733
01-2141,AL,DANCY 4 N,33.0667,-88.2833,,,1-day,NCDC,2/1905-6/1965,210
01-2172,AL,DAUPHIN ISLAND #2,30.25,-88.0833,,,1-day; 1-hour; 15-min,NCDC,6/1866-10/2011; 6/1948-12/2010; 8/1975-12/2010,8
01-2188,AL,DAYTON 1 N,32.3667,-87.65,,,1-day,NCDC,1/1940-3/1982,230
01-2207,AL,DECATUR,34.5833,-86.9667,,,1-day,NCDC,2/1880-5/1969,581
01-2240,AL,DEMOPOLIS LOCK 4,32.5167,-87.85,01-2245,,1-day,NCDC,11/1892-8/1954,102
01-2245,AL,DEMOPOLIS L&D,32.5192,-87.8794,,,1-day,NCDC,11/1892-10/2011,100
01-2350,AL,DORA,33.7386,-87.0792,,,1-day,NCDC,3/1938-10/2011,358
01-2372,AL,DOTHAN FAA AP,31.3167,-85.45,,,1-day,NCDC,4/1902-12/1969,371
01-2377,AL,DOTHAN,31.1942,-85.3708,,,1-day; 1-hour; 15-min,NCDC,4/1952-10/2011; 4/1952-12/2010; 5/1971-12/2010,275
01-2577,AL,ELBA,31.4239,-86.0667,,,1-day,NCDC,3/1893-12/2010,195
01-2632,AL,ELROD,33.2569,-87.7972,,,1-day,NCDC,2/1940-7/2000,252
01-2670,AL,ENTERPRISE,31.3167,-85.85,01-2675,,1-day,NCDC,1/1956-5/1966,381
01-2675,AL,ENTERPRISE 2 W,31.3147,-85.8797,,,1-day; 1-hour; 15-min,NCDC,1/1956-10/2011; 4/1971-12/2010; 5/1971-12/2010,398
01-2727,AL,EUFAULA,31.8667,-85.15,,,1-day,NCDC,6/1892-2/1967,200
01-2730,AL,EUFAULA WILDLIFE REF,32.0086,-85.0919,,,1-day,NCDC,3/1967-9/2011,230
01-2742,AL,WARRIOR L&D,32.7833,-87.8333,01-8673,,1-day; 1-hour,NCDC,5/1938-11/1957; 6/1948-12/1957,112
01-2758,AL,EVERGREEN,31.4449,-86.9532,,,1-day,NCDC,10/1890-10/2011,290
01-2763,AL,EVERGREEN FAA AP,31.4167,-87.0333,01-2758,,1-day,NCDC,12/1949-7/1961,256
01-2813,AL,FAIRHOPE 2 NE,30.5467,-87.8808,,,1-day,NCDC,8/1917-10/2011,23
01-2840,AL,FALKVILLE 1 E,34.3667,-86.8833,,,1-day,NCDC,8/1938-6/1992,625
01-2883,AL,FAYETTE,33.6847,-87.8219,,,1-day,NCDC,3/1892-10/2011,365
01-2971,AL,FLORENCE,34.8,-87.6833,,,1-day,NCDC,1/1893-4/1977,581
01-2976,AL,FLORENCE AT LOCK,34.7833,-87.6667,01-5749,,1-day,NCDC,12/1890-11/1959,449
01-3024,AL,FT DEPOSIT,31.9833,-86.5833,,,1-day,NCDC,11/1891-10/1969,502
01-3035,AL,FT MORGAN,30.2333,-88.0167,01-2172,,1-day; 1-hour,NCDC,5/1940-7/1975; 6/1948-7/1975,10
01-3043,AL,FT PAYNE,34.4406,-85.7236,,,1-day; 1-hour,NCDC,7/1935-10/2011; 6/1948-12/2010,917
