station_id,station_name,state,latitude,longitude,duration,duration_hours,ari_years,estimate_mm,lower_90_mm,upper_90_mm,confidence_width_mm,lower_difference_mm,upper_difference_mm
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-day,240.0,1.0,174.0,146.0,205.0,59.0,28.0,31.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-day,240.0,2.0,194.0,163.0,229.0,66.0,31.0,35.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-day,240.0,5.0,231.0,193.0,274.0,81.0,38.0,43.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-day,240.0,10.0,266.0,222.0,317.0,95.0,44.0,51.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-day,240.0,25.0,321.0,263.0,403.0,140.0,58.0,82.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-day,240.0,50.0,369.0,294.0,468.0,174.0,75.0,99.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-day,240.0,100.0,421.0,325.0,548.0,223.0,96.0,127.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-day,240.0,200.0,478.0,356.0,640.0,284.0,122.0,162.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-day,240.0,500.0,561.0,403.0,772.0,369.0,158.0,211.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-day,240.0,1000.0,629.0,438.0,872.0,434.0,191.0,243.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-min,0.16666666666666666,1.0,19.0,15.0,24.0,9.0,4.0,5.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-min,0.16666666666666666,2.0,22.0,18.0,27.0,9.0,4.0,5.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-min,0.16666666666666666,5.0,27.0,21.0,33.0,12.0,6.0,6.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-min,0.16666666666666666,10.0,30.0,24.0,38.0,14.0,6.0,8.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-min,0.16666666666666666,25.0,35.0,27.0,45.0,18.0,8.0,10.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-min,0.16666666666666666,50.0,39.0,29.0,51.0,22.0,10.0,12.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-min,0.16666666666666666,100.0,42.0,31.0,57.0,26.0,11.0,15.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-min,0.16666666666666666,200.0,46.0,32.0,64.0,32.0,14.0,18.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-min,0.16666666666666666,500.0,50.0,34.0,72.0,38.0,16.0,22.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-min,0.16666666666666666,1000.0,54.0,36.0,78.0,42.0,18.0,24.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,12-hr,12.0,1.0,82.0,68.0,100.0,32.0,14.0,18.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,12-hr,12.0,2.0,97.0,80.0,118.0,38.0,17.0,21.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,12-hr,12.0,5.0,123.0,101.0,151.0,50.0,22.0,28.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,12-hr,12.0,10.0,148.0,120.0,181.0,61.0,28.0,33.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,12-hr,12.0,25.0,184.0,147.0,238.0,91.0,37.0,54.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,12-hr,12.0,50.0,216.0,168.0,281.0,113.0,48.0,65.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,12-hr,12.0,100.0,249.0,188.0,334.0,146.0,61.0,85.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,12-hr,12.0,200.0,286.0,207.0,393.0,186.0,79.0,107.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,12-hr,12.0,500.0,338.0,236.0,478.0,242.0,102.0,140.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,12-hr,12.0,1000.0,380.0,257.0,542.0,285.0,123.0,162.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,15-min,0.25,1.0,23.0,19.0,29.0,10.0,4.0,6.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,15-min,0.25,2.0,27.0,22.0,33.0,11.0,5.0,6.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,15-min,0.25,5.0,32.0,26.0,40.0,14.0,6.0,8.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,15-min,0.25,10.0,37.0,29.0,46.0,17.0,8.0,9.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,15-min,0.25,25.0,43.0,33.0,55.0,22.0,10.0,12.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,15-min,0.25,50.0,47.0,36.0,62.0,26.0,11.0,15.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,15-min,0.25,100.0,52.0,38.0,70.0,32.0,14.0,18.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,15-min,0.25,200.0,56.0,39.0,78.0,39.0,17.0,22.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,15-min,0.25,500.0,62.0,42.0,88.0,46.0,20.0,26.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,15-min,0.25,1000.0,66.0,43.0,96.0,53.0,23.0,30.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,2-day,48.0,1.0,115.0,95.0,138.0,43.0,20.0,23.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,2-day,48.0,2.0,132.0,109.0,158.0,49.0,23.0,26.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,2-day,48.0,5.0,164.0,136.0,198.0,62.0,28.0,34.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,2-day,48.0,10.0,195.0,161.0,236.0,75.0,34.0,41.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,2-day,48.0,25.0,244.0,198.0,314.0,116.0,46.0,70.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,2-day,48.0,50.0,288.0,227.0,372.0,145.0,61.0,84.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,2-day,48.0,100.0,335.0,256.0,444.0,188.0,79.0,109.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,2-day,48.0,200.0,388.0,285.0,528.0,243.0,103.0,140.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,2-day,48.0,500.0,464.0,328.0,650.0,322.0,136.0,186.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,2-day,48.0,1000.0,528.0,362.0,742.0,380.0,166.0,214.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,2-hr,2.0,1.0,52.0,42.0,64.0,22.0,10.0,12.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,2-hr,2.0,2.0,59.0,48.0,73.0,25.0,11.0,14.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,2-hr,2.0,5.0,71.0,57.0,88.0,31.0,14.0,17.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,2-hr,2.0,10.0,82.0,66.0,102.0,36.0,16.0,20.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,2-hr,2.0,25.0,98.0,77.0,127.0,50.0,21.0,29.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,2-hr,2.0,50.0,111.0,85.0,146.0,61.0,26.0,35.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,2-hr,2.0,100.0,125.0,92.0,169.0,77.0,33.0,44.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,2-hr,2.0,200.0,139.0,99.0,194.0,95.0,40.0,55.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,2-hr,2.0,500.0,160.0,109.0,228.0,119.0,51.0,68.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,2-hr,2.0,1000.0,176.0,117.0,255.0,138.0,59.0,79.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,20-day,480.0,1.0,227.0,191.0,266.0,75.0,36.0,39.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,20-day,480.0,2.0,252.0,213.0,296.0,83.0,39.0,44.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,20-day,480.0,5.0,297.0,250.0,349.0,99.0,47.0,52.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,20-day,480.0,10.0,337.0,282.0,399.0,117.0,55.0,62.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,20-day,480.0,25.0,397.0,325.0,491.0,166.0,72.0,94.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,20-day,480.0,50.0,448.0,358.0,560.0,202.0,90.0,112.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,20-day,480.0,100.0,501.0,389.0,644.0,255.0,112.0,143.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,20-day,480.0,200.0,559.0,418.0,739.0,321.0,141.0,180.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,20-day,480.0,500.0,641.0,462.0,872.0,410.0,179.0,231.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,20-day,480.0,1000.0,707.0,495.0,972.0,477.0,212.0,265.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,24-hr,24.0,1.0,97.0,80.0,117.0,37.0,17.0,20.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,24-hr,24.0,2.0,115.0,95.0,139.0,44.0,20.0,24.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,24-hr,24.0,5.0,146.0,120.0,177.0,57.0,26.0,31.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,24-hr,24.0,10.0,176.0,144.0,214.0,70.0,32.0,38.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,24-hr,24.0,25.0,221.0,177.0,284.0,107.0,44.0,63.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,24-hr,24.0,50.0,259.0,203.0,336.0,133.0,56.0,77.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,24-hr,24.0,100.0,300.0,227.0,400.0,173.0,73.0,100.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,24-hr,24.0,200.0,346.0,252.0,473.0,221.0,94.0,127.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,24-hr,24.0,500.0,411.0,288.0,577.0,289.0,123.0,166.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,24-hr,24.0,1000.0,463.0,315.0,656.0,341.0,148.0,193.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,3-day,72.0,1.0,125.0,104.0,149.0,45.0,21.0,24.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,3-day,72.0,2.0,143.0,119.0,171.0,52.0,24.0,28.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,3-day,72.0,5.0,177.0,147.0,212.0,65.0,30.0,35.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,3-day,72.0,10.0,210.0,173.0,253.0,80.0,37.0,43.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,3-day,72.0,25.0,262.0,213.0,335.0,122.0,49.0,73.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,3-day,72.0,50.0,308.0,243.0,396.0,153.0,65.0,88.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,3-day,72.0,100.0,358.0,274.0,472.0,198.0,84.0,114.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,3-day,72.0,200.0,413.0,304.0,561.0,257.0,109.0,148.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,3-day,72.0,500.0,494.0,351.0,688.0,337.0,143.0,194.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,3-day,72.0,1000.0,560.0,385.0,785.0,400.0,175.0,225.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,3-hr,3.0,1.0,58.0,47.0,72.0,25.0,11.0,14.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,3-hr,3.0,2.0,66.0,54.0,81.0,27.0,12.0,15.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,3-hr,3.0,5.0,80.0,65.0,99.0,34.0,15.0,19.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,3-hr,3.0,10.0,93.0,75.0,115.0,40.0,18.0,22.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,3-hr,3.0,25.0,112.0,88.0,146.0,58.0,24.0,34.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,3-hr,3.0,50.0,128.0,99.0,169.0,70.0,29.0,41.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,3-hr,3.0,100.0,146.0,109.0,197.0,88.0,37.0,51.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,3-hr,3.0,200.0,165.0,118.0,230.0,112.0,47.0,65.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,3-hr,3.0,500.0,192.0,132.0,275.0,143.0,60.0,83.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,3-hr,3.0,1000.0,214.0,143.0,309.0,166.0,71.0,95.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,30-day,720.0,1.0,274.0,232.0,320.0,88.0,42.0,46.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,30-day,720.0,2.0,305.0,258.0,357.0,99.0,47.0,52.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,30-day,720.0,5.0,357.0,301.0,419.0,118.0,56.0,62.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,30-day,720.0,10.0,402.0,338.0,474.0,136.0,64.0,72.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,30-day,720.0,25.0,467.0,382.0,571.0,189.0,85.0,104.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,30-day,720.0,50.0,519.0,416.0,644.0,228.0,103.0,125.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,30-day,720.0,100.0,574.0,445.0,730.0,285.0,129.0,156.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,30-day,720.0,200.0,631.0,471.0,826.0,355.0,160.0,195.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,30-day,720.0,500.0,709.0,512.0,957.0,445.0,197.0,248.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,30-day,720.0,1000.0,770.0,542.0,1056.0,514.0,228.0,286.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,30-min,0.5,1.0,32.0,26.0,40.0,14.0,6.0,8.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,30-min,0.5,2.0,37.0,30.0,46.0,16.0,7.0,9.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,30-min,0.5,5.0,45.0,36.0,57.0,21.0,9.0,12.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,30-min,0.5,10.0,52.0,41.0,65.0,24.0,11.0,13.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,30-min,0.5,25.0,61.0,47.0,78.0,31.0,14.0,17.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,30-min,0.5,50.0,67.0,51.0,88.0,37.0,16.0,21.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,30-min,0.5,100.0,74.0,54.0,99.0,45.0,20.0,25.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,30-min,0.5,200.0,80.0,56.0,111.0,55.0,24.0,31.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,30-min,0.5,500.0,88.0,59.0,126.0,67.0,29.0,38.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,30-min,0.5,1000.0,94.0,62.0,137.0,75.0,32.0,43.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,4-day,96.0,1.0,133.0,111.0,158.0,47.0,22.0,25.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,4-day,96.0,2.0,152.0,126.0,181.0,55.0,26.0,29.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,4-day,96.0,5.0,187.0,156.0,224.0,68.0,31.0,37.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,4-day,96.0,10.0,222.0,183.0,266.0,83.0,39.0,44.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,4-day,96.0,25.0,275.0,224.0,350.0,126.0,51.0,75.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,4-day,96.0,50.0,322.0,255.0,413.0,158.0,67.0,91.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,4-day,96.0,100.0,373.0,286.0,491.0,205.0,87.0,118.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,4-day,96.0,200.0,430.0,317.0,581.0,264.0,113.0,151.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,4-day,96.0,500.0,512.0,364.0,711.0,347.0,148.0,199.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,4-day,96.0,1000.0,579.0,400.0,810.0,410.0,179.0,231.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,45-day,1080.0,1.0,340.0,289.0,395.0,106.0,51.0,55.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,45-day,1080.0,2.0,377.0,320.0,439.0,119.0,57.0,62.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,45-day,1080.0,5.0,438.0,371.0,512.0,141.0,67.0,74.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,45-day,1080.0,10.0,489.0,412.0,574.0,162.0,77.0,85.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,45-day,1080.0,25.0,559.0,456.0,675.0,219.0,103.0,116.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,45-day,1080.0,50.0,612.0,490.0,752.0,262.0,122.0,140.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,45-day,1080.0,100.0,666.0,517.0,840.0,323.0,149.0,174.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,45-day,1080.0,200.0,720.0,539.0,935.0,396.0,181.0,215.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,45-day,1080.0,500.0,791.0,572.0,1059.0,487.0,219.0,268.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,45-day,1080.0,1000.0,845.0,597.0,1153.0,556.0,248.0,308.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,5-min,0.08333333333333333,1.0,13.0,11.0,16.0,5.0,2.0,3.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,5-min,0.08333333333333333,2.0,15.0,12.0,19.0,7.0,3.0,4.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,5-min,0.08333333333333333,5.0,18.0,15.0,23.0,8.0,3.0,5.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,5-min,0.08333333333333333,10.0,21.0,16.0,26.0,10.0,5.0,5.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,5-min,0.08333333333333333,25.0,24.0,18.0,31.0,13.0,6.0,7.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,5-min,0.08333333333333333,50.0,26.0,20.0,35.0,15.0,6.0,9.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,5-min,0.08333333333333333,100.0,29.0,21.0,39.0,18.0,8.0,10.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,5-min,0.08333333333333333,200.0,31.0,22.0,43.0,21.0,9.0,12.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,5-min,0.08333333333333333,500.0,34.0,23.0,49.0,26.0,11.0,15.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,5-min,0.08333333333333333,1000.0,37.0,24.0,54.0,30.0,13.0,17.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,6-hr,6.0,1.0,70.0,57.0,86.0,29.0,13.0,16.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,6-hr,6.0,2.0,80.0,66.0,98.0,32.0,14.0,18.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,6-hr,6.0,5.0,99.0,81.0,122.0,41.0,18.0,23.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,6-hr,6.0,10.0,117.0,94.0,144.0,50.0,23.0,27.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,6-hr,6.0,25.0,144.0,114.0,187.0,73.0,30.0,43.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,6-hr,6.0,50.0,167.0,129.0,219.0,90.0,38.0,52.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,6-hr,6.0,100.0,192.0,144.0,259.0,115.0,48.0,67.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,6-hr,6.0,200.0,220.0,158.0,304.0,146.0,62.0,84.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,6-hr,6.0,500.0,259.0,180.0,370.0,190.0,79.0,111.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,6-hr,6.0,1000.0,292.0,196.0,419.0,223.0,96.0,127.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,60-day,1440.0,1.0,399.0,340.0,463.0,123.0,59.0,64.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,60-day,1440.0,2.0,442.0,376.0,514.0,138.0,66.0,72.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,60-day,1440.0,5.0,511.0,433.0,595.0,162.0,78.0,84.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,60-day,1440.0,10.0,566.0,477.0,662.0,185.0,89.0,96.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,60-day,1440.0,25.0,638.0,521.0,766.0,245.0,117.0,128.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,60-day,1440.0,50.0,692.0,554.0,844.0,290.0,138.0,152.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,60-day,1440.0,100.0,743.0,578.0,932.0,354.0,165.0,189.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,60-day,1440.0,200.0,794.0,595.0,1025.0,430.0,199.0,231.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,60-day,1440.0,500.0,857.0,620.0,1141.0,521.0,237.0,284.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,60-day,1440.0,1000.0,903.0,640.0,1229.0,589.0,263.0,326.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,60-min,1.0,1.0,42.0,34.0,52.0,18.0,8.0,10.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,60-min,1.0,2.0,48.0,39.0,60.0,21.0,9.0,12.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,60-min,1.0,5.0,58.0,47.0,73.0,26.0,11.0,15.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,60-min,1.0,10.0,67.0,54.0,84.0,30.0,13.0,17.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,60-min,1.0,25.0,79.0,61.0,103.0,42.0,18.0,24.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,60-min,1.0,50.0,89.0,68.0,118.0,50.0,21.0,29.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,60-min,1.0,100.0,99.0,73.0,134.0,61.0,26.0,35.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,60-min,1.0,200.0,110.0,77.0,153.0,76.0,33.0,43.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,60-min,1.0,500.0,124.0,84.0,178.0,94.0,40.0,54.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,60-min,1.0,1000.0,135.0,89.0,197.0,108.0,46.0,62.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,7-day,168.0,1.0,155.0,130.0,183.0,53.0,25.0,28.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,7-day,168.0,2.0,174.0,146.0,206.0,60.0,28.0,32.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,7-day,168.0,5.0,210.0,176.0,250.0,74.0,34.0,40.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,7-day,168.0,10.0,245.0,204.0,293.0,89.0,41.0,48.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,7-day,168.0,25.0,300.0,245.0,378.0,133.0,55.0,78.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,7-day,168.0,50.0,347.0,276.0,442.0,166.0,71.0,95.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,7-day,168.0,100.0,399.0,307.0,521.0,214.0,92.0,122.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,7-day,168.0,200.0,456.0,338.0,613.0,275.0,118.0,157.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,7-day,168.0,500.0,539.0,386.0,744.0,358.0,153.0,205.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,7-day,168.0,1000.0,607.0,421.0,844.0,423.0,186.0,237.0
01-0063,ADDISON,AL,34.2031,-87.1814,10-day,240.0,1.0,172.0,153.0,192.0,39.0,19.0,20.0
01-0063,ADDISON,AL,34.2031,-87.1814,10-day,240.0,2.0,189.0,168.0,211.0,43.0,21.0,22.0
01-0063,ADDISON,AL,34.2031,-87.1814,10-day,240.0,5.0,217.0,193.0,244.0,51.0,24.0,27.0
01-0063,ADDISON,AL,34.2031,-87.1814,10-day,240.0,10.0,241.0,213.0,272.0,59.0,28.0,31.0
01-0063,ADDISON,AL,34.2031,-87.1814,10-day,240.0,25.0,275.0,236.0,320.0,84.0,39.0,45.0
01-0063,ADDISON,AL,34.2031,-87.1814,10-day,240.0,50.0,302.0,253.0,357.0,104.0,49.0,55.0
01-0063,ADDISON,AL,34.2031,-87.1814,10-day,240.0,100.0,329.0,268.0,400.0,132.0,61.0,71.0
01-0063,ADDISON,AL,34.2031,-87.1814,10-day,240.0,200.0,358.0,280.0,447.0,167.0,78.0,89.0
01-0063,ADDISON,AL,34.2031,-87.1814,10-day,240.0,500.0,396.0,299.0,509.0,210.0,97.0,113.0
01-0063,ADDISON,AL,34.2031,-87.1814,10-day,240.0,1000.0,426.0,314.0,557.0,243.0,112.0,131.0
01-0063,ADDISON,AL,34.2031,-87.1814,10-min,0.16666666666666666,1.0,16.0,14.0,19.0,5.0,2.0,3.0
01-0063,ADDISON,AL,34.2031,-87.1814,10-min,0.16666666666666666,2.0,18.0,16.0,22.0,6.0,2.0,4.0
01-0063,ADDISON,AL,34.2031,-87.1814,10-min,0.16666666666666666,5.0,22.0,19.0,26.0,7.0,3.0,4.0
01-0063,ADDISON,AL,34.2031,-87.1814,10-min,0.16666666666666666,10.0,26.0,22.0,31.0,9.0,4.0,5.0
01-0063,ADDISON,AL,34.2031,-87.1814,10-min,0.16666666666666666,25.0,31.0,25.0,38.0,13.0,6.0,7.0
01-0063,ADDISON,AL,34.2031,-87.1814,10-min,0.16666666666666666,50.0,35.0,28.0,44.0,16.0,7.0,9.0
01-0063,ADDISON,AL,34.2031,-87.1814,10-min,0.16666666666666666,100.0,40.0,30.0,51.0,21.0,10.0,11.0
01-0063,ADDISON,AL,34.2031,-87.1814,10-min,0.16666666666666666,200.0,44.0,32.0,59.0,27.0,12.0,15.0
01-0063,ADDISON,AL,34.2031,-87.1814,10-min,0.16666666666666666,500.0,51.0,36.0,69.0,33.0,15.0,18.0
01-0063,ADDISON,AL,34.2031,-87.1814,10-min,0.16666666666666666,1000.0,56.0,38.0,77.0,39.0,18.0,21.0
01-0063,ADDISON,AL,34.2031,-87.1814,12-hr,12.0,1.0,79.0,69.0,91.0,22.0,10.0,12.0
01-0063,ADDISON,AL,34.2031,-87.1814,12-hr,12.0,2.0,90.0,78.0,103.0,25.0,12.0,13.0
01-0063,ADDISON,AL,34.2031,-87.1814,12-hr,12.0,5.0,107.0,93.0,124.0,31.0,14.0,17.0
01-0063,ADDISON,AL,34.2031,-87.1814,12-hr,12.0,10.0,123.0,106.0,143.0,37.0,17.0,20.0
