huc12,duration_hours,historical_max_mm,historical_max_ratio_to_2yr,historical_max_lower_ari,historical_max_ratio_to_100yr,qualifying_event_count,latest_event_time_utc,event_count_ge_2yr,event_count_ge_5yr,event_count_ge_10yr,event_count_ge_25yr,event_count_ge_50yr,event_count_ge_100yr
031300040801,72,252.33616638183594,1.793850447991129,10.0,0.7403110531993338,14,2024-09-27 09:00:00+00:00,14,8,2,0,0,0
031300120101,1,56.2544059753418,1.1193281272166482,2.0,0.5534756560476948,3,2024-03-09 11:00:00+00:00,3,0,0,0,0,0
031300120101,3,120.61206817626953,1.7315559798814837,25.0,0.781299603513117,12,2024-04-10 23:00:00+00:00,12,5,2,1,0,0
031300120101,6,194.14791870117188,2.318747614673227,50.0,0.9619106625603548,16,2024-04-11 02:00:00+00:00,16,9,3,1,1,0
031300120101,24,207.3594970703125,1.7961518758326651,10.0,0.6830959971962655,23,2024-09-27 04:00:00+00:00,23,7,2,0,0,0
031300120101,72,271.05950927734375,1.906924548511574,25.0,0.7482329568010789,21,2024-09-27 08:00:00+00:00,21,9,6,1,0,0
031300120102,1,57.940223693847656,1.1440187776864594,2.0,0.5562220673034806,1,2005-03-27 01:00:00+00:00,1,0,0,0,0,0
031300120102,3,111.82525634765625,1.5838426462516624,10.0,0.7004561116466258,12,2024-04-10 23:00:00+00:00,12,4,3,0,0,0
031300120102,6,170.7287139892578,2.014068407645119,25.0,0.8243915388607986,15,2024-04-11 02:00:00+00:00,15,8,2,1,0,0
031300120102,24,198.65821838378906,1.7062419625446943,10.0,0.6497009087429797,25,2024-09-27 03:00:00+00:00,25,8,1,0,0,0
031300120102,72,263.9684143066406,1.8324737879846775,10.0,0.713979148016559,21,2024-09-27 07:00:00+00:00,21,7,6,0,0,0
031300120103,1,55.70872497558594,1.1093233537359763,2.0,0.5533119835591999,2,2024-04-10 23:00:00+00:00,2,0,0,0,0,0
031300120103,3,121.39094543457031,1.745577000344041,25.0,0.7943590109779349,13,2024-04-11 00:00:00+00:00,13,5,3,1,0,0
031300120103,6,176.26475524902344,2.110087185819611,50.0,0.8822262316320371,19,2024-04-11 02:00:00+00:00,19,7,3,1,1,0
031300120103,24,206.9120330810547,1.797477958055062,10.0,0.6876811872734927,24,2024-09-27 04:00:00+00:00,24,7,3,0,0,0
031300120103,72,274.7677307128906,1.9362717741050175,25.0,0.7633323882988551,20,2024-04-11 07:00:00+00:00,20,7,6,1,0,0
031300120104,1,58.3951301574707,1.1560695218221855,2.0,0.571299959645903,2,2024-04-10 23:00:00+00:00,2,0,0,0,0,0
031300120104,3,115.58197021484375,1.6464254560376277,10.0,0.7392458136821686,9,2024-04-11 00:00:00+00:00,9,4,2,0,0,0
031300120104,6,149.0406036376953,1.7699243401410385,10.0,0.7337272809404707,14,2024-04-11 02:00:00+00:00,14,7,3,0,0,0
031300120104,24,176.0130615234375,1.5206164074745336,10.0,0.5839359654503047,22,2024-09-27 04:00:00+00:00,22,7,1,0,0,0
031300120104,72,255.88858032226562,1.7844802944489602,10.0,0.7008259115171409,18,2024-04-11 07:00:00+00:00,18,8,4,0,0,0
031300120105,1,73.50598907470703,1.447918480552543,10.0,0.7060634697009074,2,2015-09-29 07:00:00+00:00,2,1,1,0,0,0
031300120105,3,106.27892303466797,1.4997981982373705,10.0,0.6624104054156338,8,2024-04-11 00:00:00+00:00,8,5,2,0,0,0
031300120105,6,132.58740234375,1.5617994128236006,10.0,0.6407970780057347,15,2024-04-11 02:00:00+00:00,15,7,2,0,0,0
031300120105,24,179.34466552734375,1.5412154060103442,10.0,0.5941276526273146,19,2024-09-27 04:00:00+00:00,19,5,1,0,0,0
031300120105,72,249.00355529785156,1.7186032277047425,10.0,0.671693425568037,20,2024-04-11 07:00:00+00:00,20,7,3,0,0,0
031300120106,1,51.283729553222656,1.0196434487640558,2.0,0.511666489443297,1,2024-04-10 23:00:00+00:00,1,0,0,0,0,0
031300120106,3,110.91926574707031,1.593776536305673,10.0,0.7288394330346069,8,2024-04-11 00:00:00+00:00,8,4,2,0,0,0
031300120106,6,149.65420532226562,1.7927626671793224,25.0,0.7538245077565884,15,2024-04-11 02:00:00+00:00,15,7,3,1,0,0
031300120106,24,175.4483642578125,1.524549012111878,10.0,0.5876355837901398,19,2024-09-27 03:00:00+00:00,19,7,1,0,0,0
031300120106,72,252.95538330078125,1.7765181928356328,10.0,0.7034839864301895,16,2024-09-27 08:00:00+00:00,16,8,5,0,0,0
031300120107,1,53.98119354248047,1.0619721992724012,2.0,0.525798404403442,2,2018-10-10 21:00:00+00:00,2,0,0,0,0,0
031300120107,3,97.50566864013672,1.38076990434042,5.0,0.6176751986562371,10,2024-04-11 00:00:00+00:00,10,1,0,0,0,0
031300120107,6,128.79714965820312,1.5255815918329783,10.0,0.6325874667071184,15,2024-04-11 02:00:00+00:00,15,8,1,0,0,0
031300120107,24,185.97618103027344,1.6023908792002841,10.0,0.6221200753196219,20,2024-09-27 03:00:00+00:00,20,5,2,0,0,0
031300120107,72,246.3612060546875,1.6984285755425814,10.0,0.6666506349105115,18,2020-09-16 21:00:00+00:00,18,6,3,0,0,0
031300120201,1,49.916351318359375,1.000430282920894,2.0,0.5046976082885651,1,2014-04-30 08:00:00+00:00,1,0,0,0,0,0
031300120201,3,117.08511352539062,1.6991108116968952,25.0,0.789468096434303,11,2024-04-11 00:00:00+00:00,11,5,3,1,0,0
031300120201,6,181.6512908935547,2.1938599336321087,50.0,0.9351545021112863,15,2024-04-11 02:00:00+00:00,15,6,4,1,1,0
031300120201,24,208.64878845214844,1.8214926356260661,10.0,0.703407102386328,20,2024-09-27 05:00:00+00:00,20,6,3,0,0,0
031300120201,72,253.3840789794922,1.7916249178615564,10.0,0.7166260010778653,20,2024-02-12 21:00:00+00:00,20,8,6,0,0,0
031300120202,1,56.538780212402344,1.1314407808957796,2.0,0.5746471617003581,1,2009-03-28 15:00:00+00:00,1,0,0,0,0,0
031300120202,3,129.59339904785156,1.8799812306730919,25.0,0.8803281586791623,11,2024-04-11 00:00:00+00:00,11,4,2,1,0,0
031300120202,6,164.00653076171875,1.9850839127630584,25.0,0.8548581598105576,16,2024-09-15 05:00:00+00:00,16,9,3,1,0,0
031300120202,24,188.4390411376953,1.6480991528608009,10.0,0.6451019756672719,17,2024-09-27 05:00:00+00:00,17,8,4,0,0,0
031300120202,72,242.91636657714844,1.7114374257205414,10.0,0.6921687045686458,19,2024-09-27 08:00:00+00:00,19,8,6,0,0,0
031300120203,1,58.73570251464844,1.1709879638687843,2.0,0.5912395620260122,2,2018-10-10 21:00:00+00:00,2,0,0,0,0,0
031300120203,3,120.12576293945312,1.7359212534324504,25.0,0.797680899171867,11,2024-09-15 04:00:00+00:00,11,5,2,1,0,0
031300120203,6,149.75009155273438,1.8085041050845758,25.0,0.7661321811742687,13,2024-09-15 06:00:00+00:00,13,9,4,1,0,0
031300120203,24,184.56607055664062,1.612883332674629,10.0,0.6304665235500952,14,2024-09-27 05:00:00+00:00,14,6,2,0,0,0
031300120203,72,247.18284606933594,1.7360424433619657,10.0,0.6952432331558313,16,2024-09-27 08:00:00+00:00,16,8,3,0,0,0
031401030101,1,67.13701629638672,1.255169831847835,5.0,0.5933849276472057,2,2022-03-18 17:00:00+00:00,2,1,0,0,0,0
031401030101,3,99.13182830810547,1.3221847881338704,5.0,0.5731224929085218,5,2024-04-10 22:00:00+00:00,5,1,0,0,0,0
031401030101,6,122.98744201660156,1.3637916465764781,5.0,0.540899730174012,10,2024-04-11 01:00:00+00:00,10,2,0,0,0,0
031401030101,24,202.9642791748047,1.607027086001413,10.0,0.5623083786707973,16,2024-03-09 11:00:00+00:00,16,6,1,0,0,0
031401030101,72,332.7134094238281,2.1093058752390808,25.0,0.7497954273207363,11,2020-09-16 23:00:00+00:00,11,9,6,1,0,0
031401030102,1,58.14532470703125,1.1035705200303791,2.0,0.5199817132604663,1,2022-03-18 17:00:00+00:00,1,0,0,0,0,0
031401030102,3,100.47665405273438,1.3654902100598452,5.0,0.5863634695891498,3,2022-03-18 18:00:00+00:00,3,1,0,0,0,0
031401030102,6,113.1850814819336,1.2783092278914265,5.0,0.5029566492376735,7,2024-04-11 01:00:00+00:00,7,1,0,0,0,0
031401030102,24,195.10491943359375,1.5636920859104808,10.0,0.5485446379129426,16,2024-03-09 11:00:00+00:00,16,8,2,0,0,0
031401030102,72,335.5143127441406,2.1501127751227056,25.0,0.765557658289926,14,2020-09-17 00:00:00+00:00,14,9,6,3,0,0
031401030103,1,60.08992385864258,1.1306401561693362,2.0,0.537287597775783,1,2022-03-18 17:00:00+00:00,1,0,0,0,0,0
031401030103,3,104.92106628417969,1.4124111658762901,10.0,0.6163073472370031,4,2022-03-18 18:00:00+00:00,4,2,1,0,0,0
031401030103,6,121.33466339111328,1.3543225641077823,5.0,0.5394780753833807,9,2024-04-11 01:00:00+00:00,9,3,0,0,0,0
031401030103,24,215.3762664794922,1.700336949927259,10.0,0.5943265743775291,13,2020-09-16 22:00:00+00:00,13,8,3,0,0,0
031401030103,72,373.3587951660156,2.361925446907181,50.0,0.8390026316886694,12,2020-09-17 00:00:00+00:00,12,9,6,3,1,0
031401030104,1,60.214176177978516,1.1291799258494624,2.0,0.540517537919817,1,2022-03-18 17:00:00+00:00,1,0,0,0,0,0
031401030104,3,111.55302429199219,1.4978768266169598,10.0,0.6614568330918825,5,2022-03-18 18:00:00+00:00,5,2,2,0,0,0
031401030104,6,129.40635681152344,1.438650567400462,10.0,0.5782768631232343,7,2024-03-09 08:00:00+00:00,7,3,1,0,0,0
031401030104,24,239.74610900878906,1.8764068164906655,10.0,0.6550402839610109,13,2020-09-16 22:00:00+00:00,13,8,4,0,0,0
031401030104,72,403.58953857421875,2.5342911357132096,50.0,0.8993325504431455,11,2020-09-17 00:00:00+00:00,11,8,6,3,1,0
031401030201,1,59.30820846557617,1.0929595980241538,2.0,0.5333489335940467,2,2022-03-18 17:00:00+00:00,2,0,0,0,0,0
031401030201,3,121.86602783203125,1.6066477292156731,10.0,0.7351625470257116,5,2022-03-18 18:00:00+00:00,5,2,2,0,0,0
031401030201,6,137.9060821533203,1.5000940155270137,10.0,0.6201131363288085,10,2022-03-18 20:00:00+00:00,10,3,1,0,0,0
031401030201,24,263.2471923828125,2.002681804989545,10.0,0.6962451784941336,11,2020-09-16 21:00:00+00:00,11,8,4,0,0,0
031401030201,72,440.3798522949219,2.6986150341232804,50.0,0.9549226191249034,12,2020-09-17 00:00:00+00:00,12,8,6,4,1,0
031401030202,1,61.41676330566406,1.114225703176873,2.0,0.5499638006458469,1,1995-10-04 12:00:00+00:00,1,0,0,0,0,0
031401030202,3,100.28267669677734,1.2898250571435048,5.0,0.6075208026670998,7,2022-03-18 18:00:00+00:00,7,3,0,0,0,0
031401030202,6,155.48928833007812,1.6467156188554553,10.0,0.6993115213082496,13,2022-03-18 20:00:00+00:00,13,2,1,0,0,0
031401030202,24,285.08636474609375,2.1382747178162185,25.0,0.7395984770426873,12,2020-09-16 20:00:00+00:00,12,6,4,1,0,0
031401030202,72,431.8773498535156,2.617812527869678,50.0,0.9194273459754926,13,2021-10-06 12:00:00+00:00,13,9,6,2,1,0
031401030203,1,60.42475891113281,1.0976750739445127,2.0,0.5406545753447654,1,1995-10-04 12:00:00+00:00,1,0,0,0,0,0
031401030203,3,96.85899353027344,1.2488757734580453,5.0,0.5852280834950692,4,2022-03-18 18:00:00+00:00,4,3,0,0,0,0
