huc12_a,huc12_b
031300120106,031300120203
031300120106,031300120201
031300120107,031300120203
031300120201,031300120203
031300120201,031300120202
031300120202,031300120203
031401030101,031402020607
031401030101,031402020606
031401030101,031402020604
031401030101,031402020603
031401030101,031401030102
031401030101,031402020601
031401030102,031401030301
031401030102,031402020607
031401030102,031403010402
031401030102,031401030103
031401030102,031402020601
031401030102,031402020409
031401030102,031403010401
031401030102,031403010303
031401030103,031401030302
031401030103,031401030301
031401030103,031401030104
031401030103,031403010402
031401030104,031401030302
031401030104,031401030201
031401030104,031403010403
031401030104,031403010404
031401030104,031403010402
031401030201,031401030304
031401030201,031401030203
031401030201,031401030302
031401030201,031403010501
031401030201,031403010405
031401030201,031403010403
031401030202,031401040102
031401030202,031401040101
031401030202,031401030203
031401030202,031403010502
031401030202,031403010503
031401030203,031401040102
031401030203,031401030401
031401030203,031401030305
031401030203,031401030304
031401030203,031403010502
031401030203,031403010501
031401030301,031401030304
031401030301,031401030302
031401030301,031402020702
031401030301,031402020607
031401030302,031401030304
031401030303,031401030602
031401030303,031401030305
031401030303,031401030304
031401030303,031401030601
031401030303,031402020802
031401030303,031402020701
031401030303,031402020702
031401030304,031401030305
031401030304,031402020702
031401030305,031401030602
031401030305,031401030402
031401030305,031401030401
031401030401,031401040104
031401030401,031401040102
031401030401,031401030403
031401030401,031401030402
031401030402,031401030403
031401030402,031401030602
031401030403,031401040201
031401030403,031401040104
031401030601,031401030602
031401030601,031402020803
031401030601,031402020802
031401040101,031401040102
031401040101,031401040103
031401040101,031403010503
031401040102,031401040104
031401040102,031401040103
031401040103,031401040104
031401040103,031401040105
031401040103,031403040503
031401040103,031403040501
031401040103,031403010503
031401040104,031401040201
031401040104,031401040105
031401040105,031401040301
031401040105,031403040502
031401040105,031403040503
031401040301,031403040502
031401040301,031401040303
031401040303,031403040502
031401040303,031401040401
031401040401,031403040502
031401040401,031401040402
031401040401,031403040505
031401040402,031401040404
031401040402,031403040505
031401040404,031403050402
031401040404,031403040605
031401040404,031403040506
031401040404,031403040505
031401060101,031401060302
031401060101,031401060103
031401060101,031401060301
031401060101,031401060102
031401060101,031403050102
031401060101,031403050101
031401060101,031502040501
031401060102,031401060103
031401060102,031401060201
031401060102,031502040501
031401060102,031502040703
031401060103,031401060104
031401060103,031401060302
031401060103,031401060203
031401060103,031401060201
031401060104,031401060401
031401060104,031401060302
031401060104,031401060203
031401060201,031401060202
031401060201,031401060203
031401060201,031602040201
031401060201,031602040104
031401060201,031502040704
031401060201,031502040703
031401060202,031602040203
031401060202,031401060503
031401060202,031602040502
031401060202,031401060203
031401060202,031602040201
031401060203,031401060401
031401060203,031401060503
031401060301,031403050401
031401060301,031403050501
031401060301,031401060302
031401060301,031403050102
031401060302,031403050501
031401060401,031401060402
031401060401,031401060503
031401060402,031401060506
031401060402,031401060505
031401060402,031401060403
031401060402,031401060503
031401060403,031401060701
031401060403,031401060505
031401060501,031401060504
031401060501,031401060503
031401060501,031602040501
031401060501,031602040502
031401060502,031602050201
031401060502,031401060602
031401060502,031401060504
031401060503,031401060506
031401060503,031401060504
031401060503,031602040501
031401060503,031602040502
031401060504,031602050201
031401060504,031401060602
031401060504,031401060506
031401060504,031602040501
031401060505,031401060507
031401060505,031401060702
031401060505,031401060701
031401060505,031401060506
031401060506,031401060602
031401060506,031401060507
031401060507,031401060603
031401060507,031401060602
031401060507,031401060703
031401060507,031401060702
031401060601,031602050203
031401060601,031602050202
031401060601,031401070202
031401060601,031401070201
031401060601,031401060603
031401060601,031401060602
031401060602,031602050202
031401060602,031602050201
031401060602,031401060603
031401060603,031401070202
031401060603,031401070104
031401060603,031401060703
031401060701,031401060702
031401060702,031401060703
031401060703,031401070104
031401060703,031401070103
031401070103,031401070104
031401070104,031401070204
031401070104,031401070203
031401070104,031401070202
031401070201,031602050203
031401070201,031602050206
031401070201,031401070203
031401070201,031401070202
031401070202,031401070203
031401070203,031401070204
031401070203,031602050206
031401070204,031401070205
031401070204,031602050208
031401070204,031401070300
031401070204,031602050206
031401070205,031602050208
031401070205,031401070300
031401070300,031602050208
031401070300,031700090203
031401070300,031700091500
031402010101,031402010103
031402010101,031402010401
031402010101,031402010102
031402010102,031402010104
031402010102,031402010103
031402010103,031402010104
031402010103,031402010405
031402010103,031402010401
031402010104,031402010201
031402010104,031402010405
031402010201,031402010203
031402010201,031402010202
031402010201,031402010405
031402010202,031402010204
031402010202,031402010203
031402010203,031402010406
031402010203,031402010204
031402010203,031402010405
031402010204,031402010207
031402010204,031402010208
031402010204,031402010407
031402010204,031402010406
031402010205,031402010206
031402010205,031402010207
031402010206,031402010503
031402010206,031402010207
031402010206,031402010208
031402010207,031402010208
031402010208,031402010504
031402010208,031402010602
031402010208,031402010503
031402010208,031402010407
031402010301,031402010303
031402010301,031402010302
031402010301,031402020502
031402010301,031402020302
031402010302,031402010304
031402010302,031402010406
031402010302,031402010303
031402010302,031402010403
031402010302,031402020302
031402010303,031402010304
031402010303,031402010701
031402010303,031402020502
031402010304,031402010601
031402010304,031402010407
031402010304,031402010701
031402010304,031402010406
031402010401,031402010405
031402010401,031402010404
031402010401,031402010402
031402010401,031402020102
031402010402,031402010404
031402010402,031402010403
031402010402,031402020302
031402010402,031402020104
031402010402,031402020102
031402010403,031402010406
031402010403,031402010404
031402010403,031402020302
031402010404,031402010406
031402010404,031402010405
031402010405,031402010406
031402010406,031402010407
031402010407,031402010602
031402010407,031402010601
031402010501,031402030201
031402010501,031402010502
031402010501,031402010503
031402010502,031402030201
031402010502,031402011001
031402010502,031402011002
031402010502,031402010504
031402010502,031402010503
031402010503,031402010504
031402010504,031402011002
031402010504,031402011003
031402010504,031402010604
031402010504,031402010603
031402010504,031402010602
031402010601,031402010603
031402010601,031402010903
031402010601,031402010602
031402010601,031402010703
031402010601,031402010701
031402010602,031402010603
031402010603,031402010904
031402010603,031402010604
031402010603,031402010903
031402010604,031402011003
031402010604,031402010904
031402010701,031402010703
031402010701,031402010702
031402010701,031402020504
031402010701,031402020502
031402010702,031402010801
031402010702,031402010803
031402010702,031402010703
031402010702,031402020505
031402010702,031402020504
031402010703,031402010903
031402010703,031402010803
031402010801,031402010802
031402010801,031402010803
031402010801,031402020506
031402010801,031402020505
031402010802,031402010901
031402010802,031402011102
031402010802,031402010803
031402010802,031402020506
031402010803,031402010901
031402010803,031402010903
031402010901,031402010902
031402010901,031402010903
031402010901,031402011102
031402010902,031402010904
031402010902,031402010903
031402010902,031402011201
031402010902,031402011102
031402010903,031402010904
031402010904,031402011202
031402010904,031402011004
031402010904,031402011003
031402010904,031402011201
031402011001,031402030203
031402011001,031402030102
031402011001,031402030201
031402011001,031402030101
031402011001,031402011004
031402011001,031402011002
031402011002,031402011004
031402011002,031402011003
031402011003,031402011004
031402011004,031402030101
031402011004,031402011202
031402011101,031402011103
031402011101,031402011102
031402011101,031402020602
031402011101,031402020507
031402011102,031402011104
031402011102,031402011103
031402011102,031402011201
031402011102,031402020507
031402011102,031402020506
031402011103,031402020905
031402011103,031402011106
031402011103,031402020610
031402011103,031402011104
031402011103,031402020608
031402011103,031402020602
031402011104,031402011106
031402011104,031402011105
031402011104,031402011201
031402011105,031402011106
031402011105,031402011202
031402011105,031402011201
031402011106,031402020906
031402011106,031402020905
031402011106,031402011203
031402011106,031402011202
031402011201,031402011202
031402011202,031402011203
031402011202,031402030103
031402011202,031402030101
031402011203,031402020906
031402011203,031402030103
031402020101,031402020104
031402020101,031402020103
031402020101,031402020102
031402020101,031402020205
031402020102,031402020104
031402020103,031402020104
031402020103,031402020207
031402020103,031402020205
031402020104,031402020302
031402020104,031402020301
031402020104,031402020207
031402020201,031402020205
031402020201,031501100703
031402020201,031402020202
031402020201,031402020203
031402020202,031402020205
031402020202,031402020203
031402020203,031402020205
031402020203,031402020204
031402020203,031501100703
031402020203,031403010101
031402020204,031402020205
031402020204,031403010101
031402020205,031402020207
031402020205,031402020206
031402020205,031403010101
031402020206,031402020301
031402020206,031402020207
031402020206,031403010104
031402020206,031403010101
031402020207,031402020301
031402020301,031402020303
031402020301,031402020302
031402020301,031403010104
031402020302,031402020303
031402020302,031402020502
031402020303,031402020403
031402020303,031402020501
031402020303,031402020402
031402020303,031402020401
031402020303,031402020502
031402020303,031403010105
031402020303,031403010104
031402020401,031403010205
031402020401,031402020403
031402020401,031402020405
031402020401,031402020402
031402020401,031403010204
031402020401,031403010105
031402020402,031402020403
031402020403,031402020407
031402020403,031402020408
031402020403,031402020505
031402020403,031402020503
031402020403,031402020501
031402020403,031402020405
031402020404,031402020407
031402020404,031403010302
031402020404,031402020405
031402020405,031402020407
031402020405,031403010302
031402020405,031403010301
031402020405,031403010205
031402020406,031402020409
031402020406,031402020407
031402020406,031403010303
031402020406,031403010302
031402020407,031402020409
031402020407,031403010302
031402020407,031402020408
031402020408,031402020409
031402020408,031402020507
031402020408,031402020506
031402020408,031402020505
031402020409,031402020603
031402020409,031402020601
031402020409,031403010303
031402020409,031402020507
031402020501,031402020503
031402020501,031402020504
031402020501,031402020502
031402020502,031402020504
031402020503,031402020505
031402020503,031402020504
031402020504,031402020505
031402020505,031402020506
031402020506,031402020507
031402020507,031402020603
031402020507,031402020602
031402020601,031402020603
031402020602,031402020605
031402020602,031402020603
031402020602,031402020608
031402020603,031402020605
031402020603,031402020604
031402020604,031402020606
031402020604,031402020605
031402020605,031402020606
031402020605,031402020608
031402020606,031402020609
031402020606,031402020607
031402020606,031402020608
031402020607,031402020702
031402020607,031402020609
031402020608,031402020609
031402020608,031402020610
031402020609,031402020702
031402020609,031402020610
031402020610,031402020803
031402020610,031402020702
031402020610,031402020901
031402020610,031402020905
031402020701,031402020802
031402020701,031402020702
031402020702,031402020803
031402020702,031402020802
031402020802,031402020803
031402020803,031402020903
031402020803,031402020901
031402020901,031402020903
031402020901,031402020904
031402020901,031402020905
031402020903,031402020904
031402020904,031402030104
031402020904,031402020906
031402020904,031402020905
031402020905,031402020906
031402020906,031402030104
031402020906,031402030103
031402030101,031402030103
031402030101,031402030102
031402030102,031402030105
031402030102,031402030203
031402030102,031402030103
031402030103,031402030104
031402030103,031402030105
031402030104,031402030105
031402030105,031402030203
031402030201,031402030701
031402030201,031402030203
031403010101,031403010104
031403010101,031501100702
031403010101,031501100701
031403010101,031501100703
031403010102,031403010104
031403010102,031403010103
031403010102,031501100702
031403010103,031403010105
031403010103,031403010201
031403010103,031403010104
031403010103,031501100702
031403010103,031501100802
031403010104,031403010105
031403010104,031501100702
031403010105,031403010204
031403010105,031403010201
031403010201,031403010204
031403010201,031501100802
031403010201,031403010202
031403010201,031403020101
031403010201,031502010302
031403010201,031502010304
031403010202,031403010204
031403010202,031403010203
031403010202,031403020101
031403010203,031403010205
031403010203,031403010204
031403010203,031403020102
031403010203,031403020101
031403010204,031403010205
031403010205,031403010301
031403010205,031403020402
031403010205,031403020104
031403010205,031403020102
031403010301,031403010302
031403010301,031403020402
031403010302,031403010303
031403010302,031403020403
031403010302,031403020402
031403010303,031403010401
031403010303,031403020403
031403010303,031403020404
031403010401,031403010402
031403010401,031403020501
031403010401,031403020404
031403010402,031403010404
031403010402,031403020504
031403010402,031403020501
031403010403,031403010405
031403010403,031403010404
031403010404,031403010405
031403010404,031403020506
031403010404,031403020504
031403010405,031403010501
031403010405,031403020506
031403010501,031403010502
031403010501,031403030504
031403010501,031403020505
031403010501,031403020506
031403010502,031403010503
031403010502,031403030703
031403010502,031403030504
031403010503,031403040501
031403010503,031403030704
031403010503,031403030703
031403020101,031403020102
031403020101,031403020103
031403020101,031502010301
031403020101,031502010303
031403020101,031502010302
031403020102,031403020104
031403020102,031403020103
031403020103,031403020104
031403020103,031403020201
031403020103,031502010301
031403020103,031502010401
031403020103,031502010307
031403020104,031403020402
031403020104,031403020202
031403020104,031403020201
031403020201,031403020202
031403020201,031403020301
031403020201,031502010401
031403020202,031403020402
031403020202,031403020401
031403020202,031403020302
031403020202,031403020301
031403020301,031403020303
031403020301,031403030405
031403020301,031403020302
031403020301,031403030401
031403020301,031502010402
031403020301,031502010401
031403020302,031403020404
031403020302,031403020303
031403020302,031403020401
031403020303,031403020501
031403020303,031403020404
031403020303,031403030404
031403020303,031403030405
031403020401,031403020403
031403020401,031403020402
031403020401,031403020404
031403020402,031403020403
031403020403,031403020404
031403020404,031403020501
031403020501,031403020504
031403020501,031403020502
031403020501,031403030404
031403020501,031403030405
031403020502,031403020504
031403020502,031403020503
031403020502,031403030406
031403020502,031403030405
031403020503,031403020504
031403020503,031403030501
031403020503,031403030406
031403020504,031403020505
031403020504,031403020506
031403020504,031403030502
031403020504,031403030501
031403020505,031403030504
031403020505,031403020506
031403020505,031403030502
031403030101,031502030203
031403030101,031502030403
031403030101,031403030202
031403030101,031403030201
031403030101,031403030102
031403030101,031502030202
031403030102,031403030202
031403030102,031403030406
031403030102,031403030405
031403030102,031403030403
031403030102,031403030402
031403030102,031502030202
031403030102,031502030201
031403030201,031502030403
031403030201,031403030204
031403030201,031403030202
031403030201,031403030203
031403030202,031403030204
031403030202,031403030501
031403030202,031403030406
031403030203,031403030302
031403030203,031502030401
031403030203,031502030403
031403030203,031403030204
031403030204,031403030603
031403030204,031403030305
031403030204,031403030303
031403030204,031403030302
031403030204,031403030601
031403030204,031403030501
031403030301,031403040102
031403030301,031502040201
031403030301,031502030405
031403030301,031403040103
031403030301,031403030304
031403030301,031403030303
031403030301,031502030402
031403030301,031502030404
031403030302,031403030303
031403030302,031502030402
031403030302,031502030401
031403030303,031403030305
031403030303,031403030304
031403030303,031502030402
031403030304,031403040105
031403030304,031403030305
031403030304,031403040103
031403030305,031403040106
031403030305,031403030602
031403030305,031403040105
031403030305,031403030601
031403030401,031403030405
031403030401,031403030403
031403030401,031403030402
031403030401,031502010802
031403030401,031502010402
031403030402,031403030403
031403030402,031502030201
031403030402,031502010801
031403030402,031502010802
031403030403,031403030405
031403030404,031403030405
031403030405,031403030406
031403030406,031403030501
031403030501,031403030603
031403030501,031403030502
031403030502,031403030504
031403030502,031403030503
031403030502,031403030603
031403030503,031403030504
031403030503,031403030603
031403030504,031403030703
031403030504,031403030604
031403030504,031403030603
031403030601,031403030602
031403030601,031403030604
031403030601,031403030603
031403030602,031403040106
031403030602,031403030701
031403030602,031403030604
031403030603,031403030604
031403030604,031403030703
031403030604,031403030701
031403030701,031403040106
031403030701,031403030703
031403030701,031403030702
031403030702,031403040202
031403030702,031403040201
031403030702,031403040106
031403030702,031403030704
031403030702,031403030703
031403030703,031403030704
031403030704,031403040202
031403030704,031403040501
031403040101,031403040104
031403040101,031403040302
031403040101,031502040301
031403040101,031403040102
031403040101,031403040103
031403040102,031502040301
031403040102,031502040203
031403040102,031502040201
031403040102,031403040103
031403040103,031403040104
031403040103,031403040105
031403040104,031403040107
031403040104,031403040105
031403040104,031403040302
031403040105,031403040106
031403040105,031403040107
031403040106,031403040201
031403040106,031403040402
031403040106,031403040107
031403040107,031403040401
031403040107,031403040402
031403040107,031403040302
031403040201,031403040202
031403040201,031403040403
031403040201,031403040402
031403040201,031403040203
031403040202,031403040503
031403040202,031403040501
031403040202,031403040505
031403040202,031403040504
031403040202,031403040203
031403040203,031403040403
031403040203,031403040505
031403040203,031403040404
031403040301,031403040601
031403040301,031403040304
031403040301,031403050203
031403040301,031403040302
031403040302,031403040304
031403040302,031403050203
031403040302,031403040401
031403040302,031502040302
031403040302,031502040301
031403040302,031403040303
031403040303,031403040304
031403040303,031403040403
031403040303,031403040401
031403040303,031403040305
031403040304,031403040604
031403040304,031403040601
031403040304,031403040305
031403040305,031403040604
031403040305,031403040403
031403040305,031403040404
031403040401,031403040403
031403040401,031403040402
031403040402,031403040403
031403040403,031403040404
031403040404,031403040506
031403040404,031403040604
031403040404,031403040505
031403040501,031403040503
031403040502,031403040503
031403040502,031403040505
031403040503,031403040505
031403040503,031403040504
031403040504,031403040505
031403040505,031403040506
031403040506,031403040605
031403040506,031403040604
031403040601,031403040604
031403040601,031403040602
031403040601,031403050205
031403040601,031403050203
031403040602,031403040603
031403040602,031403040604
031403040602,031403050206
031403040602,031403050205
031403040603,031403040605
031403040603,031403050301
031403040603,031403040604
031403040603,031403050206
031403040604,031403040605
031403040605,031403050402
031403040605,031403050302
031403040605,031403050301
031403050101,031403050206
031403050101,031403050102
031403050101,031502040501
