huc12_a,huc12_b
031501060505,031501060507
031501060505,031501060506
031501060506,031501060512
031501060506,031501060513
031501060506,031501060507
031501060507,031501060508
031501060507,031501060512
031501060508,031501081003
031501060508,031501060509
031501060508,031501060511
031501060508,031501060512
031501060509,031501081003
031501060509,031501060701
031501060509,031501060510
031501060509,031501060511
031501060510,031501060701
031501060510,031501060702
031501060510,031501060703
031501060510,031501060511
031501060510,031501060801
031501060510,031501060514
031501060511,031501060512
031501060511,031501060514
031501060512,031501060513
031501060512,031501060514
031501060513,031501060514
031501060513,031501060604
031501060514,031501060803
031501060514,031501060801
031501060514,031501060605
031501060514,031501060604
031501060601,031501060602
031501060601,031501060603
031501060602,031501060806
031501060602,031501060805
031501060602,031501060605
031501060602,031501060603
031501060603,031501060605
031501060603,031501060604
031501060604,031501060605
031501060605,031501060803
031501060605,031501060806
031501060701,031501090102
031501060701,031501090101
031501060701,031501081003
031501060701,031501090402
031501060701,031501070701
031501060701,031501060702
031501060702,031501070701
031501060702,031501070101
031501060702,031501070103
031501060702,031501060703
031501060703,031501070301
031501060703,031501070106
031501060703,031501070103
031501060703,031501060809
031501060703,031501060802
031501060703,031501060810
031501060703,031501060801
031501060801,031501060802
031501060801,031501060803
031501060802,031501060809
031501060802,031501060803
031501060802,031501060810
031501060803,031501060810
031501060803,031501060808
031501060803,031501060806
031501060804,031502020103
031501060804,031501070201
031501060804,031501060807
031501060804,031501060805
031501060805,031502020103
031501060805,031501060807
031501060805,031501060806
031501060805,031502020102
031501060806,031501060807
031501060806,031501060808
031501060807,031501070201
031501060807,031501070203
031501060807,031501060810
031501060807,031501060808
031501060808,031501060810
031501060809,031501060810
031501060810,031501070301
031501060810,031501070106
031501060810,031501070205
031501060810,031501070203
031501070101,031501070701
031501070101,031501070102
031501070101,031501070106
031501070101,031501070103
031501070102,031501070602
031501070102,031501070601
031501070102,031501070702
031501070102,031501070701
031501070102,031501070104
031501070102,031501070106
031501070103,031501070106
031501070104,031501070602
031501070104,031501070501
031501070104,031501070303
031501070104,031501070105
031501070104,031501070106
031501070105,031501070303
031501070105,031501070301
031501070105,031501070106
031501070106,031501070301
031501070201,031502020103
031501070201,031501070202
031501070201,031502020201
031501070201,031502020202
031501070201,031501070204
031501070201,031501070203
031501070202,031501070302
031501070202,031501070403
031501070202,031501070401
031501070202,031502020203
031501070202,031502020201
031501070202,031501070204
031501070202,031501070205
031501070203,031501070204
031501070203,031501070205
031501070204,031501070205
031501070205,031501070304
031501070205,031501070302
031501070205,031501070301
031501070301,031501070303
031501070301,031501070304
031501070302,031501070503
031501070302,031501070406
031501070302,031501070304
031501070302,031501070403
031501070303,031501070501
031501070303,031501070304
031501070304,031501070503
031501070304,031501070501
031501070401,031501070402
031501070401,031501070403
031501070401,031502020203
031501070402,031501070405
031501070402,031502020403
031501070402,031501070406
031501070402,031501070403
031501070402,031502020203
031501070403,031501070406
031501070404,031502020402
031501070404,031502020401
031501070404,031501070405
031501070404,031501070801
031501070404,031501070406
031501070405,031502020401
031501070405,031502020403
031501070405,031501070406
031501070406,031501070801
031501070406,031501070503
031501070501,031501070602
031501070501,031501070502
031501070501,031501070503
031501070502,031501070603
031501070502,031501070602
031501070502,031501070803
031501070502,031501070503
031501070503,031501070803
031501070503,031501070801
031501070601,031501070602
031501070601,031501070706
031501070601,031501070702
031501070602,031501070708
031501070602,031501070603
031501070602,031501070706
031501070603,031501070709
031501070603,031501070708
031501070603,031501070803
031501070701,031501070702
031501070701,031501090403
031501070701,031501090402
031501070702,031501070706
031501070702,031501070703
031501070702,031501090405
031501070702,031501090403
031501070703,031501070705
031501070703,031501070706
031501070703,031501090405
031501070704,031501090701
031501070704,031501090803
031501070704,031501070705
031501070704,031501070707
031501070704,031501070708
031501070705,031501090803
031501070705,031501070708
031501070705,031501070706
031501070705,031501090406
031501070705,031501090405
031501070706,031501070708
031501070707,031501070906
031501070707,031501090702
031501070707,031501090701
031501070707,031501070904
031501070707,031501070903
031501070707,031501070709
031501070707,031501070708
031501070708,031501070709
031501070709,031501070906
031501070709,031501070803
031501070801,031502011001
031501070801,031502011003
031501070801,031502020402
031501070801,031501070802
031501070801,031501070803
031501070802,031502010902
031501070802,031502011001
031501070802,031502010601
031501070802,031501070901
031501070802,031501070803
031501070803,031501070906
031501070803,031501070901
031501070901,031501070902
031501070901,031501070906
031501070901,031502010202
031501070901,031502010102
031501070901,031502010601
031501070902,031502010101
031501070902,031501070906
031501070902,031502010102
031501070903,031501070905
031501070903,031501090703
031501070903,031501090702
031501070903,031501070904
031501070904,031501070905
031501070904,031501070906
031501070905,031501100902
031501070905,031501070907
031501070905,031501070906
031501070905,031501100402
031501070905,031501090703
031501070906,031501070907
031501070906,031502010101
031501070907,031501100902
031501070907,031502010104
031501070907,031501100905
031501070907,031502010101
031501080205,031501080305
031501080205,031501080303
031501080303,031501080305
031501080303,031501080403
031501080304,031501080801
031501080304,031501080402
031501080304,031501080305
031501080305,031501080402
031501080305,031501080403
031501080401,031501080803
031501080401,031501080405
031501080401,031501080801
031501080401,031501080402
031501080402,031501080405
031501080402,031501080801
031501080402,031501080403
031501080403,031501080405
031501080403,031501080404
031501080404,031501081004
031501080404,031501081002
031501080404,031501080405
031501080405,031501080803
031501080405,031501081004
031501080405,031501081001
031501080704,031501080803
031501080704,031501080801
031501080801,031501080803
031501080802,031501080905
031501080802,031501080803
031501080803,031501080905
031501080803,031501080901
031501080803,031501081001
031501080901,031501080905
031501080901,031501080903
031501080901,031501081001
031501080902,031501080904
031501080902,031501080905
031501080903,031501080906
031501080903,031501080905
031501080903,031501081006
031501080903,031501081004
031501080903,031501081001
031501080904,031501090105
031501080904,031501090301
031501080904,031501090104
031501080904,031501080906
031501080904,031501080905
031501080905,031501080906
031501080906,031501090105
031501080906,031501081006
031501081001,031501081004
031501081002,031501081003
031501081002,031501081004
031501081003,031501090101
031501081003,031501081005
031501081003,031501081006
031501081003,031501081004
031501081004,031501081006
031501081005,031501090101
031501081005,031501081006
031501081006,031501090105
031501081006,031501090101
031501090101,031501090105
031501090101,031501090102
031501090102,031501090401
031501090102,031501090103
031501090102,031501090105
031501090102,031501090402
031501090103,031501090308
031501090103,031501090106
031501090103,031501090401
031501090103,031501090105
031501090104,031501090106
031501090104,031501090105
031501090104,031501090107
031501090104,031501090303
031501090104,031501090301
031501090105,031501090106
031501090106,031501090308
031501090106,031501090107
031501090107,031501090305
031501090107,031501090308
031501090107,031501090303
031501090201,031501090202
031501090201,031501090204
031501090202,031501090501
031501090202,031501090306
031501090202,031501090204
031501090202,031501090205
031501090203,031501090204
031501090203,031501090205
031501090203,031501090304
031501090204,031501090205
031501090205,031501090306
031501090205,031501090309
031501090205,031501090305
031501090205,031501090304
031501090301,031501090304
031501090301,031501090302
031501090301,031501090303
031501090302,031501090304
031501090302,031501090303
031501090303,031501090305
031501090303,031501090304
031501090304,031501090305
031501090305,031501090309
031501090305,031501090308
031501090306,031501090503
031501090306,031501090502
031501090306,031501090501
031501090306,031501090309
031501090307,031501090801
031501090307,031501090308
031501090307,031501090404
031501090307,031501090401
031501090308,031501090309
031501090308,031501090801
031501090308,031501090401
031501090309,031501090504
031501090309,031501090502
031501090309,031501090802
031501090309,031501090801
031501090401,031501090404
031501090401,031501090402
031501090402,031501090404
031501090402,031501090403
031501090403,031501090404
031501090403,031501090405
031501090404,031501090801
031501090404,031501090405
031501090405,031501090801
031501090405,031501090406
031501090406,031501090803
031501090406,031501090802
031501090406,031501090801
031501090501,031501090503
031501090502,031501090503
031501090502,031501090504
031501090503,031501100102
031501090503,031501100101
031501090503,031501090602
031501090503,031501090601
031501090503,031501090504
031501090504,031501090805
031501090504,031501090602
031501090504,031501090804
031501090504,031501090802
031501090601,031501100101
031501090601,031501100103
031501090601,031501100401
031501090601,031501090602
031501090602,031501090805
031501090602,031501100401
031501090701,031501090702
031501090701,031501090803
031501090702,031501090704
031501090702,031501090703
031501090702,031501090805
031501090702,031501090803
031501090702,031501090804
031501090703,031501100402
031501090703,031501090704
031501090704,031501100402
031501090704,031501090805
031501090801,031501090802
031501090802,031501090803
031501090802,031501090804
031501090803,031501090804
031501090804,031501090805
031501090805,031501100406
031501090805,031501100402
031501090805,031501100401
031501100101,031501100102
031501100101,031501100103
031501100102,031501100301
031501100102,031501100202
031501100102,031501100103
031501100103,031501100302
031501100103,031501100303
031501100103,031501100301
031501100103,031501100104
031501100103,031501100401
031501100104,031501100304
031501100104,031501100406
031501100104,031501100303
031501100104,031501100403
031501100104,031501100401
031501100201,031501100203
031501100201,031501100204
031501100201,031501100202
031501100202,031501100204
031501100202,031501100301
031501100203,031501100205
031501100203,031501100204
031501100204,031501100302
031501100204,031501100205
031501100204,031501100301
031501100205,031501100502
031501100205,031501100302
031501100205,031501100501
031501100301,031501100302
031501100302,031501100503
031501100302,031501100304
031501100302,031501100303
031501100302,031501100501
031501100303,031501100304
031501100304,031501100503
031501100304,031501100504
031501100304,031501100406
031501100304,031501100403
031501100401,031501100406
031501100402,031501100406
031501100402,031501100902
031501100402,031501100404
031501100402,031501100405
031501100403,031501100406
031501100404,031501100406
031501100404,031501100405
031501100405,031501100406
031501100405,031501100903
031501100405,031501100902
031501100406,031501100504
031501100406,031501100903
031501100501,031501100502
031501100501,031501100503
031501100502,031501100601
031501100502,031501100602
031501100502,031501100603
031501100502,031501100503
031501100503,031501100603
031501100503,031501100604
031501100503,031501100504
031501100504,031501100604
031501100504,031501100903
031501100601,031501100703
031501100601,031501100602
031501100602,031501100703
031501100602,031501100603
031501100603,031501100703
031501100603,031501100604
031501100604,031501100703
031501100604,031501100704
031501100604,031501100804
031501100604,031501100903
031501100701,031501100702
031501100701,031501100703
031501100702,031501100802
031501100702,031501100703
031501100702,031501100704
031501100703,031501100704
031501100704,031501100802
031501100704,031501100804
031501100801,031501100802
031501100801,031502010304
031501100801,031501100803
031501100802,031502010304
031501100802,031501100803
031501100802,031501100804
031501100803,031502010304
031501100803,031501100901
031501100803,031501100804
031501100804,031501100901
031501100804,031501100903
031501100901,031502010304
031501100901,031501100904
031501100901,031501100903
031501100902,031501100904
031501100902,031501100903
031501100902,031501100905
031501100903,031501100904
031501100904,031502010304
031501100904,031502010308
031501100904,031501100905
031501100905,031502010309
031501100905,031502010308
031501100905,031502010104
031502010101,031502010104
031502010101,031502010103
031502010101,031502010102
031502010102,031502010103
031502010102,031502010201
031502010102,031502010202
031502010103,031502010104
031502010103,031502010105
031502010103,031502010106
031502010103,031502010201
031502010104,031502010310
031502010104,031502010309
031502010104,031502010105
031502010105,031502010310
031502010105,031502010107
031502010105,031502010106
031502010106,031502010107
031502010106,031502010203
031502010106,031502010201
031502010107,031502010310
031502010107,031502010311
031502010107,031502010501
031502010107,031502010203
031502010201,031502010203
031502010201,031502010202
031502010202,031502010504
031502010202,031502010203
031502010202,031502010602
031502010202,031502010603
031502010202,031502010601
031502010203,031502010501
031502010203,031502010504
031502010301,031502010303
031502010301,031502010307
031502010301,031502010305
031502010302,031502010303
031502010302,031502010304
031502010303,031502010305
031502010303,031502010304
031502010304,031502010305
031502010304,031502010308
031502010305,031502010306
031502010305,031502010307
031502010305,031502010308
031502010306,031502010307
031502010307,031502010401
031502010307,031502010404
031502010307,031502010310
031502010307,031502010309
031502010307,031502010308
031502010308,031502010309
031502010309,031502010310
031502010310,031502010404
031502010310,031502010406
031502010310,031502010311
031502010311,031502010406
031502010311,031502010407
031502010311,031502010501
031502010401,031502010402
031502010401,031502010404
031502010402,031502010802
031502010402,031502010404
031502010402,031502010403
031502010402,031502010405
031502010403,031502010404
031502010403,031502010406
031502010403,031502010405
031502010404,031502010406
031502010405,031502010802
031502010405,031502010803
031502010405,031502010406
031502010405,031502010502
031502010405,031502010407
031502010406,031502010407
031502010407,031502010502
031502010407,031502010503
031502010407,031502010501
031502010501,031502010503
031502010501,031502010504
031502010502,031502010803
031502010502,031502010805
031502010502,031502010701
031502010502,031502010505
031502010502,031502010503
031502010503,031502010505
031502010503,031502010504
031502010504,031502010505
031502010504,031502010602
031502010504,031502010603
031502010505,031502010701
031502010505,031502010702
031502010505,031502010603
031502010601,031502010902
031502010601,031502010603
031502010602,031502010603
031502010603,031502010704
031502010603,031502010705
031502010603,031502010903
031502010603,031502010902
031502010603,031502010702
031502010603,031502010703
031502010701,031502010706
031502010701,031502010805
031502010701,031502010807
031502010701,031502010702
031502010702,031502010706
031502010702,031502010703
031502010703,031502010706
031502010703,031502010704
031502010704,031502010706
031502010704,031502010705
031502010705,031502011202
031502010705,031502010706
031502010705,031502010903
031502010706,031502011202
031502010706,031502010807
031502010801,031502030201
031502010801,031502030205
031502010801,031502010802
031502010801,031502010803
031502010801,031502010805
031502010802,031502010803
031502010803,031502010805
031502010804,031502030206
031502010804,031502010806
031502010804,031502030205
031502010804,031502010805
031502010804,031502010807
031502010805,031502030205
031502010805,031502010807
031502010806,031502030206
031502010806,031502030208
031502010806,031502011201
031502010806,031502010807
031502010807,031502011201
031502010807,031502011202
031502010901,031502010903
031502010901,031502011005
031502010901,031502010902
031502010902,031502010903
031502010902,031502011005
031502010902,031502011004
031502010902,031502011001
031502010903,031502011202
031502010903,031502011204
031502010903,031502011006
031502010903,031502011005
031502011001,031502011004
031502011001,031502011003
031502011002,031502020802
031502011002,031502020404
031502011002,031502011004
031502011002,031502011003
031502011003,031502020404
031502011003,031502011004
031502011003,031502020402
031502011004,031502011006
031502011004,031502011005
031502011004,031502011101
031502011004,031502020804
031502011004,031502020802
031502011005,031502011006
031502011006,031502011102
031502011006,031502011204
031502011006,031502011205
031502011006,031502011101
031502011101,031502011102
031502011101,031502020804
031502011102,031502011207
031502011102,031502020901
031502011102,031502020805
031502011102,031502011205
031502011102,031502020804
031502011201,031502030208
031502011201,031502011203
031502011201,031502011202
031502011202,031502011203
031502011202,031502011204
031502011203,031502030208
031502011203,031502011206
031502011203,031502011207
031502011203,031502011204
031502011204,031502011206
031502011204,031502011205
031502011205,031502011206
031502011205,031502011207
031502011206,031502011207
031502011207,031502030303
031502011207,031502030208
031502011207,031502020902
031502011207,031502020901
031502020101,031502020104
031502020101,031601110406
031502020101,031601110306
031502020101,031601110303
031502020101,031502020301
031502020101,031502020102
031502020102,031502020103
031502020102,031502020104
031502020103,031502020104
031502020103,031502020202
031502020103,031502020204
031502020104,031502020204
031502020104,031502020301
031502020201,031502020203
031502020201,031502020202
031502020202,031502020203
031502020202,031502020204
031502020203,031502020403
031502020203,031502020206
031502020203,031502020204
031502020204,031502020206
031502020204,031502020303
031502020204,031502020301
031502020205,031502020403
031502020205,031502020206
031502020206,031502020405
031502020206,031502020403
031502020206,031502020407
031502020206,031502020303
031502020301,031502020303
031502020301,031601120101
031502020301,031601110408
031502020301,031601110406
031502020302,031502020407
031502020302,031502020406
031502020302,031601120302
031502020302,031502020303
031502020302,031601120102
031502020302,031601120104
031502020302,031601120303
031502020303,031502020407
031502020303,031601120102
031502020303,031601120101
031502020401,031502020402
031502020401,031502020403
031502020402,031502020404
031502020402,031502020405
031502020402,031502020403
031502020403,031502020405
031502020404,031502020802
031502020404,031502020503
031502020404,031502020405
031502020405,031502020503
031502020405,031502020407
031502020406,031502020501
031502020406,031502020407
031502020406,031601120303
031502020407,031502020503
031502020407,031502020502
031502020407,031502020501
031502020501,031502020502
031502020501,031601130104
031502020501,031601120502
031502020501,031601120303
031502020502,031502020503
031502020502,031502020504
031502020502,031601130104
031502020503,031502020801
031502020503,031502020802
031502020503,031502020506
031502020503,031502020504
031502020504,031502020506
031502020504,031502020505
031502020504,031601130102
031502020504,031601130104
031502020505,031502020506
031502020505,031601130103
031502020505,031502020507
031502020505,031601130102
031502020506,031502020601
031502020506,031502020603
031502020506,031502020801
031502020506,031502020507
031502020507,031601130501
031502020507,031502020601
031502020507,031601130401
031502020507,031601130103
031502020601,031502020602
031502020601,031601130501
031502020601,031502020603
031502020602,031502020702
031502020602,031502030102
031502020602,031502020701
031502020602,031601130501
031502020602,031601130503
031502020602,031502020603
031502020603,031502020702
031502020603,031502020803
031502020603,031502020801
031502020701,031502020902
031502020701,031502030106
031502020701,031502020703
031502020701,031502020702
031502020701,031502030102
031502020702,031502020703
031502020702,031502020805
031502020702,031502020803
031502020703,031502020902
031502020703,031502020805
031502020801,031502020803
031502020801,031502020802
031502020802,031502020804
031502020802,031502020803
031502020803,031502020805
031502020803,031502020804
031502020804,031502020805
031502020805,031502020902
031502020805,031502020901
031502020901,031502020902
031502020902,031502030303
031502020902,031502030109
031502020902,031502030301
031502020902,031502030106
031502030101,031502030107
031502030101,031502030104
031502030101,031502030102
031502030101,031601130702
031502030101,031601130703
031502030102,031502030106
031502030102,031502030107
031502030102,031601130703
031502030102,031601130503
031502030103,031601130704
031502030103,031502030503
031502030103,031502030502
031502030103,031502030108
031502030103,031502030105
031502030103,031601130702
031502030104,031502030107
031502030104,031502030105
031502030104,031601130702
031502030105,031502030108
031502030105,031502030109
031502030105,031502030107
031502030105,031601130702
031502030106,031502030109
031502030106,031502030107
031502030107,031502030109
031502030108,031502030505
031502030108,031502030504
031502030108,031502030502
031502030108,031502030109
031502030108,031502030110
031502030109,031502030110
031502030109,031502030301
031502030110,031502030303
031502030110,031502030505
031502030110,031502030301
031502030201,031502030202
031502030201,031502030205
031502030202,031502030203
031502030202,031502030204
031502030202,031502030205
031502030203,031502030406
031502030203,031502030204
031502030203,031502030207
031502030203,031502030403
031502030204,031502030207
031502030204,031502030206
031502030204,031502030205
031502030205,031502030206
031502030206,031502030209
031502030206,031502030207
031502030206,031502030208
031502030207,031502030407
031502030207,031502030302
031502030207,031502030209
031502030207,031502030406
031502030208,031502030209
031502030208,031502030303
031502030209,031502030302
031502030209,031502030303
031502030301,031502030303
031502030302,031502030407
031502030302,031502030408
031502030302,031502030303
031502030303,031502030408
031502030303,031502030505
031502030401,031502030402
031502030401,031502030403
031502030402,031502030406
031502030402,031502030403
031502030402,031502030404
031502030403,031502030406
031502030404,031502030405
031502030404,031502030406
031502030405,031502040201
031502030405,031502040202
031502030405,031502030407
031502030405,031502030406
031502030406,031502030407
031502030407,031502040202
031502030407,031502030802
031502030407,031502030408
031502030408,031502030802
031502030408,031502030701
031502030408,031502030505
031502030501,031602010103
031502030501,031602010102
031502030501,031502030702
031502030501,031502030503
031502030502,031502030505
031502030502,031502030504
031502030502,031502030503
031502030503,031602010102
031502030503,031601130704
031502030503,031502030701
031502030503,031502030702
031502030503,031502030505
031502030504,031502030505
031502030505,031502030701
031502030601,031502030605
031502030601,031602010603
031502030601,031602010601
031502030601,031502030603
031502030602,031502030603
031502030602,031502030604
031502030602,031602010101
031502030603,031502030605
031502030603,031602010601
031502030603,031602010602
031502030603,031602010301
031502030603,031502030604
031502030603,031602010101
031502030603,031602010106
031502030604,031502030605
031502030604,031602010101
031502030604,031602010103
031502030604,031502030606
031502030604,031502030702
031502030605,031602030602
031502030605,031502030803
031502030605,031602010603
031502030605,031502030606
031502030606,031502030803
031502030606,031502030805
031502030606,031502030703
031502030606,031502030702
031502030701,031502030703
031502030701,031502030802
031502030701,031502030702
031502030702,031602010103
031502030702,031502030703
031502030703,031502030805
031502030703,031502030802
031502030801,031502040101
031502030801,031502030804
031502030801,031502040202
031502030801,031502030802
031502030802,031502030804
031502030802,031502030805
031502030802,031502040202
031502030803,031602030601
031502030803,031602030602
031502030803,031502040103
031502030803,031502030805
031502030804,031502040101
031502030804,031502030805
031502030805,031502040102
031502030805,031502040103
031502030805,031502040101
031502040101,031502040204
031502040101,031502040102
031502040101,031502040202
031502040102,031502040205
031502040102,031502040204
031502040102,031502040206
031502040102,031502040105
031502040102,031502040103
031502040103,031502040104
031502040103,031602030601
031502040103,031502040105
031502040104,031502040401
031502040104,031602030603
031502040104,031602030601
031502040104,031502040105
031502040105,031502040401
031502040105,031502040405
031502040105,031502040206
031502040201,031502040203
031502040201,031502040204
031502040201,031502040202
031502040202,031502040204
031502040203,031502040301
031502040203,031502040205
031502040203,031502040204
031502040204,031502040205
031502040205,031502040301
031502040205,031502040304
031502040205,031502040206
031502040206,031502040405
031502040206,031502040304
031502040301,031502040302
031502040301,031502040304
031502040302,031502040303
031502040302,031502040304
031502040303,031502040403
031502040303,031502040304
031502040304,031502040403
031502040304,031502040405
031502040401,031502040402
031502040401,031602030606
031502040401,031602030604
031502040401,031602030603
031502040401,031502040405
031502040402,031502040602
031502040402,031502040603
031502040402,031602030606
031502040402,031502040405
031502040403,031502040404
031502040403,031502040405
031502040404,031502040502
031502040404,031502040602
031502040404,031502040405
031502040405,031502040602
031502040501,031502040502
031502040501,031502040703
031502040501,031502040701
031502040501,031502040503
031502040502,031502040503
031502040502,031502040601
031502040502,031502040602
031502040503,031502040705
031502040503,031502040701
031502040503,031502040601
031502040503,031502040604
031502040601,031502040604
031502040601,031502040602
031502040602,031502040604
031502040602,031502040603
031502040603,031602030902
031502040603,031502040604
031502040603,031602030606
031502040604,031502040705
031502040604,031602031101
031502040604,031602030903
031502040604,031602030902
031502040701,031502040705
031502040701,031502040703
031502040701,031502040702
031502040702,031502040705
031502040702,031502040703
031502040703,031502040705
031502040703,031502040704
031502040704,031602040103
031502040704,031502040705
031502040704,031602040104
031502040705,031602040103
031502040705,031602031103
031502040705,031602031101
031601010501,031601030106
031601010501,031601030105
031601010501,031601030401
031601010501,031601010502
031601010501,031601010503
031601010501,060300060105
031601010501,060300060104
031601010502,031601030401
031601010502,031601010505
031601010502,031601010504
031601010502,031601010503
031601010503,031601010504
031601010503,031601010601
031601010503,060300060105
031601010504,031601010505
031601010504,031601010601
031601010505,031601030402
031601010505,031601030401
031601010601,060300060105
031601010601,060300060106
031601030101,031601030107
031601030101,031601030103
031601030101,031601030102
031601030101,031601100302
031601030101,060300060103
031601030102,031601070103
031601030102,031601070102
031601030102,031601030107
031601030102,031601090301
031601030102,031601100302
031601030103,031601030107
031601030103,031601030104
031601030103,060300060103
031601030104,031601030107
031601030104,031601030105
031601030104,060300060103
031601030105,031601030107
031601030105,031601030106
031601030105,060300060103
031601030105,060300060104
031601030106,031601030107
031601030106,031601030302
031601030106,031601030401
031601030107,031601070103
031601030107,031601050101
031601030107,031601030301
031601030107,031601030302
031601030201,031601050301
031601030201,031601050102
031601030201,031601030202
031601030201,031601050101
031601030201,031601030303
031601030201,031601030301
031601030202,031601050301
031601030202,031601030305
031601030202,031601030306
031601030202,031601030304
031601030202,031601030303
031601030301,031601050101
031601030301,031601030303
031601030301,031601030302
031601030302,031601030303
031601030302,031601030402
031601030302,031601030401
031601030303,031601030304
031601030303,031601030402
031601030304,031601030306
031601030304,031601030501
031601030304,031601030402
031601030305,031601050304
031601030305,031601050301
031601030305,031601050402
031601030305,031601030306
031601030306,031601050402
031601030306,031601050401
031601030306,031601030601
031601030306,031601030501
031601030306,031601030503
031601030401,031601030402
031601030402,031601030501
031601030402,031601030503
031601030402,031601030502
031601030501,031601030503
031601030502,031601030503
031601030503,031601030601
031601050101,031601050102
031601050101,031601070104
031601050101,031601070103
031601050102,031601050302
031601050102,031601050103
031601050102,031601050301
031601050102,031601070201
031601050102,031601070104
031601050103,031601050201
031601050103,031601050302
031601050103,031601070201
031601050201,031601060201
031601050201,031601070203
031601050201,031601070204
031601050201,031601050202
031601050201,031601050302
031601050201,031601070201
031601050202,031601060201
031601050202,031601050203
031601050202,031601050302
031601050203,031601060202
031601050203,031601060201
031601050203,031601050204
031601050203,031601050403
031601050203,031601050302
031601050204,031601060202
031601050204,031601050502
031601050204,031601050205
031601050204,031601050403
031601050205,031601050502
031601050205,031601050405
031601050205,031601050403
031601050301,031601050302
031601050301,031601050304
031601050302,031601050403
031601050302,031601050303
031601050302,031601050304
031601050303,031601050403
031601050303,031601050304
031601050303,031601050404
031601050304,031601050404
031601050304,031601050402
031601050401,031601050405
031601050401,031601050402
031601050402,031601050405
031601050402,031601050404
031601050403,031601050405
031601050403,031601050404
031601050404,031601050405
031601050502,031601060202
031601050502,031601060305
031601050502,031601060304
031601050502,031601060301
031601050502,031601050503
031601050503,031601060301
031601060201,031601060202
031601060201,031601060401
031601060201,031601070203
031601060202,031601060402
031601060202,031601060401
031601060202,031601060203
031601060202,031601060305
031601060203,031601060502
031601060203,031601060501
031601060203,031601060308
031601060203,031601060402
031601060203,031601060305
031601060301,031601060308
031601060301,031601060304
031601060304,031601060308
031601060304,031601060305
031601060305,031601060308
031601060308,031601060502
031601060401,031601060402
031601060401,031601060405
031601060401,031601070205
031601060401,031601070206
031601060401,031601070203
031601060402,031601060501
031601060402,031601060404
031601060402,031601060403
031601060402,031601060405
031601060403,031601060407
031601060403,031601060404
031601060403,031601060405
031601060404,031601060506
031601060404,031601060501
031601060404,031601060408
031601060404,031601060407
031601060405,031601070302
031601060405,031601060406
031601060405,031601060407
031601060405,031601070301
031601060405,031601070205
031601060406,031601070305
031601060406,031601070303
031601060406,031601070302
031601060406,031601060408
031601060406,031601060407
031601060407,031601060408
031601060408,031601070306
031601060408,031601070305
031601060408,031601060507
031601060408,031601060506
031601060501,031601060506
031601060501,031601060503
031601060501,031601060502
031601060502,031601060505
031601060502,031601060504
031601060502,031601060503
031601060503,031601060505
031601060503,031601060506
031601060504,031601080903
031601060504,031601060601
031601060504,031601060505
031601060505,031601060601
031601060505,031601060507
031601060505,031601060506
031601060506,031601060507
031601060507,031601060603
031601060507,031601070306
031601060507,031601060601
031601060601,031601081102
031601060601,031601060603
031601060601,031601080903
031601060602,031601060603
031601060602,031601060604
031601060602,031601070306
031601060603,031601081102
031601060603,031601060609
031601060603,031601060604
031601060603,031601070306
031601060604,031601060609
031601060604,031601060606
031601060604,031601060605
031601060604,031601070306
031601060605,031601060607
031601060605,031601060606
031601060605,031601070306
031601060605,031601070304
031601060605,031601130606
031601060605,031601130605
031601060606,031601060609
031601060606,031601060607
031601060607,031601130803
031601060607,031601060609
031601060607,031601060608
031601060607,031601130606
031601060608,031601060705
031601060608,031601060704
031601060608,031601130803
031601060608,031601060609
031601060609,031601060705
031601060609,031601060702
031601060609,031601060701
031601060609,031601081102
031601060701,031601060702
031601060701,031601081005
031601060701,031601081102
031601060702,031602020404
031601060702,031602020403
031601060702,031601060705
031601060702,031601060703
031601060702,031601081004
031601060702,031601081005
031601060703,031602020404
031601060703,031602020701
031601060703,031602020405
031601060703,031601060706
031601060703,031601060705
031601060704,031601060706
031601060704,031601060705
031601060704,031601060708
031601060704,031601130801
031601060704,031601130803
031601060705,031601060706
031601060706,031602020703
031601060706,031602020701
031601060706,031601060707
031601060706,031601060708
031601060707,031602020703
031601060707,031602010401
031601060707,031601060709
031601060707,031601060708
031601060708,031601060709
031601060708,031601130804
031601060708,031601130801
031601060709,031602010401
031601060709,031601130806
031601060709,031601130804
031601070101,031601070106
031601070101,031601070102
031601070101,031601090402
031601070101,031601090401
031601070102,031601070106
031601070102,031601070103
031601070102,031601090302
031601070102,031601090301
031601070102,031601090401
031601070103,031601070106
031601070103,031601070104
031601070104,031601070201
031601070104,031601070106
031601070105,031601120401
031601070105,031601070201
031601070105,031601120402
031601070105,031601070106
031601070105,031601090502
031601070105,031601090402
031601070106,031601070201
031601070106,031601090402
031601070201,031601070204
031601070201,031601070202
031601070201,031601120401
031601070202,031601070206
031601070202,031601120410
031601070202,031601120405
031601070202,031601070204
031601070202,031601120403
031601070202,031601120401
031601070203,031601070206
031601070203,031601070204
031601070204,031601070206
031601070205,031601070301
031601070205,031601070206
031601070206,031601070301
031601070206,031601120410
031601070301,031601070302
031601070301,031601130202
031601070301,031601120412
031601070301,031601120410
031601070302,031601130601
031601070302,031601070303
031601070302,031601130204
031601070302,031601130202
031601070303,031601070304
031601070303,031601070305
031601070303,031601130603
031601070303,031601130601
031601070304,031601070306
031601070304,031601070305
031601070304,031601130605
031601070304,031601130603
031601070305,031601070306
031601080903,031601081102
