catalog_event_id,matched_flood_report_count,matched_flash_flood_count,matched_property_damage_usd,matched_crop_damage_usd,matched_direct_deaths,matched_direct_injuries
AL-RF-19960421-0095,0,0,0.0,0.0,0.0,0.0
AL-RF-19960528-0096,1,1,15000.0,0.0,0.0,0.0
AL-RF-19960708-0097,0,0,0.0,0.0,0.0,0.0
AL-RF-19960901-0098,5,5,77000.0,0.0,0.0,0.0
AL-RF-19970303-0099,0,0,0.0,0.0,0.0,0.0
AL-RF-19970503-0100,4,4,110000.0,12000.0,0.0,0.0
AL-RF-19970720-0101,6,6,545000.0,50000.0,0.0,0.0
AL-RF-19970925-0102,0,0,0.0,0.0,0.0,0.0
AL-RF-19971027-0103,0,0,0.0,0.0,0.0,0.0
AL-RF-19980108-0104,56,56,1575000.0,250000.0,2.0,0.0
AL-RF-19980308-0105,20,12,346705000.0,60000.0,4.0,0.0
AL-RF-19980715-0106,1,1,30000.0,10000.0,0.0,2.0
AL-RF-19980903-0107,1,0,0.0,0.0,0.0,0.0
AL-RF-19980913-0108,1,0,0.0,0.0,0.0,0.0
AL-RF-19980930-0109,17,16,4270000.0,15050000.0,0.0,0.0
AL-RF-19981213-0110,0,0,0.0,0.0,0.0,0.0
AL-RF-19990123-0111,6,4,91000.0,0.0,0.0,0.0
AL-RF-19990131-0112,4,3,15000.0,0.0,0.0,0.0
AL-RF-19990314-0113,5,3,21000.0,0.0,0.0,0.0
AL-RF-19990506-0114,6,5,41000.0,0.0,0.0,0.0
AL-RF-19990627-0115,20,16,3522000.0,0.0,2.0,2.0
AL-RF-19990629-0116,23,19,3645000.0,0.0,2.0,2.0
AL-RF-19991010-0117,0,0,0.0,0.0,0.0,0.0
AL-RF-19991102-0118,0,0,0.0,0.0,0.0,0.0
AL-RF-20000320-0119,5,5,135000.0,0.0,0.0,0.0
AL-RF-20000404-0120,14,14,575000.0,0.0,0.0,0.0
AL-RF-20001109-0121,3,0,5000.0,0.0,0.0,0.0
AL-RF-20010304-0122,22,22,658000.0,0.0,0.0,0.0
