huc12,flood_report_count,flash_flood_report_count,property_damage_usd,crop_damage_usd,direct_deaths,direct_injuries
031402030102,4,2,5000.0,0.0,0,0
031402030103,2,1,0.0,0.0,0,0
031402030105,4,4,50000.0,0.0,0,0
031402030201,1,1,5000.0,0.0,0,0
031403010101,1,1,0.0,0.0,0,0
031403010104,1,1,0.0,0.0,0,0
031403010202,1,1,0.0,0.0,0,0
031403010204,2,2,0.0,0.0,0,0
031403010205,1,1,0.0,0.0,0,0
031403010302,1,1,2000.0,0.0,0,0
031403010303,2,2,0.0,0.0,0,0
031403010401,1,0,0.0,0.0,0,0
031403010501,2,2,0.0,0.0,0,0
031403010502,1,1,0.0,0.0,0,0
031403010503,1,0,0.0,0.0,0,0
031403020103,1,1,0.0,0.0,0,0
031403020201,1,1,0.0,0.0,0,0
031403020303,4,3,30000.0,0.0,0,0
031403020501,1,1,0.0,0.0,0,0
031403030101,1,1,0.0,0.0,0,0
031403030102,2,1,60000.0,0.0,0,1
031403030201,2,2,0.0,0.0,0,0
031403030203,1,1,0.0,0.0,0,0
031403030401,2,1,600000.0,0.0,0,0
031403030402,1,0,1500.0,0.0,0,0
031403030503,1,1,0.0,0.0,0,0
031403030504,1,0,0.0,0.0,0,0
031403030704,1,1,100000.0,0.0,0,0
031403040103,1,1,50000.0,0.0,0,0
031403040106,2,2,100000.0,0.0,0,0
031403040107,4,4,0.0,0.0,0,0
031403040301,1,1,0.0,0.0,0,0
031403040305,5,4,400000.0,0.0,0,0
031403040404,7,7,0.0,0.0,0,0
031403040503,1,1,0.0,0.0,0,0
031403040505,1,1,0.0,0.0,0,0
031403040601,1,1,0.0,0.0,0,0
031403040604,2,2,0.0,0.0,0,0
031403050202,2,2,0.0,0.0,0,0
031403050302,3,2,362000.0,0.0,0,0
031403050501,1,1,0.0,0.0,0,0
031501050302,2,2,0.0,0.0,0,0
031501050501,1,1,0.0,0.0,0,0
031501050605,2,1,0.0,0.0,0,0
031501050704,3,1,0.0,0.0,0,0
031501050802,1,0,0.0,0.0,0,0
031501050803,1,0,0.0,0.0,0,0
031501050804,1,0,5000.0,0.0,0,0
031501050806,2,2,0.0,0.0,0,0
031501050807,1,1,0.0,0.0,0,0
031501050905,1,1,3000.0,0.0,0,0
031501050906,1,1,0.0,0.0,0,0
031501050907,1,0,0.0,0.0,0,0
031501050908,1,1,0.0,0.0,0,0
031501050909,1,1,25000.0,0.0,0,0
031501051001,2,1,0.0,0.0,0,0
031501051002,4,2,2000.0,0.0,0,0
031501051003,6,3,9000.0,0.0,0,0
031501060101,38,24,270000.0,0.0,1,0
031501060102,3,2,0.0,0.0,0,0
031501060103,3,0,5000.0,0.0,0,0
031501060105,1,1,0.0,0.0,0,0
031501060107,5,4,35000.0,0.0,0,0
031501060108,1,1,4000.0,0.0,0,0
031501060201,1,0,0.0,0.0,0,0
031501060204,5,4,0.0,0.0,0,0
031501060301,1,1,4000.0,0.0,0,0
031501060302,2,2,0.0,0.0,0,0
031501060305,1,1,10000.0,0.0,0,0
031501060307,2,2,5000.0,0.0,0,0
031501060308,1,1,8000.0,0.0,0,0
031501060309,2,1,73000.0,0.0,0,1
031501060403,3,2,5000.0,0.0,0,0
031501060405,1,1,0.0,0.0,0,0
031501060407,1,0,0.0,0.0,0,0
031501060408,2,2,0.0,0.0,0,0
031501060409,2,2,10000.0,0.0,0,0
031501060501,1,0,1000.0,0.0,0,0
031501060504,2,1,0.0,0.0,0,0
031501060505,5,4,3000.0,0.0,0,0
031501060506,1,1,0.0,0.0,0,0
031501060507,2,2,15000.0,0.0,0,0
031501060509,2,2,0.0,0.0,0,0
031501060510,2,1,0.0,0.0,0,0
031501060511,1,1,0.0,0.0,0,0
031501060512,1,0,0.0,0.0,0,0
031501060513,1,1,0.0,0.0,0,0
031501060601,2,2,0.0,0.0,0,0
031501060602,1,1,3000.0,0.0,0,0
031501060603,1,1,0.0,0.0,0,0
031501060604,3,2,2000.0,0.0,0,0
031501060605,2,2,0.0,0.0,0,0
031501060703,3,3,10000.0,0.0,0,0
031501060802,1,1,0.0,0.0,0,0
031501060803,1,1,0.0,0.0,0,0
031501060804,1,0,0.0,0.0,0,0
031501060805,1,0,0.0,0.0,0,0
031501060806,1,1,0.0,0.0,0,0
031501070102,1,1,0.0,0.0,0,0
031501070104,5,2,10000.0,0.0,0,0
031501070106,2,1,0.0,0.0,0,0
031501070201,1,1,2000.0,0.0,0,0
031501070203,1,1,0.0,0.0,0,0
031501070205,2,2,0.0,0.0,0,0
031501070301,4,1,500000.0,0.0,0,0
031501070302,1,1,3000.0,0.0,0,0
031501070303,1,1,0.0,0.0,0,0
031501070304,2,2,5000.0,0.0,0,0
031501070402,2,2,0.0,0.0,0,0
031501070403,4,3,18000.0,0.0,0,0
031501070404,1,0,0.0,0.0,0,0
031501070406,1,1,0.0,0.0,0,0
031501070503,1,1,0.0,0.0,0,0
031501070601,1,1,0.0,0.0,0,0
031501070702,2,1,0.0,0.0,0,0
031501070708,1,0,0.0,0.0,0,0
031501070801,1,1,50000.0,0.0,0,0
031501070802,3,3,5000.0,0.0,0,0
031501070901,1,0,0.0,0.0,0,0
031501070902,1,1,0.0,0.0,0,0
031501070905,1,1,0.0,0.0,0,0
031501070906,1,1,0.0,0.0,0,0
031501070907,7,6,23000.0,0.0,0,0
031501080403,1,0,0.0,0.0,0,0
031501080404,2,2,7000.0,0.0,0,0
031501080803,3,2,1000.0,0.0,1,1
031501080901,1,1,0.0,0.0,0,0
