archive_name,archive_path,region,ari_years,duration_hours,duration_token,statistic,series,raster_path
se200yr03ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se200yr03ha.zip,se,200,3,03h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se200yr03ha\se200yr03ha.asc
se500yr03ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se500yr03ha.zip,se,500,3,03h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se500yr03ha\se500yr03ha.asc
se1000yr03ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1000yr03ha.zip,se,1000,3,03h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1000yr03ha\se1000yr03ha.asc
se1yr06ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1yr06ha.zip,se,1,6,06h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1yr06ha\se1yr06ha.asc
se2yr06ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se2yr06ha.zip,se,2,6,06h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se2yr06ha\se2yr06ha.asc
se5yr06ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se5yr06ha.zip,se,5,6,06h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se5yr06ha\se5yr06ha.asc
se10yr06ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se10yr06ha.zip,se,10,6,06h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se10yr06ha\se10yr06ha.asc
se25yr06ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se25yr06ha.zip,se,25,6,06h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se25yr06ha\se25yr06ha.asc
se50yr06ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se50yr06ha.zip,se,50,6,06h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se50yr06ha\se50yr06ha.asc
se100yr06ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se100yr06ha.zip,se,100,6,06h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se100yr06ha\se100yr06ha.asc
se200yr06ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se200yr06ha.zip,se,200,6,06h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se200yr06ha\se200yr06ha.asc
se500yr06ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se500yr06ha.zip,se,500,6,06h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se500yr06ha\se500yr06ha.asc
se1000yr06ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1000yr06ha.zip,se,1000,6,06h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1000yr06ha\se1000yr06ha.asc
se1yr24ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1yr24ha.zip,se,1,24,24h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1yr24ha\se1yr24ha.asc
se2yr24ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se2yr24ha.zip,se,2,24,24h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se2yr24ha\se2yr24ha.asc
se5yr24ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se5yr24ha.zip,se,5,24,24h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se5yr24ha\se5yr24ha.asc
