raster_path,source_units_interpreted,value_to_mm_factor,sample_median_raw
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se500yr03da\se500yr03da.asc,thousandths of an inch,0.0254,15811.5
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se500yr03ha\se500yr03ha.asc,thousandths of an inch,0.0254,6896.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se500yr06ha\se500yr06ha.asc,thousandths of an inch,0.0254,8692.5
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se500yr24ha\se500yr24ha.asc,thousandths of an inch,0.0254,12868.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se500yr60ma\se500yr60ma.asc,thousandths of an inch,0.0254,4696.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se50yr03da\se50yr03da.asc,thousandths of an inch,0.0254,10752.5
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se50yr03ha\se50yr03ha.asc,thousandths of an inch,0.0254,4871.5
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se50yr06ha\se50yr06ha.asc,thousandths of an inch,0.0254,5992.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se50yr24ha\se50yr24ha.asc,thousandths of an inch,0.0254,8587.5
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se50yr60ma\se50yr60ma.asc,thousandths of an inch,0.0254,3407.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se5yr03da\se5yr03da.asc,thousandths of an inch,0.0254,6713.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se5yr03ha\se5yr03ha.asc,thousandths of an inch,0.0254,3123.5
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se5yr06ha\se5yr06ha.asc,thousandths of an inch,0.0254,3770.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se5yr24ha\se5yr24ha.asc,thousandths of an inch,0.0254,5301.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se5yr60ma\se5yr60ma.asc,thousandths of an inch,0.0254,2244.0
