duration_hours,ari_years,filename,url,status,size_mb,sha256,error
6,500,se500yr06ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se500yr06ha.zip,cached,1.5775222778320312,5a92b1ccd24ed07d4bccf42bfdfedf894cdf543036642f39cc3a198901d51786,
6,1000,se1000yr06ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se1000yr06ha.zip,cached,1.6485366821289062,1ca0db515eb85709f70fa804a1cc6696eacf185deedfb104a0d0d87ef5fcbdd6,
24,1,se1yr24ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se1yr24ha.zip,cached,0.8731746673583984,3506315a02bd0f873379a33c2febd6f5d5198e04de29e1ac3587ad1c384d9020,
24,2,se2yr24ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se2yr24ha.zip,cached,0.9736471176147461,f5f9aa2ea7784bf8b114445334f24d34c42f537ec20ebdbe284ec125c5fdff2a,
24,5,se5yr24ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se5yr24ha.zip,cached,1.1402397155761719,ebeb4289f260b63531ffd6d303cdb93106855737fca4ec175086036621932728,
24,10,se10yr24ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se10yr24ha.zip,cached,1.2422409057617188,7e2ca9030bfc86646565b8e7fdeaf620526254f6a9d91931ce0b6390fb9402f1,
24,25,se25yr24ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se25yr24ha.zip,cached,1.3811206817626953,e83f0f1b5b9cf89bcbd6bebdfd826c30c53850464839a634f12c3cd6bd07ef2c,
24,50,se50yr24ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se50yr24ha.zip,cached,1.4715862274169922,a378a4bcfc9ec33e0460b9dcc26f32ecc22d858f18b5c64681187db77ade68d7,
24,100,se100yr24ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se100yr24ha.zip,cached,1.5516414642333984,78dc6fa345640b5a5cca9d9b050cbd21d3acec3eda577cc42cb94745ca78ddb0,
24,200,se200yr24ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se200yr24ha.zip,cached,1.6446037292480469,0cafb881c391cdff486b00892f9d65c66cdeee92e228733a4bb8af609616e834,
24,500,se500yr24ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se500yr24ha.zip,cached,1.7024574279785156,69c701e74a54c6d38ec0831edb6f90b51a67cf60f6e97f178b447385b72490cb,
