source_raster,equal_area_raster,duration_hours,ari_years,target_crs,target_resolution_m
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1000yr03ha\se1000yr03ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se1000yr03ha_epsg5070_1km.tif,3,1000,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1yr06ha\se1yr06ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se1yr06ha_epsg5070_1km.tif,6,1,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se2yr06ha\se2yr06ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se2yr06ha_epsg5070_1km.tif,6,2,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se5yr06ha\se5yr06ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se5yr06ha_epsg5070_1km.tif,6,5,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se10yr06ha\se10yr06ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se10yr06ha_epsg5070_1km.tif,6,10,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se25yr06ha\se25yr06ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se25yr06ha_epsg5070_1km.tif,6,25,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se50yr06ha\se50yr06ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se50yr06ha_epsg5070_1km.tif,6,50,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se100yr06ha\se100yr06ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se100yr06ha_epsg5070_1km.tif,6,100,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se200yr06ha\se200yr06ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se200yr06ha_epsg5070_1km.tif,6,200,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se500yr06ha\se500yr06ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se500yr06ha_epsg5070_1km.tif,6,500,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1000yr06ha\se1000yr06ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se1000yr06ha_epsg5070_1km.tif,6,1000,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1yr24ha\se1yr24ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se1yr24ha_epsg5070_1km.tif,24,1,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se2yr24ha\se2yr24ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se2yr24ha_epsg5070_1km.tif,24,2,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se5yr24ha\se5yr24ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se5yr24ha_epsg5070_1km.tif,24,5,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se10yr24ha\se10yr24ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se10yr24ha_epsg5070_1km.tif,24,10,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se25yr24ha\se25yr24ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se25yr24ha_epsg5070_1km.tif,24,25,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se50yr24ha\se50yr24ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se50yr24ha_epsg5070_1km.tif,24,50,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se100yr24ha\se100yr24ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se100yr24ha_epsg5070_1km.tif,24,100,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se200yr24ha\se200yr24ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se200yr24ha_epsg5070_1km.tif,24,200,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se500yr24ha\se500yr24ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se500yr24ha_epsg5070_1km.tif,24,500,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1000yr24ha\se1000yr24ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se1000yr24ha_epsg5070_1km.tif,24,1000,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1yr03da\se1yr03da.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se1yr03da_epsg5070_1km.tif,72,1,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se2yr03da\se2yr03da.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se2yr03da_epsg5070_1km.tif,72,2,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se5yr03da\se5yr03da.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se5yr03da_epsg5070_1km.tif,72,5,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se10yr03da\se10yr03da.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se10yr03da_epsg5070_1km.tif,72,10,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se25yr03da\se25yr03da.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se25yr03da_epsg5070_1km.tif,72,25,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se50yr03da\se50yr03da.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se50yr03da_epsg5070_1km.tif,72,50,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se100yr03da\se100yr03da.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se100yr03da_epsg5070_1km.tif,72,100,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se200yr03da\se200yr03da.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se200yr03da_epsg5070_1km.tif,72,200,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se500yr03da\se500yr03da.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se500yr03da_epsg5070_1km.tif,72,500,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1000yr03da\se1000yr03da.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se1000yr03da_epsg5070_1km.tif,72,1000,EPSG:5070,1000.0
