site_no,metric,record_years,first_year,last_year,kendall_tau,mann_kendall_p_value,sen_slope_log10_per_year,percent_change_per_decade,trend_class,fixed_network_selected
02461500,peak_cfs_per_sqmi,38,1979,2025,-0.10384068278805121,0.3652957550011604,-0.0026233248042609823,-5.861613156851697,No significant trend,True
02462000,peak_cfs_per_sqmi,46,1979,2025,-0.14782608695652175,0.15006891098205666,-0.002459284724130922,-5.505364798285417,No significant trend,True
02462500,peak_cfs_per_sqmi,36,1979,2014,0.014285714285714285,0.9132205246205957,0.00023212194685705886,0.5359114299489542,No significant trend,False
02462951,peak_cfs_per_sqmi,36,1979,2014,0.049206349206349205,0.6826743404843809,0.00149431919551238,3.5006773393657875,No significant trend,False
02464000,peak_cfs_per_sqmi,47,1979,2025,-0.008325624421831638,0.9415118504960818,-8.97303925375681e-05,-0.20639856885642516,No significant trend,True
02464146,peak_cfs_per_sqmi,35,1981,2017,0.16806722689075632,0.15969931055103026,0.009352781132208323,24.0303049022623,No significant trend,False
02464360,peak_cfs_per_sqmi,31,1987,2017,-0.04086021505376344,0.7595864320171434,-0.0020473492908947657,-4.604803463664919,No significant trend,False
02465000,peak_cfs_per_sqmi,44,1979,2022,0.07716701902748414,0.4664519115235818,0.0018290615598056696,4.3015147389488195,No significant trend,False
02465292,peak_cfs_per_sqmi,22,2003,2024,-0.21645021645021645,0.1668955057847059,-0.007594213722272869,-16.042816144421902,No significant trend,False
02465493,peak_cfs_per_sqmi,46,1979,2024,0.025120772946859903,0.81287835839182,0.0007825337511956576,1.81818181818183,No significant trend,True
02466030,peak_cfs_per_sqmi,41,1979,2024,0.12439024390243902,0.2564759600619676,0.002397321860087744,5.675234103852178,No significant trend,True
02467000,peak_cfs_per_sqmi,39,1979,2017,-0.014844804318488529,0.903701782634892,-0.000339031073175836,-0.7776087529506204,No significant trend,False
02467500,peak_cfs_per_sqmi,46,1979,2024,-0.010628019323671498,0.924561055528914,-0.00044181751530905953,-1.0121652033354689,No significant trend,True
02469761,peak_cfs_per_sqmi,45,1979,2023,-0.03333333333333333,0.754197739350999,-0.00048082635102038003,-1.1010373094212267,No significant trend,True
02469800,peak_cfs_per_sqmi,47,1979,2025,0.11193339500462535,0.27109387628752346,0.003994810492287056,9.63471826871405,No significant trend,True
02470072,peak_cfs_per_sqmi,30,1996,2025,0.14022988505747128,0.2842581285682553,0.006845383135322113,17.072213946778646,No significant trend,False
02471001,peak_cfs_per_sqmi,46,1979,2025,-0.10531400966183575,0.30647237791229587,-0.003207002214574732,-7.11833802072025,No significant trend,True
02471078,peak_cfs_per_sqmi,31,1995,2025,-0.0989247311827957,0.44430175934250604,-0.004879764618086924,-10.62781953079661,No significant trend,False
02478500,peak_cfs_per_sqmi,46,1979,2024,0.050241545893719805,0.6290968453606114,0.0012533602770612355,2.9280162853278835,No significant trend,True
02479431,peak_cfs_per_sqmi,21,1979,1999,-0.11428571428571428,0.4873503903353207,-0.009090802064477578,-18.88671702775865,No significant trend,False
02479560,peak_cfs_per_sqmi,41,1979,2019,-0.08170731707317073,0.4584784151377349,-0.0017864247341191552,-4.029943019410864,No significant trend,False
02479945,peak_cfs_per_sqmi,35,1991,2025,0.03697478991596639,0.7655046156107895,0.0012357103791860835,2.8861944351566082,No significant trend,False
02479980,peak_cfs_per_sqmi,35,1991,2025,-0.226890756302521,0.05699152546399303,-0.01020599913279624,-20.943058495790524,No significant trend,False
02480002,peak_cfs_per_sqmi,35,1991,2025,-0.2605042016806723,0.028741024894388466,-0.011104596250267126,-22.562016114557082,Significant decrease,False
03572110,peak_cfs_per_sqmi,22,1979,2025,0.008658008658008658,0.9774953419665812,0.00034104341252397843,0.7883728995606631,No significant trend,False
03574500,peak_cfs_per_sqmi,47,1979,2025,-0.20351526364477335,0.04454554452363632,-0.004980683750290815,-10.835256926772486,Significant decrease,True
0357479650,peak_cfs_per_sqmi,24,1999,2025,-0.10144927536231885,0.5030370130775135,-0.0035952252923683904,-7.944922688745326,No significant trend,False
03575100,peak_cfs_per_sqmi,27,1999,2025,-0.05128205128205128,0.7229833081443058,-0.002480660201652444,-5.5518625328502935,No significant trend,False
0357526200,peak_cfs_per_sqmi,28,1997,2025,0.021164021164021163,0.8899640895977055,0.000549937518335367,1.2743291786296185,No significant trend,False
03575500,peak_cfs_per_sqmi,28,1979,2011,0.17195767195767195,0.20581462701847497,0.004111278391070287,9.929128232348127,No significant trend,False
0357568650,peak_cfs_per_sqmi,29,1996,2024,-0.09852216748768473,0.46443447665483895,-0.00462017020955831,-10.092008074702829,No significant trend,False
0357568980,peak_cfs_per_sqmi,30,1988,2025,-0.07126436781609195,0.5924901808547871,-0.0033057863762231293,-7.329365571191659,No significant trend,False
03575700,peak_cfs_per_sqmi,39,1985,2025,0.03643724696356275,0.7531271266832608,0.001690031690105505,3.9681501574151845,No significant trend,False
03575830,peak_cfs_per_sqmi,47,1979,2025,0.31267345050878814,0.0019977084751260916,0.010833506872499584,28.332031355032818,Significant increase,True
0357586650,peak_cfs_per_sqmi,28,1997,2024,0.037037037037037035,0.7973063403989813,0.0027810067035638425,6.612976146805227,No significant trend,False
0357587090,peak_cfs_per_sqmi,29,1997,2025,0.24630541871921183,0.063087449939294,0.007954550058470164,20.10068946764376,No significant trend,False
0357587140,peak_cfs_per_sqmi,27,1997,2025,0.3475783475783476,0.011635032422326587,0.015540929830257367,43.0241246063912,Significant increase,False
0357587400,peak_cfs_per_sqmi,29,1997,2025,-0.024630541871921183,0.8659362154363435,-0.0007007147077002572,-1.600508773330167,No significant trend,False
0357587728,peak_cfs_per_sqmi,39,1985,2025,0.31713900134952766,0.00463907552382548,0.006100789142085995,15.082129994626037,Significant increase,False
03575890,peak_cfs_per_sqmi,41,1985,2025,0.16951219512195123,0.12111625813655642,0.003293588761404353,7.878745531314513,No significant trend,False
0357591500,peak_cfs_per_sqmi,28,1997,2024,0.20105820105820105,0.1382557932775679,0.004726039186740322,11.496283643266114,No significant trend,False
03575950,peak_cfs_per_sqmi,32,1992,2025,0.3689516129032258,0.00315945273288961,0.012135687271495499,32.23818283932265,Significant increase,False
03575980,peak_cfs_per_sqmi,41,1985,2025,0.15609756097560976,0.15361557467313086,0.0035996783408504874,8.641757706196195,No significant trend,False
03576250,peak_cfs_per_sqmi,38,1979,2025,-0.05832147937411095,0.6149954250887406,-0.0016434277689917713,-3.7134286416561024,No significant trend,True
03576500,peak_cfs_per_sqmi,20,1992,2024,-0.13157894736842105,0.43593673290265056,-0.007175379544220423,-15.229215058648581,No significant trend,False
03584600,peak_cfs_per_sqmi,39,1979,2025,0.021592442645074223,0.8560015309550131,0.0007849426840183375,1.8238295980373298,No significant trend,True
03586500,peak_cfs_per_sqmi,41,1979,2025,-0.16219512195121952,0.1381516462628412,-0.0033784517693381303,-7.484290810630656,No significant trend,True
03588500,peak_cfs_per_sqmi,41,1979,2025,-0.0012195121951219512,1.0,-3.1835185834380574e-05,-0.07327636408499538,No significant trend,True
03589500,peak_cfs_per_sqmi,29,1979,2013,0.15763546798029557,0.2373017786499999,0.0031060917968323675,7.414007011955648,No significant trend,False
