site_no,navigation_mode,distance_km,status,reach_count
02407900,DM,12,success,4
02407950,UM,12,success,9
02407950,DM,12,success,12
02408150,UM,12,success,8
02408150,DM,12,success,3
02408500,UM,12,success,7
02408500,DM,12,success,11
02408540,UM,12,success,11
02408540,DM,12,success,6
02409000,UM,12,success,8
02409000,DM,12,success,3
02409400,UM,12,success,7
02409400,DM,12,success,9
02410000,UM,12,success,2
02410000,DM,12,success,7
02411000,UM,12,success,10
02411000,DM,12,success,11
02411602,UM,12,success,1
02411602,DM,12,success,10
02412000,UM,12,success,4
02412000,DM,12,success,4
02412065,UM,12,success,5
02412065,DM,12,success,6
02412500,UM,12,success,5
02412500,DM,12,success,4
02413300,UM,12,success,5
02413300,DM,12,success,2
02413400,UM,12,success,2
02413400,DM,12,success,3
02413475,UM,12,success,8
02413475,DM,12,success,5
02413500,UM,12,success,6
02413500,DM,12,success,4
02414500,UM,12,success,8
02414500,DM,12,success,7
02414715,UM,12,success,14
02414715,DM,12,success,24
02414765,UM,12,success,7
02414765,DM,12,success,5
02414800,UM,12,success,4
02414800,DM,12,success,5
02415000,UM,12,success,7
02415000,DM,12,success,7
02416000,UM,12,success,9
02416000,DM,12,success,3
02416481,UM,12,success,2
02416481,DM,12,success,6
02418230,UM,12,success,9
02418230,DM,12,success,9
02418500,UM,12,success,10
02418500,DM,12,success,7
02418760,UM,12,success,12
02418760,DM,12,success,15
02418764,UM,12,success,2
02418764,DM,12,success,7
02418770,UM,12,success,2
02418770,DM,12,success,6
02419000,UM,12,success,9
02419000,DM,12,success,8
02419625,UM,12,success,7
02419625,DM,12,success,7
02419845,UM,12,success,5
02419845,DM,12,success,11
02419875,UM,12,success,4
02419875,DM,12,success,13
02419890,UM,12,success,8
02419890,DM,12,success,7
02419974,UM,12,success,2
02419974,DM,12,success,3
02419976,UM,12,success,3
02419976,DM,12,success,3
02420000,UM,12,success,10
02420000,DM,12,success,6
02420980,UM,12,success,3
02420980,DM,12,success,7
02421000,UM,12,success,9
02421000,DM,12,success,14
02421105,UM,12,success,1
02421105,DM,12,success,10
02421256,UM,12,success,11
02421256,DM,12,success,16
02421300,UM,12,success,8
02421300,DM,12,success,12
02422000,UM,12,success,7
02422000,DM,12,success,6
02422500,UM,12,success,15
02422500,DM,12,success,8
02423000,UM,12,success,9
02423000,DM,12,success,5
02423110,UM,12,success,2
02423110,DM,12,success,9
02423130,UM,12,success,5
02423130,DM,12,success,7
02423160,UM,12,success,8
02423160,DM,12,success,5
02423380,UM,12,success,8
02423380,DM,12,success,5
02423397,UM,12,success,2
02423397,DM,12,success,8
02423398,UM,12,success,3
02423398,DM,12,success,7
02423400,UM,12,success,6
02423400,DM,12,success,8
02423410,UM,12,success,9
02423410,DM,12,success,6
02423414,UM,12,success,5
02423414,DM,12,success,6
02423425,UM,12,success,5
02423425,DM,12,success,7
02423496,UM,12,success,7
02423496,DM,12,success,6
02423500,UM,12,success,7
02423500,DM,12,success,6
0242354750,UM,12,success,7
0242354750,DM,12,success,5
02423555,UM,12,success,5
02423555,DM,12,success,4
02423586,UM,12,success,3
02423586,DM,12,success,3
02423630,UM,12,success,18
02423630,DM,12,success,17
02423647,UM,12,success,25
02423647,DM,12,success,25
02423800,UM,12,success,5
02423800,DM,12,success,13
02424000,UM,12,success,9
02424000,DM,12,success,6
02424010,UM,12,success,1
02424010,DM,12,success,11
02424500,UM,12,success,11
02424500,DM,12,success,11
02424590,UM,12,success,6
02424590,DM,12,success,8
02424940,UM,12,success,10
02424940,DM,12,success,8
02425000,UM,12,success,6
02425000,DM,12,success,5
02425200,UM,12,success,4
02425200,DM,12,success,5
02425500,UM,12,success,9
02425500,DM,12,success,10
02425655,UM,12,success,14
02425655,DM,12,success,7
02426000,UM,12,success,11
02426000,DM,12,success,9
02427250,UM,12,success,7
02427250,DM,12,success,16
02427300,UM,12,success,7
02427300,DM,12,success,11
02427500,UM,12,success,5
02427500,DM,12,success,7
02427700,UM,12,success,4
02427700,DM,12,success,6
02427875,UM,12,success,5
02427875,DM,12,success,8
02428300,UM,12,success,8
02428300,DM,12,success,5
02428400,UM,12,success,8
02428400,DM,12,success,7
02428500,UM,12,success,7
02428500,DM,12,success,5
02429000,UM,12,success,12
02429000,DM,12,success,6
02429500,UM,12,success,7
02429500,DM,12,success,5
02429595,UM,12,success,12
02429595,DM,12,success,9
02429650,UM,12,success,9
02429650,DM,12,success,13
02432500,UM,12,success,9
02432500,DM,12,success,15
02437800,UM,12,success,5
02437800,DM,12,success,9
02437900,UM,12,success,7
02437900,DM,12,success,9
02438000,UM,12,success,11
02438000,DM,12,success,14
02439000,UM,12,success,7
02439000,DM,12,success,7
02442000,UM,12,success,11
02442000,DM,12,success,12
02442500,UM,12,success,15
02442500,DM,12,success,12
02443000,UM,12,success,8
02443000,DM,12,success,8
02443230,UM,12,success,12
02443230,DM,12,success,12
02443730,UM,12,success,1
02443730,DM,12,success,8
02444000,UM,12,success,7
02444000,DM,12,success,10
02444160,UM,12,success,7
02444160,DM,12,success,10
02444500,UM,12,success,5
02444500,DM,12,success,2
02445000,UM,12,success,15
02445000,DM,12,success,11
02445245,UM,12,success,3
02445245,DM,12,success,5
02445500,UM,12,success,4
02445500,DM,12,success,6
02446000,UM,12,success,5
02446000,DM,12,success,11
02446500,UM,12,success,8
02446500,DM,12,success,10
02447000,UM,12,success,5
02447000,DM,12,success,8
02447025,UM,12,success,5
02447025,DM,12,success,8
02448500,UM,12,success,7
02448500,DM,12,success,7
02448900,UM,12,success,11
02448900,DM,12,success,9
02449000,UM,12,success,7
02449000,DM,12,success,6
02449245,UM,12,success,9
02449245,DM,12,success,7
02449400,UM,12,success,8
02449400,DM,12,success,8
