monitoring_location_id,site_no,site_name,site_type_code,huc12,hydrologic_unit_code,drainage_area_sqmi,contributing_drainage_area_sqmi,water_year,peak_time,peak_cfs,peak_cfs_per_sqmi,unit_of_measure,qualifier,qualifier_text,has_qualifier,peak_since,duplicate_count,descending_rank,empirical_aep,empirical_return_period_years,empirical_flood_class,lp3_return_period_years,lp3_flood_class,primary_screening_return_period_years,primary_flood_class
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1945.0,1945-04-25 00:00:00+00:00,13300.0,57.081545064377686,ft3/s,,,False,,1.0,10,0.2777777777777778,3.5999999999999996,2–5-year,3.812394649808788,2–5-year,3.812394649808788,2–5-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1946.0,1946-01-06 00:00:00+00:00,22800.0,97.85407725321889,ft3/s,,,False,,1.0,2,0.05555555555555555,18.0,10–25-year,11.732678553792434,10–25-year,11.732678553792434,10–25-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1947.0,1947-01-20 00:00:00+00:00,11000.0,47.21030042918455,ft3/s,,,False,,1.0,14,0.3888888888888889,2.571428571428571,2–5-year,2.774695428760602,2–5-year,2.774695428760602,2–5-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1948.0,1948-03-23 00:00:00+00:00,7500.0,32.18884120171674,ft3/s,,,False,,1.0,23,0.6388888888888888,1.565217391304348,<2-year,1.6759661332258118,<2-year,1.6759661332258118,<2-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1949.0,1948-11-27 00:00:00+00:00,11800.0,50.64377682403433,ft3/s,,,False,,1.0,12,0.3333333333333333,3.0,2–5-year,3.1047915343804435,2–5-year,3.1047915343804435,2–5-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1950.0,1950-05-03 00:00:00+00:00,4320.0,18.540772532188843,ft3/s,,,False,,1.0,33,0.9166666666666666,1.090909090909091,<2-year,1.1220902741237915,<2-year,1.1220902741237915,<2-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1951.0,1951-03-29 00:00:00+00:00,15800.0,67.81115879828326,ft3/s,,,False,,1.0,7,0.19444444444444445,5.142857142857142,5–10-year,5.275754064803098,5–10-year,5.275754064803098,5–10-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1952.0,1951-12-21 00:00:00+00:00,9200.0,39.48497854077253,ft3/s,,,False,,1.0,18,0.5,2.0,2–5-year,2.1426961657456065,2–5-year,2.1426961657456065,2–5-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1953.0,1953-04-30 00:00:00+00:00,5750.0,24.678111587982833,ft3/s,,,False,,1.0,26,0.7222222222222222,1.3846153846153846,<2-year,1.3192434932040102,<2-year,1.3192434932040102,<2-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1954.0,1954-04-16 00:00:00+00:00,2450.0,10.515021459227468,ft3/s,,,False,,1.0,35,0.9722222222222222,1.0285714285714287,<2-year,1.0066820012788567,<2-year,1.0066820012788567,<2-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1955.0,1955-04-13 00:00:00+00:00,9700.0,41.63090128755365,ft3/s,,,False,,1.0,16,0.4444444444444444,2.25,2–5-year,2.3034934695694584,2–5-year,2.3034934695694584,2–5-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1956.0,1956-03-16 00:00:00+00:00,13300.0,57.081545064377686,ft3/s,,,False,,1.0,11,0.3055555555555556,3.2727272727272725,2–5-year,3.812394649808788,2–5-year,3.812394649808788,2–5-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1957.0,1957-04-05 00:00:00+00:00,16000.0,68.6695278969957,ft3/s,,,False,,1.0,6,0.16666666666666666,6.0,5–10-year,5.409522680257063,5–10-year,5.409522680257063,5–10-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1958.0,1958-02-06 00:00:00+00:00,4550.0,19.527896995708154,ft3/s,,,False,,1.0,31,0.8611111111111112,1.161290322580645,<2-year,1.1477476168335792,<2-year,1.1477476168335792,<2-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1959.0,1959-01-22 00:00:00+00:00,4550.0,19.527896995708154,ft3/s,,,False,,1.0,30,0.8333333333333334,1.2,<2-year,1.1477476168335792,<2-year,1.1477476168335792,<2-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1960.0,1960-03-30 00:00:00+00:00,4650.0,19.957081545064376,ft3/s,,,False,,1.0,29,0.8055555555555556,1.2413793103448276,<2-year,1.1596505222029123,<2-year,1.1596505222029123,<2-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1961.0,1961-03-31 00:00:00+00:00,8800.0,37.76824034334764,ft3/s,,,False,,1.0,20,0.5555555555555556,1.7999999999999998,<2-year,2.0219109813601315,2–5-year,2.0219109813601315,2–5-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1962.0,1961-12-18 00:00:00+00:00,11300.0,48.497854077253216,ft3/s,,,False,,1.0,13,0.3611111111111111,2.769230769230769,2–5-year,2.8947829784999337,2–5-year,2.8947829784999337,2–5-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1963.0,1963-03-13 00:00:00+00:00,7500.0,32.18884120171674,ft3/s,,,False,,1.0,22,0.6111111111111112,1.6363636363636362,<2-year,1.6759661332258118,<2-year,1.6759661332258118,<2-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1964.0,1964-04-06 00:00:00+00:00,18200.0,78.11158798283262,ft3/s,,,False,,1.0,5,0.1388888888888889,7.199999999999999,5–10-year,7.0609042751836375,5–10-year,7.0609042751836375,5–10-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1965.0,1965-01-23 00:00:00+00:00,3860.0,16.566523605150216,ft3/s,,,False,,1.0,34,0.9444444444444444,1.0588235294117647,<2-year,1.078155853793192,<2-year,1.078155853793192,<2-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1966.0,1966-02-13 00:00:00+00:00,7880.0,33.81974248927039,ft3/s,,,False,,1.0,21,0.5833333333333334,1.7142857142857142,<2-year,1.769844359620459,<2-year,1.769844359620459,<2-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1967.0,1966-10-18 00:00:00+00:00,4430.0,19.012875536480685,ft3/s,,,False,,1.0,32,0.8888888888888888,1.125,<2-year,1.1340599779291458,<2-year,1.1340599779291458,<2-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1968.0,1968-04-05 00:00:00+00:00,9210.0,39.527896995708154,ft3/s,,,False,,1.0,17,0.4722222222222222,2.1176470588235294,2–5-year,2.1458044824613953,2–5-year,2.1458044824613953,2–5-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1970.0,1970-03-20 00:00:00+00:00,9140.0,39.227467811158796,ft3/s,,,False,,1.0,19,0.5277777777777778,1.894736842105263,<2-year,2.1241376286011904,2–5-year,2.1241376286011904,2–5-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1971.0,1971-03-03 00:00:00+00:00,10400.0,44.63519313304721,ft3/s,,,False,,1.0,15,0.4166666666666667,2.4,2–5-year,2.547463206595269,2–5-year,2.547463206595269,2–5-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1972.0,1972-01-11 00:00:00+00:00,18800.0,80.68669527896996,ft3/s,,,False,,1.0,4,0.1111111111111111,9.0,5–10-year,7.571938354496208,5–10-year,7.571938354496208,5–10-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1973.0,1973-05-08 00:00:00+00:00,14500.0,62.23175965665236,ft3/s,,,False,,1.0,9,0.25,4.0,2–5-year,4.468013498578709,2–5-year,4.468013498578709,2–5-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1974.0,1974-02-15 00:00:00+00:00,6010.0,25.793991416309012,ft3/s,,,False,,1.0,25,0.6944444444444444,1.44,<2-year,1.3643822383946236,<2-year,1.3643822383946236,<2-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1975.0,1975-04-03 00:00:00+00:00,7020.0,30.128755364806867,ft3/s,,,False,,1.0,24,0.6666666666666666,1.5,<2-year,1.5657874266776672,<2-year,1.5657874266776672,<2-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1976.0,1976-01-26 00:00:00+00:00,20500.0,87.98283261802575,ft3/s,,,False,,1.0,3,0.08333333333333333,12.0,10–25-year,9.173405793267621,5–10-year,9.173405793267621,5–10-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1977.0,1977-03-30 00:00:00+00:00,15600.0,66.95278969957081,ft3/s,,,False,,1.0,8,0.2222222222222222,4.5,2–5-year,5.144574869890721,5–10-year,5.144574869890721,5–10-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1978.0,1978-01-25 00:00:00+00:00,5580.0,23.948497854077253,ft3/s,,,False,,1.0,27,0.75,1.3333333333333333,<2-year,1.2912353324729682,<2-year,1.2912353324729682,<2-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,1979.0,1979-04-13 00:00:00+00:00,60000.0,257.51072961373393,ft3/s,2,2,True,,1.0,1,0.027777777777777776,36.0,25–50-year,174.1458009161047,100–200-year,174.1458009161047,100–200-year
USGS-02408500,02408500,,ST,031501070708,03150107,233.0,233.0,,,4750.0,20.386266094420602,ft3/s,Bd,Bd,True,,,28,0.7777777777777778,1.2857142857142856,<2-year,1.1720001559548319,<2-year,1.1720001559548319,<2-year
