monitoring_location_id,site_no,site_name,site_type_code,huc12,hydrologic_unit_code,drainage_area_sqmi,contributing_drainage_area_sqmi,water_year,peak_time,peak_cfs,peak_cfs_per_sqmi,unit_of_measure,qualifier,qualifier_text,has_qualifier,peak_since,duplicate_count,descending_rank,empirical_aep,empirical_return_period_years,empirical_flood_class,lp3_return_period_years,lp3_flood_class,primary_screening_return_period_years,primary_flood_class
USGS-02398195,02398195,,ST,031501050501,03150105,9.53,,1979.0,1979-03-04 00:00:00+00:00,1270.0,133.26337880377756,ft3/s,,,False,,1.0,2,0.25,4.0,2–5-year,,Insufficient record,4.0,2–5-year
USGS-02398195,02398195,,ST,031501050501,03150105,9.53,,1980.0,1980-03-21 00:00:00+00:00,1080.0,113.32633788037776,ft3/s,,,False,,1.0,3,0.375,2.6666666666666665,2–5-year,,Insufficient record,2.6666666666666665,2–5-year
USGS-02398195,02398195,,ST,031501050501,03150105,9.53,,1981.0,1981-08-30 00:00:00+00:00,365.0,38.30010493179434,ft3/s,,,False,,1.0,7,0.875,1.1428571428571428,<2-year,,Insufficient record,1.1428571428571428,<2-year
USGS-02398195,02398195,,ST,031501050501,03150105,9.53,,1982.0,1982-01-03 00:00:00+00:00,824.0,86.46379853095489,ft3/s,,,False,,1.0,5,0.625,1.6,<2-year,,Insufficient record,1.6,<2-year
USGS-02398195,02398195,,ST,031501050501,03150105,9.53,,1983.0,1982-12-02 00:00:00+00:00,947.0,99.3704092339979,ft3/s,,,False,,1.0,4,0.5,2.0,2–5-year,,Insufficient record,2.0,2–5-year
USGS-02398195,02398195,,ST,031501050501,03150105,9.53,,1984.0,1983-11-28 00:00:00+00:00,639.0,67.05141657922351,ft3/s,,,False,,1.0,6,0.75,1.3333333333333333,<2-year,,Insufficient record,1.3333333333333333,<2-year
USGS-02398195,02398195,,ST,031501050501,03150105,9.53,,1985.0,1985-07-24 00:00:00+00:00,4000.0,419.72717733473246,ft3/s,,,False,,1.0,1,0.125,8.0,5–10-year,,Insufficient record,8.0,5–10-year
