monitoring_location_id,site_no,site_name,site_type_code,huc12,hydrologic_unit_code,drainage_area_sqmi,contributing_drainage_area_sqmi,water_year,peak_time,peak_cfs,peak_cfs_per_sqmi,unit_of_measure,qualifier,qualifier_text,has_qualifier,peak_since,duplicate_count,descending_rank,empirical_aep,empirical_return_period_years,empirical_flood_class,lp3_return_period_years,lp3_flood_class,primary_screening_return_period_years,primary_flood_class
USGS-02378300,02378300,,ST,031602050203,03160205,16.6,16.6,2000.0,2000-03-30 00:00:00+00:00,388.0,23.373493975903614,ft3/s,,,False,,1.0,26,0.9629629629629629,1.0384615384615385,<2-year,1.072727907325926,<2-year,1.072727907325926,<2-year
USGS-02378300,02378300,,ST,031602050203,03160205,16.6,16.6,2001.0,2001-07-31 00:00:00+00:00,600.0,36.14457831325301,ft3/s,,,False,,1.0,22,0.8148148148148148,1.2272727272727273,<2-year,1.2056327524685775,<2-year,1.2056327524685775,<2-year
USGS-02378300,02378300,,ST,031602050203,03160205,16.6,16.6,2002.0,2002-09-26 00:00:00+00:00,3010.0,181.32530120481925,ft3/s,,,False,,1.0,8,0.2962962962962963,3.375,2–5-year,3.6096832863041888,2–5-year,3.6096832863041888,2–5-year
USGS-02378300,02378300,,ST,031602050203,03160205,16.6,16.6,2003.0,2003-07-01 00:00:00+00:00,5300.0,319.2771084337349,ft3/s,,,False,,1.0,5,0.18518518518518517,5.4,5–10-year,6.6062334566225545,5–10-year,6.6062334566225545,5–10-year
USGS-02378300,02378300,,ST,031602050203,03160205,16.6,16.6,2004.0,2004-09-16 00:00:00+00:00,4540.0,273.49397590361446,ft3/s,,,False,,1.0,6,0.2222222222222222,4.5,2–5-year,5.546592504615341,5–10-year,5.546592504615341,5–10-year
USGS-02378300,02378300,,ST,031602050203,03160205,16.6,16.6,2005.0,2005-04-06 00:00:00+00:00,9300.0,560.2409638554217,ft3/s,,,False,,1.0,3,0.1111111111111111,9.0,5–10-year,13.158191232880304,10–25-year,13.158191232880304,10–25-year
USGS-02378300,02378300,,ST,031602050203,03160205,16.6,16.6,2006.0,2006-05-11 00:00:00+00:00,622.0,37.46987951807228,ft3/s,,,False,,1.0,21,0.7777777777777778,1.2857142857142856,<2-year,1.221398005783102,<2-year,1.221398005783102,<2-year
USGS-02378300,02378300,,ST,031602050203,03160205,16.6,16.6,2007.0,2007-07-24 00:00:00+00:00,423.0,25.481927710843372,ft3/s,,,False,,1.0,24,0.8888888888888888,1.125,<2-year,1.0916543001487657,<2-year,1.0916543001487657,<2-year
USGS-02378300,02378300,,ST,031602050203,03160205,16.6,16.6,2008.0,2007-10-19 00:00:00+00:00,1260.0,75.90361445783132,ft3/s,,,False,,1.0,14,0.5185185185185185,1.9285714285714286,<2-year,1.7574332037894551,<2-year,1.7574332037894551,<2-year
USGS-02378300,02378300,,ST,031602050203,03160205,16.6,16.6,2009.0,2009-03-28 00:00:00+00:00,2800.0,168.67469879518072,ft3/s,,,False,,1.0,9,0.3333333333333333,3.0,2–5-year,3.3654744769641263,2–5-year,3.3654744769641263,2–5-year
