monitoring_location_id,site_no,site_name,site_type_code,huc12,hydrologic_unit_code,drainage_area_sqmi,contributing_drainage_area_sqmi,water_year,peak_time,peak_cfs,peak_cfs_per_sqmi,unit_of_measure,qualifier,qualifier_text,has_qualifier,peak_since,duplicate_count,descending_rank,empirical_aep,empirical_return_period_years,empirical_flood_class,lp3_return_period_years,lp3_flood_class,primary_screening_return_period_years,primary_flood_class
USGS-0357568820,0357568820,,ST,060300020903,06030002,1.14,1.14,1997.0,1996-12-01 00:00:00+00:00,440.0,385.9649122807018,ft3/s,,,False,,1.0,3,0.3,3.3333333333333335,2–5-year,,Insufficient record,3.3333333333333335,2–5-year
USGS-0357568820,0357568820,,ST,060300020903,06030002,1.14,1.14,1998.0,1998-01-07 00:00:00+00:00,220.0,192.9824561403509,ft3/s,,,False,,1.0,7,0.7,1.4285714285714286,<2-year,,Insufficient record,1.4285714285714286,<2-year
USGS-0357568820,0357568820,,ST,060300020903,06030002,1.14,1.14,1999.0,1999-06-28 00:00:00+00:00,2050.0,1798.2456140350878,ft3/s,,,False,,1.0,1,0.1,10.0,10–25-year,,Insufficient record,10.0,10–25-year
USGS-0357568820,0357568820,,ST,060300020903,06030002,1.14,1.14,2000.0,2000-04-03 00:00:00+00:00,195.0,171.05263157894737,ft3/s,,,False,,1.0,8,0.8,1.25,<2-year,,Insufficient record,1.25,<2-year
USGS-0357568820,0357568820,,ST,060300020903,06030002,1.14,1.14,2001.0,2001-01-19 00:00:00+00:00,227.0,199.12280701754386,ft3/s,,,False,,1.0,6,0.6,1.6666666666666667,<2-year,,Insufficient record,1.6666666666666667,<2-year
USGS-0357568820,0357568820,,ST,060300020903,06030002,1.14,1.14,2002.0,2002-05-04 00:00:00+00:00,320.0,280.70175438596493,ft3/s,,,False,,1.0,4,0.4,2.5,2–5-year,,Insufficient record,2.5,2–5-year
USGS-0357568820,0357568820,,ST,060300020903,06030002,1.14,1.14,2003.0,2003-05-06 00:00:00+00:00,700.0,614.0350877192983,ft3/s,,,False,,1.0,2,0.2,5.0,5–10-year,,Insufficient record,5.0,5–10-year
USGS-0357568820,0357568820,,ST,060300020903,06030002,1.14,1.14,2004.0,2004-03-05 00:00:00+00:00,255.0,223.6842105263158,ft3/s,,,False,,1.0,5,0.5,2.0,2–5-year,,Insufficient record,2.0,2–5-year
USGS-0357568820,0357568820,,ST,060300020903,06030002,1.14,1.14,2005.0,2004-12-09 00:00:00+00:00,120.0,105.26315789473685,ft3/s,,,False,,1.0,9,0.9,1.1111111111111112,<2-year,,Insufficient record,1.1111111111111112,<2-year
