monitoring_location_id,site_no,site_name,site_type_code,huc12,hydrologic_unit_code,drainage_area_sqmi,contributing_drainage_area_sqmi,water_year,peak_time,peak_cfs,peak_cfs_per_sqmi,unit_of_measure,qualifier,qualifier_text,has_qualifier,peak_since,duplicate_count,descending_rank,empirical_aep,empirical_return_period_years,empirical_flood_class,lp3_return_period_years,lp3_flood_class,primary_screening_return_period_years,primary_flood_class
USGS-02427020,02427020,,ST,031502030110,03150203,329.0,329.0,2023.0,2023-03-28 04:45:00+00:00,9360.0,28.44984802431611,ft3/s,,,False,,1.0,3,0.75,1.3333333333333333,<2-year,,Insufficient record,1.3333333333333333,<2-year
USGS-02427020,02427020,,ST,031502030110,03150203,329.0,329.0,2024.0,2024-01-10 01:15:00+00:00,9510.0,28.90577507598784,ft3/s,,,False,,1.0,2,0.5,2.0,2–5-year,,Insufficient record,2.0,2–5-year
USGS-02427020,02427020,,ST,031502030110,03150203,329.0,329.0,2025.0,2025-02-13 14:30:00+00:00,9830.0,29.878419452887538,ft3/s,,,False,,1.0,1,0.25,4.0,2–5-year,,Insufficient record,4.0,2–5-year
