monitoring_location_id,site_no,site_name,site_type_code,huc12,hydrologic_unit_code,drainage_area_sqmi,contributing_drainage_area_sqmi,water_year,peak_time,peak_cfs,peak_cfs_per_sqmi,unit_of_measure,qualifier,qualifier_text,has_qualifier,peak_since,duplicate_count,descending_rank,empirical_aep,empirical_return_period_years,empirical_flood_class,lp3_return_period_years,lp3_flood_class,primary_screening_return_period_years,primary_flood_class
USGS-02363225,02363225,,ST,031402020401,03140301,1.2,1.2,2012.0,2012-03-23 00:00:00+00:00,432.0,360.0,ft3/s,C,C,True,,1.0,5,0.45454545454545453,2.2,2–5-year,,Insufficient record,2.2,2–5-year
USGS-02363225,02363225,,ST,031402020401,03140301,1.2,1.2,2013.0,2013-02-10 00:00:00+00:00,295.0,245.83333333333334,ft3/s,C,C,True,,1.0,9,0.8181818181818182,1.222222222222222,<2-year,,Insufficient record,1.222222222222222,<2-year
USGS-02363225,02363225,,ST,031402020401,03140301,1.2,1.2,2014.0,2014-03-16 00:00:00+00:00,343.0,285.83333333333337,ft3/s,C,C,True,,1.0,8,0.7272727272727273,1.375,<2-year,,Insufficient record,1.375,<2-year
USGS-02363225,02363225,,ST,031402020401,03140301,1.2,1.2,2015.0,2015-07-09 00:00:00+00:00,360.0,300.0,ft3/s,C,C,True,,1.0,7,0.6363636363636364,1.5714285714285714,<2-year,,Insufficient record,1.5714285714285714,<2-year
USGS-02363225,02363225,,ST,031402020401,03140301,1.2,1.2,2016.0,2015-12-19 00:00:00+00:00,815.0,679.1666666666667,ft3/s,C,C,True,,1.0,3,0.2727272727272727,3.666666666666667,2–5-year,,Insufficient record,3.666666666666667,2–5-year
USGS-02363225,02363225,,ST,031402020401,03140301,1.2,1.2,2018.0,2017-10-08 12:00:00+00:00,576.0,480.0,ft3/s,C,C,True,,1.0,4,0.36363636363636365,2.75,2–5-year,,Insufficient record,2.75,2–5-year
USGS-02363225,02363225,,ST,031402020401,03140301,1.2,1.2,2019.0,2018-10-16 12:00:00+00:00,281.0,234.16666666666669,ft3/s,C,C,True,,1.0,10,0.9090909090909091,1.1,<2-year,,Insufficient record,1.1,<2-year
USGS-02363225,02363225,,ST,031402020401,03140301,1.2,1.2,2020.0,2020-09-16 12:00:00+00:00,835.0,695.8333333333334,ft3/s,C,C,True,,1.0,2,0.18181818181818182,5.5,5–10-year,,Insufficient record,5.5,5–10-year
USGS-02363225,02363225,,ST,031402020401,03140301,1.2,1.2,2021.0,2021-03-26 12:00:00+00:00,410.0,341.6666666666667,ft3/s,C,C,True,,1.0,6,0.5454545454545454,1.8333333333333335,<2-year,,Insufficient record,1.8333333333333335,<2-year
USGS-02363225,02363225,,ST,031402020401,03140301,1.2,1.2,,,885.0,737.5,ft3/s,"Bd,C","Bd,C",True,,,1,0.09090909090909091,11.0,10–25-year,,Insufficient record,11.0,10–25-year
