monitoring_location_id,site_no,site_name,site_type_code,huc12,hydrologic_unit_code,drainage_area_sqmi,contributing_drainage_area_sqmi,water_year,peak_time,peak_cfs,peak_cfs_per_sqmi,unit_of_measure,qualifier,qualifier_text,has_qualifier,peak_since,duplicate_count,descending_rank,empirical_aep,empirical_return_period_years,empirical_flood_class,lp3_return_period_years,lp3_flood_class,primary_screening_return_period_years,primary_flood_class
USGS-02444160,02444160,,ST,031601060502,03160106,5750.0,,1981.0,1981-04-02 00:00:00+00:00,38500.0,6.695652173913044,ft3/s,1,1,True,,1.0,41,0.9111111111111111,1.0975609756097562,<2-year,1.0417181888031701,<2-year,1.0417181888031701,<2-year
USGS-02444160,02444160,,ST,031601060502,03160106,5750.0,,1982.0,1982-01-06 00:00:00+00:00,60800.0,10.57391304347826,ft3/s,1,1,True,,1.0,36,0.8,1.25,<2-year,1.3095843445498736,<2-year,1.3095843445498736,<2-year
USGS-02444160,02444160,,ST,031601060502,03160106,5750.0,,1983.0,1983-05-23 00:00:00+00:00,130000.0,22.608695652173914,ft3/s,1,1,True,,1.0,3,0.06666666666666667,15.0,10–25-year,12.235999443483168,10–25-year,12.235999443483168,10–25-year
USGS-02444160,02444160,,ST,031601060502,03160106,5750.0,,1984.0,1983-12-06 00:00:00+00:00,115000.0,20.0,ft3/s,1,1,True,,1.0,7,0.15555555555555556,6.428571428571429,5–10-year,6.364400562506021,5–10-year,6.364400562506021,5–10-year
USGS-02444160,02444160,,ST,031601060502,03160106,5750.0,,1985.0,1985-05-04 00:00:00+00:00,59400.0,10.330434782608696,ft3/s,2,2,True,,1.0,37,0.8222222222222222,1.2162162162162162,<2-year,1.2812106181014573,<2-year,1.2812106181014573,<2-year
USGS-02444160,02444160,,ST,031601060502,03160106,5750.0,,1986.0,1986-03-20 00:00:00+00:00,38200.0,6.643478260869565,ft3/s,2,2,True,,1.0,42,0.9333333333333333,1.0714285714285714,<2-year,1.040190344300449,<2-year,1.040190344300449,<2-year
USGS-02444160,02444160,,ST,031601060502,03160106,5750.0,,1987.0,1987-02-28 00:00:00+00:00,62800.0,10.921739130434782,ft3/s,2,2,True,,1.0,33,0.7333333333333333,1.3636363636363638,<2-year,1.353655089465981,<2-year,1.353655089465981,<2-year
USGS-02444160,02444160,,ST,031601060502,03160106,5750.0,,1988.0,1988-04-03 00:00:00+00:00,34100.0,5.930434782608696,ft3/s,2,2,True,,1.0,44,0.9777777777777777,1.0227272727272727,<2-year,1.0230626833930971,<2-year,1.0230626833930971,<2-year
USGS-02444160,02444160,,ST,031601060502,03160106,5750.0,,1989.0,1989-01-16 00:00:00+00:00,101000.0,17.565217391304348,ft3/s,,,False,,1.0,14,0.3111111111111111,3.2142857142857144,2–5-year,3.7342536147098526,2–5-year,3.7342536147098526,2–5-year
USGS-02444160,02444160,,ST,031601060502,03160106,5750.0,,1990.0,1990-02-04 00:00:00+00:00,61200.0,10.643478260869566,ft3/s,2,2,True,,1.0,34,0.7555555555555555,1.3235294117647058,<2-year,1.3180582048538094,<2-year,1.3180582048538094,<2-year
USGS-02444160,02444160,,ST,031601060502,03160106,5750.0,,1991.0,1991-02-23 00:00:00+00:00,178000.0,30.956521739130434,ft3/s,1,1,True,,1.0,1,0.022222222222222223,45.0,25–50-year,165.97315549337185,100–200-year,165.97315549337185,100–200-year
USGS-02444160,02444160,,ST,031601060502,03160106,5750.0,,1992.0,1991-12-06 00:00:00+00:00,112000.0,19.47826086956522,ft3/s,1,1,True,,1.0,8,0.17777777777777778,5.625,5–10-year,5.640628606356242,5–10-year,5.640628606356242,5–10-year
USGS-02444160,02444160,,ST,031601060502,03160106,5750.0,,1993.0,1993-05-04 00:00:00+00:00,37900.0,6.591304347826087,ft3/s,1,1,True,,1.0,43,0.9555555555555556,1.0465116279069766,<2-year,1.0387023207956247,<2-year,1.0387023207956247,<2-year
USGS-02444160,02444160,,ST,031601060502,03160106,5750.0,,1994.0,1994-02-14 00:00:00+00:00,104000.0,18.08695652173913,ft3/s,1,1,True,,1.0,11,0.24444444444444444,4.090909090909091,2–5-year,4.158741226390259,2–5-year,4.158741226390259,2–5-year
USGS-02444160,02444160,,ST,031601060502,03160106,5750.0,,1995.0,1995-04-25 00:00:00+00:00,104000.0,18.08695652173913,ft3/s,1,1,True,,1.0,12,0.26666666666666666,3.75,2–5-year,4.158741226390259,2–5-year,4.158741226390259,2–5-year
USGS-02444160,02444160,,ST,031601060502,03160106,5750.0,,1996.0,1996-04-22 00:00:00+00:00,73000.0,12.695652173913043,ft3/s,1,1,True,,1.0,27,0.6,1.6666666666666667,<2-year,1.6557774771001166,<2-year,1.6557774771001166,<2-year
USGS-02444160,02444160,,ST,031601060502,03160106,5750.0,,1997.0,1997-05-06 00:00:00+00:00,80900.0,14.069565217391304,ft3/s,2,2,True,,1.0,21,0.4666666666666667,2.142857142857143,2–5-year,2.0070236667188435,2–5-year,2.0070236667188435,2–5-year
USGS-02444160,02444160,,ST,031601060502,03160106,5750.0,,1998.0,1998-01-08 00:00:00+00:00,77100.0,13.408695652173913,ft3/s,2,2,True,,1.0,23,0.5111111111111111,1.956521739130435,<2-year,1.8226028082778754,<2-year,1.8226028082778754,<2-year
USGS-02444160,02444160,,ST,031601060502,03160106,5750.0,,1999.0,1999-01-24 00:00:00+00:00,92500.0,16.08695652173913,ft3/s,2,2,True,,1.0,19,0.4222222222222222,2.3684210526315788,2–5-year,2.8096030952338906,2–5-year,2.8096030952338906,2–5-year
