monitoring_location_id,site_no,site_name,site_type_code,huc12,hydrologic_unit_code,drainage_area_sqmi,contributing_drainage_area_sqmi,water_year,peak_time,peak_cfs,peak_cfs_per_sqmi,unit_of_measure,qualifier,qualifier_text,has_qualifier,peak_since,duplicate_count,descending_rank,empirical_aep,empirical_return_period_years,empirical_flood_class,lp3_return_period_years,lp3_flood_class,primary_screening_return_period_years,primary_flood_class
USGS-02340750,02340750,,ST,031300021105,03130002,99.7,99.7,1953.0,1953-05-01 00:00:00+00:00,3500.0,35.10531594784353,ft3/s,,,False,,1.0,15,0.6521739130434783,1.5333333333333332,<2-year,1.7926176207368567,<2-year,1.7926176207368567,<2-year
USGS-02340750,02340750,,ST,031300021105,03130002,99.7,99.7,1954.0,1953-12-05 00:00:00+00:00,3100.0,31.093279839518555,ft3/s,,,False,,1.0,18,0.782608695652174,1.2777777777777777,<2-year,1.5430455415707582,<2-year,1.5430455415707582,<2-year
USGS-02340750,02340750,,ST,031300021105,03130002,99.7,99.7,1955.0,1955-04-14 00:00:00+00:00,1320.0,13.239719157472416,ft3/s,,,False,,1.0,22,0.9565217391304348,1.0454545454545454,<2-year,1.005735783283067,<2-year,1.005735783283067,<2-year
USGS-02340750,02340750,,ST,031300021105,03130002,99.7,99.7,1956.0,1956-09-26 00:00:00+00:00,8000.0,80.2407221664995,ft3/s,,,False,,1.0,2,0.08695652173913043,11.5,10–25-year,8.941483421096265,5–10-year,8.941483421096265,5–10-year
USGS-02340750,02340750,,ST,031300021105,03130002,99.7,99.7,1957.0,1956-12-24 00:00:00+00:00,5300.0,53.159478435305914,ft3/s,,,False,,1.0,5,0.21739130434782608,4.6000000000000005,2–5-year,3.567574020718422,2–5-year,3.567574020718422,2–5-year
USGS-02340750,02340750,,ST,031300021105,03130002,99.7,99.7,1958.0,1958-02-06 00:00:00+00:00,1800.0,18.054162487462385,ft3/s,,,False,,1.0,20,0.8695652173913043,1.1500000000000001,<2-year,1.0564400407910217,<2-year,1.0564400407910217,<2-year
USGS-02340750,02340750,,ST,031300021105,03130002,99.7,99.7,1959.0,1959-03-22 00:00:00+00:00,4100.0,41.12337011033099,ft3/s,,,False,,1.0,10,0.43478260869565216,2.3000000000000003,2–5-year,2.259258597948567,2–5-year,2.259258597948567,2–5-year
USGS-02340750,02340750,,ST,031300021105,03130002,99.7,99.7,1960.0,1960-04-03 00:00:00+00:00,5800.0,58.17452357071213,ft3/s,,,False,,1.0,4,0.17391304347826086,5.75,5–10-year,4.282638720909606,2–5-year,4.282638720909606,2–5-year
USGS-02340750,02340750,,ST,031300021105,03130002,99.7,99.7,1961.0,1961-02-25 00:00:00+00:00,19500.0,195.58676028084253,ft3/s,,,False,,1.0,1,0.043478260869565216,23.0,10–25-year,119.51109494408387,100–200-year,119.51109494408387,100–200-year
USGS-02340750,02340750,,ST,031300021105,03130002,99.7,99.7,1962.0,1962-04-12 00:00:00+00:00,4290.0,43.02908726178536,ft3/s,,,False,,1.0,8,0.34782608695652173,2.875,2–5-year,2.4315293981616284,2–5-year,2.4315293981616284,2–5-year
