monitoring_location_id,site_no,site_name,site_type_code,huc12,hydrologic_unit_code,drainage_area_sqmi,contributing_drainage_area_sqmi,water_year,peak_time,peak_cfs,peak_cfs_per_sqmi,unit_of_measure,qualifier,qualifier_text,has_qualifier,peak_since,duplicate_count,descending_rank,empirical_aep,empirical_return_period_years,empirical_flood_class,lp3_return_period_years,lp3_flood_class,primary_screening_return_period_years,primary_flood_class
USGS-02419845,02419845,,ST,031501100904,03150110,7.1,,2009.0,2009-05-07 00:00:00+00:00,5740.0,808.4507042253522,ft3/s,"7,C","7,C",True,,1.0,1,0.08333333333333333,12.0,10–25-year,,Insufficient record,12.0,10–25-year
USGS-02419845,02419845,,ST,031501100904,03150110,7.1,,2012.0,2012-02-18 00:00:00+00:00,660.0,92.95774647887325,ft3/s,C,C,True,,1.0,10,0.8333333333333334,1.2,<2-year,,Insufficient record,1.2,<2-year
USGS-02419845,02419845,,ST,031501100904,03150110,7.1,,2013.0,2013-02-11 00:00:00+00:00,1030.0,145.07042253521126,ft3/s,C,C,True,,1.0,5,0.4166666666666667,2.4,2–5-year,,Insufficient record,2.4,2–5-year
USGS-02419845,02419845,,ST,031501100904,03150110,7.1,,2014.0,2014-04-07 00:00:00+00:00,980.0,138.0281690140845,ft3/s,C,C,True,,1.0,8,0.6666666666666666,1.5,<2-year,,Insufficient record,1.5,<2-year
USGS-02419845,02419845,,ST,031501100904,03150110,7.1,,2015.0,2015-05-29 00:00:00+00:00,540.0,76.05633802816902,ft3/s,C,C,True,,1.0,11,0.9166666666666666,1.090909090909091,<2-year,,Insufficient record,1.090909090909091,<2-year
USGS-02419845,02419845,,ST,031501100904,03150110,7.1,,2016.0,2015-12-24 00:00:00+00:00,1030.0,145.07042253521126,ft3/s,C,C,True,,1.0,6,0.5,2.0,2–5-year,,Insufficient record,2.0,2–5-year
USGS-02419845,02419845,,ST,031501100904,03150110,7.1,,2017.0,2017-05-20 00:00:00+00:00,1940.0,273.23943661971833,ft3/s,C,C,True,,1.0,3,0.25,4.0,2–5-year,,Insufficient record,4.0,2–5-year
USGS-02419845,02419845,,ST,031501100904,03150110,7.1,,2018.0,2018-01-22 12:00:00+00:00,690.0,97.1830985915493,ft3/s,C,C,True,,1.0,9,0.75,1.3333333333333333,<2-year,,Insufficient record,1.3333333333333333,<2-year
USGS-02419845,02419845,,ST,031501100904,03150110,7.1,,2019.0,2018-12-28 12:00:00+00:00,1050.0,147.88732394366198,ft3/s,C,C,True,,1.0,4,0.3333333333333333,3.0,2–5-year,,Insufficient record,3.0,2–5-year
USGS-02419845,02419845,,ST,031501100904,03150110,7.1,,2020.0,2020-09-16 12:00:00+00:00,1030.0,145.07042253521126,ft3/s,C,C,True,,1.0,7,0.5833333333333334,1.7142857142857142,<2-year,,Insufficient record,1.7142857142857142,<2-year
USGS-02419845,02419845,,ST,031501100904,03150110,7.1,,2021.0,2021-08-02 12:00:00+00:00,2050.0,288.7323943661972,ft3/s,C,C,True,,1.0,2,0.16666666666666666,6.0,5–10-year,,Insufficient record,6.0,5–10-year
