monitoring_location_id,site_no,site_name,site_type_code,huc12,hydrologic_unit_code,drainage_area_sqmi,contributing_drainage_area_sqmi,water_year,peak_time,peak_cfs,peak_cfs_per_sqmi,unit_of_measure,qualifier,qualifier_text,has_qualifier,peak_since,duplicate_count,descending_rank,empirical_aep,empirical_return_period_years,empirical_flood_class,lp3_return_period_years,lp3_flood_class,primary_screening_return_period_years,primary_flood_class
USGS-02374050,02374050,,ST,031403040501,03140304,,,2017.0,2017-01-02 02:00:00+00:00,303.0,,ft3/s,2,2,True,,1.0,1,0.25,4.0,2–5-year,,Insufficient record,4.0,2–5-year
USGS-02374050,02374050,,ST,031403040501,03140304,,,2018.0,2017-10-08 05:15:00+00:00,148.0,,ft3/s,,,False,,1.0,2,0.5,2.0,2–5-year,,Insufficient record,2.0,2–5-year
USGS-02374050,02374050,,ST,031403040501,03140304,,,2019.0,2019-04-23 14:30:00+00:00,48.6,,ft3/s,,,False,,1.0,3,0.75,1.3333333333333333,<2-year,,Insufficient record,1.3333333333333333,<2-year
