catalog_event_id,site_no,site_name_final,station_metadata_source,huc12,drainage_area_display,event_peak_discharge_cfs,event_lp3_screening_return_period_years,event_flood_screening_class,rainfall_to_streamflow_lag_hours
AL-RF-19901223-0060,03572110,"CROW CREEK AT BASS, AL",USGS modern monitoring-locations API,060300010304,131.0,18100.0,1000000.0,>500-year,-1.0
AL-RF-20041124-0182,02401390,BIG CANOE CREEK AT ASHVILLE AL,USGS modern monitoring-locations API,031501060305,141.0,14800.0,1000000.0,>500-year,8.5
AL-RF-20040206-0166,02442500,"LUXAPALLILA CREEK AT MILLPORT, AL",USGS modern monitoring-locations API,031601050203,247.0,11000.0,1000000.0,>500-year,15.0
